AID	MATCH	MOVER	BST90P01	BST90P02	BST90P03	BST90P04	BST90P05	BST90P06	BST90P07	BST90P08	BST90P09	BST90P10	BST90P11	BST90P12	BST90P13	BST90P14	BST90P15	BST90P16	BST90P17	BST90P18	BST90P19	BST90P20	BST90P21	BST90P22	BST90P23	BST90P24	BST90P25	BST90P26	BST90P27	BST90P28	BST90P29
57100270	2	9	1	2	.554	1	2	35	.961	2	.88	2	1	.578	1	.71	56000	.915	59000	.902	1	2	.866	3	1	1	.899	3	1	201000	.785
57101310	2	2	2	1	.014	1	2	36	.983	2	.769	2	1	.795	1	.853	14000	.938	17000	.947	3	2	.838	1	3	6	.956	3	2	25000	.826
57103171	1	9	2	1	0	1	1	36	.947	2	.616	1	1	.77	8	9998	999998	9998	999998	9998	2	2	.716	8	8	8	9998	3	8	999998	9998
57103869	2	1	1	2	.161	1	2	36	.985	2	.975	2	1	.818	3	.941	17000	.933	21000	.966	3	2	.887	2	3	2	.922	2	2	48000	.735
57104553	2	9	1	2	.018	1	2	27	.953	1	.959	3	1	.78	2	.94	7000	.838	8000	.853	3	1	.741	1	3	3	.922	1	1	999998	9998
57104649	1	1	1	2	.327	1	2	30	.949	2	.859	2	1	.713	1	.654	58000	.924	59000	.91	1	2	.859	3	2	2	.893	3	1	197000	.761
57104676	2	0	1	2	.327	1	2	30	.949	2	.859	2	1	.713	1	.654	58000	.924	59000	.91	1	2	.859	3	2	2	.893	3	1	197000	.761
57109625	2	0	2	1	.032	1	2	35	.969	2	.723	2	1	.529	1	.597	45000	.897	49000	.844	1	2	.932	3	1	2	.912	3	1	139000	.667
57110897	2	0	1	2	.069	1	2	33	.953	2	.979	2	1	.624	2	.989	26000	.91	23000	.928	1	2	.712	3	3	2	.839	2	2	999998	9998
57111071	2	0	2	1	.01	1	2	35	.98	2	.67	2	1	.705	1	.683	34000	.941	38000	.903	1	2	.919	2	1	2	.929	3	2	78000	.835
