AID	CLUSTER2	GSWGT1
57100270	178	447.87330566
57101310	108	2527.236320381
57103171	115	3400.521591396
57103869	167	5821.844145328
57104553	142	2814.750022865
57104649	278	571.06920242
57104676	278	1928.272467289
57109625	224	6268.134767264
57110897	256	2464.282072045
57111071	185	3048.350880369
57111786	154	2927.691126568
57113943	167	6146.069666142
57116359	136	2268.430953295
57117542	151	5714.676597742
57117997	278	684.789314669
57118381	294	5576.548666638
57118943	187	3684.567628778
57120005	274	4469.223819244
57120046	111	1045.155451291
57120371	161	5809.05812302
57121404	187	3684.567628778
57121476	286	4365.639953031
57123494	141	1559.648855147
57127241	179	2059.816015786
57129567	228	436.332460949
57130633	254	5113.736040985
57130838	140	3949.320874714
57131432	145	3846.461742958
57131909	108	2979.577660412
57133772	248	4389.366743901
57134457	240	3101.231286943
57134967	267	2937.030576866
57134970	253	3410.264827122
57135078	109	2000.418355018
57136630	179	1666.944583768
57138056	240	4519.550433826
57139880	228	4094.338236563
57141051	172	4704.405641543
57141800	278	3664.065693079
57141919	278	3664.065693079
57144659	165	3195.604222492
57145151	129	1096.109931301
57145199	265	18383.289669673
57145731	153	2572.868978606
57146734	271	4096.130453774
57153160	161	7692.341970002
57154247	141	1617.625887353
57154249	141	1743.06619929
57154779	267	2937.030576866
57155472	109	2699.052184318
57157723	243	5230.307468595
57159779	278	4498.582131585
57159952	187	3684.567628778
57160648	168	4308.673303505
57163116	108	2375.165968526
57163657	250	5340.136676207
57164981	179	1775.13416717
57165081	179	1962.685522211
57165288	194	4937.680752635
57165348	187	5444.839780248
57166019	210	12009.600832527
57166450	278	870.027208372
57166463	278	571.06920242
57167951	114	4002.158816204
57169110	108	2139.874599849
57171515	240	2225.83554842
57177419	240	4519.550433826
57177942	189	1991.933773738
57178110	108	2979.577660412
57178982	287	815.515213863
57179591	189	2196.119283175
57185559	154	5625.229273062
57186150	187	3684.567628778
57186582	141	1635.108079256
57188247	251	1044.760862089
57188313	136	2063.159900673
57191424	248	4400.120002855
57191909	108	3388.215670871
57191910	108	3417.368921347
57192841	187	4163.605237841
57193349	142	2768.503112829
57194529	187	4163.605237841
