AID	PTNR_ID	H4TR13	H4TR14	H4TR15	H4TR16	H4TR17	H4TR18	H4TR19	H4TR20	H4TR21	H4TR22	H4TR23	H4TR24
57101310	1	1	1	1	1	1	3	1	32	7	97	0	1
57103869	1	2	0	7	7	1	97	2	30	7	97	0	2
57103869	2	2	0	7	7	1	97	2	27	7	97	0	2
57103869	4	3	1	7	7	97	97	2	30	7	97	0	5
57109625	1	2	0	7	7	1	97	2	29	7	97	0	1
57111071	1	5	7	7	7	97	97	2	22	7	97	0	1
57113943	1	2	1	7	7	1	0	2	28	7	97	0	2
57113943	2	3	0	7	7	97	1	2	26	7	97	0	2
57117542	1	2	0	7	7	1	2	2	27	7	97	0	1
57117542	2	2	0	7	7	1	0	2	27	7	97	0	1
57117542	3	2	0	7	7	1	0	2	30	7	97	0	1
57117542	4	3	0	7	7	97	1	2	28	7	97	0	1
57117542	5	4	7	7	7	97	97	2	32	7	97	0	1
57118381	1	1	1	1	0	97	3	1	27	7	97	0	1
57118943	1	1	1	1	1	1	1	1	28	7	97	0	1
57120005	1	2	0	7	7	1	97	2	26	7	97	0	1
57120005	2	4	7	7	7	97	97	2	29	7	97	0	1
57120046	1	1	1	1	0	97	2	2	40	7	97	1	5
57120371	1	1	1	1	1	1	3	1	31	7	97	0	1
57121404	1	1	1	1	0	97	97	1	29	7	97	0	1
57121476	1	5	7	7	7	97	97	1	29	7	97	1	3
57127241	1	2	1	7	7	1	1	1	24	7	97	0	4
57129567	1	2	1	7	7	1	4	2	24	7	97	0	2
57129567	2	2	0	7	7	1	0	2	29	7	97	0	2
57129567	3	2	0	7	7	2	4	2	26	7	97	0	3
57129567	4	4	7	7	7	97	97	2	22	7	97	0	2
57129567	5	4	7	7	7	97	97	2	32	7	97	0	2
57129567	6	4	7	7	7	97	97	2	27	7	97	0	2
57131432	1	1	1	1	1	1	2	2	35	7	97	1	1
57131909	1	2	1	7	7	1	1	2	20	7	97	0	1
57133772	1	5	7	7	7	97	97	1	26	7	97	0	1
57134457	1	5	7	7	7	97	97	1	28	7	97	1	1
57134967	1	2	1	7	7	98	2	1	30	7	97	0	2
57134967	2	2	0	7	7	1	0	1	27	7	97	0	2
57134967	3	2	0	7	7	1	1	1	27	7	97	0	2
57134967	4	3	0	7	7	97	1	1	98	2	98	0	2
57134967	5	3	0	7	7	97	1	1	28	7	97	0	2
57134970	1	1	1	1	1	1	3	1	29	7	97	0	2
57134970	2	3	0	7	7	97	1	1	27	7	97	0	2
57135078	1	1	1	1	1	7	2	1	31	7	97	0	1
57135078	2	2	0	7	7	2	1	1	30	7	97	0	1
57135078	3	2	0	7	7	1	0	1	35	7	97	0	1
57135078	4	3	0	7	7	97	1	1	32	7	97	0	1
57136630	1	2	0	7	7	1	1	1	25	7	97	0	2
57136630	2	2	0	7	7	1	0	1	35	7	97	0	1
57136630	3	2	1	7	7	1	0	1	28	7	97	0	1
57138056	1	5	7	7	7	97	97	2	25	7	97	0	1
57139880	1	2	1	7	7	1	97	2	27	7	97	0	1
57139880	2	2	0	7	7	1	97	2	24	7	97	0	1
57141051	1	1	1	1	0	97	97	2	27	7	97	0	1
57141800	1	2	0	7	7	1	97	1	25	7	97	1	5
57141800	2	4	7	7	7	97	97	1	31	7	97	1	5
57144659	1	1	0	1	1	1	0	2	26	7	97	0	2
57144659	2	1	1	1	1	1	1	2	25	7	97	0	2
57144659	3	2	0	7	7	1	1	2	31	7	97	0	2
57145151	1	5	7	7	7	97	97	1	29	7	97	0	1
57145731	1	1	1	1	1	1	5	2	32	7	97	0	2
57145731	2	3	0	7	7	97	1	2	33	7	97	0	2
57146734	1	2	1	7	7	1	0	2	24	7	97	0	3
57146734	2	2	0	7	7	1	1	2	26	7	97	0	4
57153160	1	1	1	1	1	1	2	2	28	7	97	0	1
57153160	2	3	0	7	7	97	2	2	31	7	97	0	3
57153160	3	3	0	7	7	97	1	2	29	7	97	0	1
57153160	4	3	0	7	7	97	1	2	30	7	97	0	1
57154249	1	1	0	1	1	1	5	1	33	7	97	0	1
57154249	2	2	0	7	7	1	0	1	35	7	97	0	1
57154779	1	2	0	7	7	1	1	2	30	7	97	0	2
57157723	1	1	0	1	1	1	2	2	25	7	97	0	1
57157723	2	1	1	1	1	1	1	2	29	7	97	0	1
57157723	3	2	0	7	7	1	0	2	23	7	97	0	3
57157723	4	2	0	7	7	1	1	2	26	7	97	0	1
57157723	5	2	0	7	7	1	0	2	32	7	97	1	5
57159779	1	1	1	1	0	97	97	1	25	7	97	0	1
57159952	1	5	7	7	7	97	97	1	27	7	97	0	1
57160648	1	2	0	7	7	1	0	2	31	7	97	0	1
57160648	2	2	0	7	7	1	0	2	29	7	97	0	1
57160648	3	2	1	7	7	4	0	2	33	7	97	0	1
57160648	4	2	0	7	7	2	0	2	26	7	97	0	1
57160648	5	2	0	7	7	1	0	2	29	7	97	0	1
57160648	6	3	0	7	7	97	1	2	30	7	97	0	1
57163116	1	1	0	1	1	1	0	2	31	7	97	0	1
57163116	2	1	0	1	1	1	0	2	32	7	97	0	1
57163116	3	3	1	7	7	97	1	2	27	7	97	0	1
