AID	PTNR_ID	H4TR25	H4TR26	H4TR27Y	H4TR28Y	TSDURATN	H4TR29
57101310	1	2	8	1991	9917	203	7
57101310	1	1	1	1996	9917	147	7
57103869	1	2	8	9998	9998	6	7
57103869	2	2	8	2000	2001	10	7
57103869	4	3	8	2004	9917	50	7
57109625	1	2	8	1999	2001	31	7
57111071	1	5	8	2008	2008	1	7
57113943	1	2	8	2008	9917	3	7
57113943	2	3	8	1996	1998	24	7
57117542	1	2	8	1998	2002	42	7
57117542	2	2	8	2003	2005	28	7
57117542	3	2	8	2005	2005	6	7
57117542	4	3	8	2005	2006	6	7
57117542	5	4	8	2008	9917	1	7
57118381	1	1	1	2001	9917	86	7
57118943	1	2	8	1999	9917	108	7
57118943	1	1	1	2006	9917	29	7
57120005	1	2	8	2005	2007	21	7
57120005	2	4	8	2008	9917	3	7
57120046	1	1	1	1998	9917	114	7
57120371	1	2	8	1996	9917	140	7
57120371	1	1	1	1998	9917	118	7
57121404	1	1	1	2005	9917	27	7
57121476	1	5	8	2007	2007	6	7
57127241	1	2	8	2002	9917	69	7
57129567	1	2	8	2006	9917	15	7
57129567	2	2	8	2002	2005	30	7
57129567	3	2	8	2005	2006	39	7
57129567	4	4	8	2004	9917	46	7
57129567	5	4	8	2007	9917	11	7
57129567	6	4	8	2007	9917	2	7
57131432	1	2	8	2000	9917	97	7
57131432	1	1	1	2002	9917	73	7
57131909	1	2	8	2006	9917	16	7
57133772	1	5	8	2006	2006	4	7
57134457	1	5	8	2005	2006	11	7
57134967	1	2	8	9998	9998	998	7
57134967	2	2	8	9998	9998	998	7
57134967	3	2	8	2007	2008	4	7
57134967	4	3	8	9998	9998	9	7
57134967	5	3	8	2005	2006	12	7
57134970	1	2	8	1997	9917	129	7
57134970	1	1	1	1998	9917	115	7
57134970	2	3	8	2003	2005	20	7
57135078	1	2	8	2001	9917	84	7
57135078	1	1	1	2007	9917	7	7
57135078	2	2	8	1995	1997	24	7
57135078	3	2	8	9998	1993	8	7
57135078	4	3	8	2000	2000	1	7
57136630	1	2	8	1999	2000	18	7
57136630	2	2	8	2003	2005	29	7
57136630	3	2	8	2005	9917	27	7
57138056	1	5	8	1998	2007	111	7
57139880	1	2	8	2008	9917	6	7
57139880	2	2	8	2003	2003	5	7
57141051	1	1	1	2001	9917	83	7
57141800	1	2	8	2007	2007	2	7
57141800	2	4	8	2008	9917	1	7
57144659	1	2	8	1999	2000	6	7
57144659	1	1	1	1999	2004	52	1
57144659	2	2	8	2004	2004	8	7
57144659	2	1	1	2004	9917	45	7
57144659	3	2	8	2001	2003	23	7
57145151	1	5	8	2008	2008	1	7
57145731	1	2	8	1996	1998	31	7
57145731	1	1	1	1998	9917	114	7
57145731	2	3	8	1990	1993	44	7
57146734	1	2	8	2006	9917	22	7
57146734	2	2	8	2004	2005	12	7
57153160	1	2	8	1999	9917	107	7
57153160	1	1	1	2000	9917	99	7
57153160	2	3	8	1994	1997	42	7
57153160	3	3	8	1996	1999	30	7
57153160	4	3	8	1992	1993	12	7
57154249	1	2	8	1995	9917	160	7
57154249	1	1	1	1996	9917	147	7
