AID	CLUSTER2	GSWGT4	GSWGT4_2	GSWGT134
57101310	108	4170.308565628	2936.707072631	3732.3285903
57103869	167	11260.933486347	9388.942184439	11301.17203821
57109625	224	10055.445938388	7918.203020084	9522.891094946
57111071	185	4890.215130484	3850.820386516	4631.220375883
57113943	167	12028.845230749	8559.854200479	11616.288963182
57117542	151	 	7433.432646886	8884.740817992
57118381	294	7670.72303925	6576.599108894	7172.922679117
57118943	187	5679.133578146	4507.049315899	5305.749220752
57120005	274	7365.463858315	5600.546710648	6899.893877433
57120046	111	1812.081967107	1357.87511821	1657.110600107
57120371	161	 	7273.718859902	8801.840787899
57121404	187	5679.133578146	4507.049315899	5305.749220752
57121476	286	6325.386127176	5159.979892502	5923.405309512
57127241	179	2833.343545163	2429.205765735	2649.470469581
57129567	228	936.32177993	617.853317992	807.666114556
57131432	145	6696.748425023	4937.838117418	6234.788621718
57131909	108	4910.465991055	3733.81699822	4600.076095516
57133772	248	6037.715910486	5176.518155261	5645.891418943
57134457	240	 	3682.518918849	 
57134967	267	4555.379156837	3988.496278742	4389.77155664
57134970	253	4599.147168249	3534.287411192	4038.18896992
57135078	109	2898.410919708	2364.399858792	2714.215746796
57136630	179	2551.272730922	1979.392827696	2476.087055066
57138056	240	7486.692193552	5878.858264232	7026.650332979
57139880	228	6747.637067374	5130.763969422	6321.119834938
57141051	172	8342.770645455	6119.310844967	7314.049030233
57141800	278	 	4321.147830412	4712.961632505
57144659	165	 	4425.439933963	 
57145151	129	1677.605485539	1301.562245985	1628.166669877
57145731	153	 	3563.043584258	 
57146734	271	6750.590714725	5133.009861911	6323.886782637
57153160	161	19450.623100641	10947.488645269	15115.886427228
57154249	141	2770.691033557	2182.55235519	2641.080678487
57154779	267	4555.379156837	3988.496278742	4389.77155664
57157723	243	 	6607.170702534	7946.167443088
57159779	278	 	5637.336678272	 
57159952	187	5679.133578146	4507.049315899	5305.749220752
57160648	168	7470.342508184	5597.866101256	6831.470088799
57163116	108	 	3085.836433516	 
57163657	250	 	6341.079564807	 
57165081	179	3480.617193459	2552.986225352	3051.432898051
57165288	194	 	6039.886602834	 
57166019	210	 	15049.667047148	 
57166463	278	1225.452103448	808.642567528	1057.068371345
57167951	114	6420.329668621	5055.715488254	6080.297244155
57177419	240	7250.337898048	5709.308944895	6866.346716766
57177942	189	3467.987010778	2557.115388798	3228.755895066
57178110	108	4910.465991055	3733.81699822	4600.076095516
57178982	287	 	1135.797624845	1541.352586725
57179591	189	3181.962460687	2595.709097552	2979.747473964
57185559	154	 	7029.296392029	 
57186150	187	5679.133578146	4507.049315899	5305.749220752
57186582	141	2846.748046967	2099.0457047	2650.371673782
57188247	251	 	1295.530519648	 
57191909	108	5177.102336308	4102.646346634	4781.698364473
57191910	108	 	4030.210574033	 
57192841	187	6372.432898528	4944.021790159	6184.638129073
57193349	142	6001.290807787	3940.042773745	5440.264979137
57196641	145	5815.159024606	4357.562125377	5317.839830595
57197327	168	 	5597.866101256	 
57198440	143	 	1794.052040608	 
57199896	253	 	4635.990511589	5296.967555403
57200870	172	 	6129.636818148	7417.400699717
57203993	172	8342.770645455	6119.310844967	7314.049030233
57210612	178	576.210479512	430.935960579	524.592176732
57211375	187	6372.432898528	4944.021790159	6184.638129073
57212347	165	11701.17281469	8360.573385483	10458.513966037
57212679	187	 	5731.877799403	6850.973307659
57212861	267	 	2601.933204545	 
57213037	172	 	6117.240877176	8203.839515878
57213527	177	4891.070265172	3719.31173383	4538.937945457
57214806	165	3440.759903783	2726.664479838	3177.970017914
57214893	167	1933.54413003	1405.838797887	1907.816340025
57217465	186	7763.164362017	6023.014189018	7534.384917052
57217613	210	19792.313936906	15049.667047148	18541.244432191
57218874	107	5438.728431063	3870.256995817	5252.195022512
57220133	168	 	6808.22381466	8596.441471829
57220692	108	 	3956.805280672	 
57220955	187	5679.133578146	4507.049315899	5305.749220752
57228523	167	5192.66388239	3826.882336702	4658.5867014
57230663	186	 	3657.92642835	 
57230940	273	9995.107487715	7600.073456297	9363.31808633
57231300	187	5355.945417505	4244.372328859	4946.882209277
57231320	187	 	4507.049315899	 
57231603	179	2508.599563965	1849.712392062	2335.549586933
57232895	145	5815.159024606	4357.562125377	5317.839830595
57233403	174	5030.57004748	3769.634057332	4600.349819479
57234514	108	5177.102336308	4102.646346634	4781.698364473
57235039	115	6254.375410092	4926.749903258	5961.801533096
57239363	115	6545.728265984	4801.20426037	5738.594468263
57239974	215	4918.740663624	4012.498590669	4606.152727632
57241075	109	2898.410919708	2364.399858792	2714.215746796
57241170	253	 	5547.017471402	 
57242812	120	6156.918552853	4381.328724882	5945.753200805
57242885	108	5177.102336308	4102.646346634	4781.698364473
57245293	240	6161.04207195	4443.691558202	5876.723611774
57245315	123	 	1426.804320717	1761.071579236
