curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
0,0.6978672985781991,['H1ED2', 'H2SE4', 'S62M', 'H1FS11', 'H2ED16', 'H2TO1', 'H1TO9', 'H1GH52', 'H1FS1', 'S62P'],83,61,7
1,0.6978672985781991,['H1ED2', 'H2SE4', 'S62M', 'H1FS11', 'H2ED16', 'H2TO1', 'H1TO9', 'H1GH52', 'H1FS1', 'S62P'],83,61,7
2,0.6978672985781991,['H1ED2', 'H2SE4', 'S62M', 'H1FS11', 'H2ED16', 'H2TO1', 'H1TO9', 'H1GH52', 'H1FS1', 'S62P'],83,61,7
3,0.6984597156398105,['H1ED2', 'H1TS3', 'S62M', 'H1FS11', 'H2ED16', 'H2TO1', 'H1TO9', 'H1GH52', 'H1FS1', 'S62P'],82,61,6
4,0.6984597156398105,['H1ED2', 'H1TS3', 'S62M', 'H1FS11', 'H2ED16', 'H2TO1', 'H1TO9', 'H1GH52', 'H1FS1', 'S62P'],82,61,6
5,0.6984597156398105,['H1ED2', 'H1TS3', 'S62M', 'H1FS11', 'H2ED16', 'H2TO1', 'H1TO9', 'H1GH52', 'H1FS1', 'S62P'],82,61,6
6,0.6984597156398105,['H1ED2', 'H1TS3', 'S62M', 'H1FS11', 'H2ED16', 'H2TO1', 'H1TO9', 'H1GH52', 'H1FS1', 'S62P'],82,61,6
7,0.6984597156398105,['H1ED2', 'H1TS3', 'S62M', 'H1FS11', 'H2ED16', 'H2TO1', 'H1TO9', 'H1GH52', 'H1FS1', 'S62P'],82,61,6
8,0.6984597156398105,['H1ED2', 'H1TS3', 'S62M', 'H1FS11', 'H2ED16', 'H2TO1', 'H1TO9', 'H1GH52', 'H1FS1', 'S62P'],82,61,6
9,0.6984597156398105,['H1ED2', 'H1TS3', 'S62M', 'H1FS11', 'H2ED16', 'H2TO1', 'H1TO9', 'H1GH52', 'H1FS1', 'S62P'],82,61,6
10,0.7002369668246445,['H1TO12', 'S60K', 'H1PF33', 'H2FV2', 'H2PF30', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9'],60,8,5
11,0.7002369668246445,['H1TO12', 'S60K', 'H1PF33', 'H2FV2', 'H2PF30', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9'],60,8,5
12,0.7002369668246445,['H1TO12', 'S60K', 'H1PF33', 'H2FV2', 'H2PF30', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9'],60,8,5
13,0.7002369668246445,['H1TO12', 'S60K', 'H1PF33', 'H2FV2', 'H2PF30', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9'],60,8,5
14,0.7008293838862559,['H1PF16', 'H2DS4', 'H2ED15', 'H2TO1', 'S60M', 'H1TO9', 'H1DA2', 'H2PF30', 'S60N', 'H2ED16'],66,12,6
15,0.7008293838862559,['H1PF16', 'H2DS4', 'H2ED15', 'H2TO1', 'S60M', 'H1TO9', 'H1DA2', 'H2PF30', 'S60N', 'H2ED16'],66,12,6
16,0.7008293838862559,['H1PF16', 'H2DS4', 'H2ED15', 'H2TO1', 'S60M', 'H1TO9', 'H1DA2', 'H2PF30', 'S60N', 'H2ED16'],66,12,6
17,0.7008293838862559,['H1PF16', 'H2DS4', 'H2ED15', 'H2TO1', 'S60M', 'H1TO9', 'H1DA2', 'H2PF30', 'S60N', 'H2ED16'],66,12,6
18,0.7008293838862559,['H1PF16', 'H2DS4', 'H2ED15', 'H2TO1', 'S60M', 'H1TO9', 'H1DA2', 'H2PF30', 'S60N', 'H2ED16'],66,12,6
