curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
0,0.7162322274881516,['H2FS13', 'H1PF35', 'H1WP7', 'H1PF10', 'S60K', 'H2TO26', 'H2FS11', 'H1TO3', 'H1DS7', 'S59E'],76,25,7
1,0.7162322274881516,['H2FS13', 'H1PF35', 'H1WP7', 'H1PF10', 'S60K', 'H2TO26', 'H2FS11', 'H1TO3', 'H1DS7', 'S59E'],76,25,7
2,0.7162322274881516,['H2FS13', 'H1PF35', 'H1WP7', 'H1PF10', 'S60K', 'H2TO26', 'H2FS11', 'H1TO3', 'H1DS7', 'S59E'],76,25,7
3,0.7162322274881516,['H2FS13', 'H1PF35', 'H1WP7', 'H1PF10', 'S60K', 'H2TO26', 'H2FS11', 'H1TO3', 'H1DS7', 'S59E'],76,25,7
4,0.7162322274881516,['H2FS13', 'H1PF35', 'H1WP7', 'H1PF10', 'S60K', 'H2TO26', 'H2FS11', 'H1TO3', 'H1DS7', 'S59E'],76,25,7
5,0.7162322274881516,['H2FS13', 'H1PF35', 'H1WP7', 'H1PF10', 'S60K', 'H2TO26', 'H2FS11', 'H1TO3', 'H1DS7', 'S59E'],76,25,7
6,0.7162322274881516,['H2FS13', 'H1PF35', 'H1WP7', 'H1PF10', 'S60K', 'H2TO26', 'H2FS11', 'H1TO3', 'H1DS7', 'S59E'],76,25,7
7,0.7162322274881516,['H2FS13', 'H1PF35', 'H1WP7', 'H1PF10', 'S60K', 'H2TO26', 'H2FS11', 'H1TO3', 'H1DS7', 'S59E'],76,25,7
8,0.7162322274881516,['H2FS13', 'H1PF35', 'H1WP7', 'H1PF10', 'S60K', 'H2TO26', 'H2FS11', 'H1TO3', 'H1DS7', 'S59E'],76,25,7
9,0.7162322274881516,['H2FS13', 'H1PF35', 'H1WP7', 'H1PF10', 'S60K', 'H2TO26', 'H2FS11', 'H1TO3', 'H1DS7', 'S59E'],76,25,7
10,0.7191943127962085,['H2FS13', 'H1PF35', 'H1PF16', 'H1PF10', 'S60K', 'H2TO26', 'H2FS11', 'H1TO3', 'H1DS7', 'S59E'],76,24,5
11,0.7191943127962085,['H2FS13', 'H1PF35', 'H1PF16', 'H1PF10', 'S60K', 'H2TO26', 'H2FS11', 'H1TO3', 'H1DS7', 'S59E'],76,24,5
12,0.7191943127962085,['H2FS13', 'H1PF35', 'H1PF16', 'H1PF10', 'S60K', 'H2TO26', 'H2FS11', 'H1TO3', 'H1DS7', 'S59E'],76,24,5
13,0.7191943127962085,['H2FS13', 'H1PF35', 'H1PF16', 'H1PF10', 'S60K', 'H2TO26', 'H2FS11', 'H1TO3', 'H1DS7', 'S59E'],76,24,5
14,0.7191943127962085,['H2FS13', 'H1PF35', 'H1PF16', 'H1PF10', 'S60K', 'H2TO26', 'H2FS11', 'H1TO3', 'H1DS7', 'S59E'],76,24,5
15,0.7191943127962085,['H2FS13', 'H1PF35', 'H1PF16', 'H1PF10', 'S60K', 'H2TO26', 'H2FS11', 'H1TO3', 'H1DS7', 'S59E'],76,24,5
16,0.7191943127962085,['H2FS13', 'H1PF35', 'H1PF16', 'H1PF10', 'S60K', 'H2TO26', 'H2FS11', 'H1TO3', 'H1DS7', 'S59E'],76,24,5
17,0.7191943127962085,['H2FS13', 'H1PF35', 'H1PF16', 'H1PF10', 'S60K', 'H2TO26', 'H2FS11', 'H1TO3', 'H1DS7', 'S59E'],76,24,5
18,0.7191943127962085,['H2FS13', 'H1PF35', 'H1PF16', 'H1PF10', 'S60K', 'H2TO26', 'H2FS11', 'H1TO3', 'H1DS7', 'S59E'],76,24,5
19,0.7191943127962085,['H2FS13', 'H1PF35', 'H1PF16', 'H1PF10', 'S60K', 'H2TO26', 'H2FS11', 'H1TO3', 'H1DS7', 'S59E'],76,24,5
20,0.7191943127962085,['H2FS13', 'H1PF35', 'H1PF16', 'H1PF10', 'S60K', 'H2TO26', 'H2FS11', 'H1TO3', 'H1DS7', 'S59E'],76,24,5
21,0.7191943127962085,['H2FS13', 'H1PF35', 'H1PF16', 'H1PF10', 'S60K', 'H2TO26', 'H2FS11', 'H1TO3', 'H1DS7', 'S59E'],76,24,5
22,0.7191943127962085,['H2FS13', 'H1PF35', 'H1PF16', 'H1PF10', 'S60K', 'H2TO26', 'H2FS11', 'H1TO3', 'H1DS7', 'S59E'],76,24,5
23,0.7191943127962085,['H2FS13', 'H1PF35', 'H1PF16', 'H1PF10', 'S60K', 'H2TO26', 'H2FS11', 'H1TO3', 'H1DS7', 'S59E'],76,24,5
24,0.7191943127962085,['H2FS13', 'H1PF35', 'H1PF16', 'H1PF10', 'S60K', 'H2TO26', 'H2FS11', 'H1TO3', 'H1DS7', 'S59E'],76,24,5
25,0.7191943127962085,['H2FS13', 'H1PF35', 'H1PF16', 'H1PF10', 'S60K', 'H2TO26', 'H2FS11', 'H1TO3', 'H1DS7', 'S59E'],76,24,5
26,0.7191943127962085,['H2FS13', 'H1PF35', 'H1PF16', 'H1PF10', 'S60K', 'H2TO26', 'H2FS11', 'H1TO3', 'H1DS7', 'S59E'],76,24,5
27,0.7191943127962085,['H2FS13', 'H1PF35', 'H1PF16', 'H1PF10', 'S60K', 'H2TO26', 'H2FS11', 'H1TO3', 'H1DS7', 'S59E'],76,24,5
28,0.7191943127962085,['H2FS13', 'H1PF35', 'H1PF16', 'H1PF10', 'S60K', 'H2TO26', 'H2FS11', 'H1TO3', 'H1DS7', 'S59E'],76,24,5
29,0.7191943127962085,['H2FS13', 'H1PF35', 'H1PF16', 'H1PF10', 'S60K', 'H2TO26', 'H2FS11', 'H1TO3', 'H1DS7', 'S59E'],76,24,5
30,0.7191943127962085,['H2FS13', 'H1PF35', 'H1PF16', 'H1PF10', 'S60K', 'H2TO26', 'H2FS11', 'H1TO3', 'H1DS7', 'S59E'],76,24,5
31,0.7191943127962085,['H2FS13', 'H1PF35', 'H1PF16', 'H1PF10', 'S60K', 'H2TO26', 'H2FS11', 'H1TO3', 'H1DS7', 'S59E'],76,24,5
32,0.7191943127962085,['H2FS13', 'H1PF35', 'H1PF16', 'H1PF10', 'S60K', 'H2TO26', 'H2FS11', 'H1TO3', 'H1DS7', 'S59E'],76,24,5
33,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
34,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
35,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
36,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
37,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
38,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
39,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
40,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
41,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
42,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
43,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
44,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
45,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
46,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
47,0.7233412322274881,['H1TO3', 'H2DS6', 'H2FS17', 'H2PR3', 'H2PF24', 'H1WP7', 'H1TO9', 'H1DS11', 'H2DS9', 'H1TO1'],27,75,6
