curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
0,0.7174170616113744,['H1TO3', 'H2DS3', 'H2FV1', 'H2FS19', 'H1PF14', 'H1FS11', 'H2FS8', 'H1ED15', 'H2TO15', 'H1PF10', 'H1TO1', 'H2PF15', 'H1RF14', 'H1PF30', 'H1PF31'],85,29,14
1,0.7174170616113744,['H1TO3', 'H2DS3', 'H2FV1', 'H2FS19', 'H1PF14', 'H1FS11', 'H2FS8', 'H1ED15', 'H2TO15', 'H1PF10', 'H1TO1', 'H2PF15', 'H1RF14', 'H1PF30', 'H1PF31'],85,29,14
2,0.7174170616113744,['H1TO3', 'H2DS3', 'H2FV1', 'H2FS19', 'H1PF14', 'H1FS11', 'H2FS8', 'H1ED15', 'H2TO15', 'H1PF10', 'H1TO1', 'H2PF15', 'H1RF14', 'H1PF30', 'H1PF31'],85,29,14
3,0.7174170616113744,['H1TO3', 'H2DS3', 'H2FV1', 'H2FS19', 'H1PF14', 'H1FS11', 'H2FS8', 'H1ED15', 'H2TO15', 'H1PF10', 'H1TO1', 'H2PF15', 'H1RF14', 'H1PF30', 'H1PF31'],85,29,14
4,0.7180094786729858,['H1DA6', 'S62Q', 'H1FS4', 'H1TO3', 'H1WP6', 'H1FS12', 'H2ED12', 'H2PF24', 'H1FS6', 'H1PF1', 'H1TS3', 'S62B', 'H1WP10', 'H2PR3', 'H1GH20'],63,93,13
5,0.7180094786729858,['H1DA6', 'S62Q', 'H1FS4', 'H1TO3', 'H1WP6', 'H1FS12', 'H2ED12', 'H2PF24', 'H1FS6', 'H1PF1', 'H1TS3', 'S62B', 'H1WP10', 'H2PR3', 'H1GH20'],63,93,13
6,0.7180094786729858,['H1DA6', 'S62Q', 'H1FS4', 'H1TO3', 'H1WP6', 'H1FS12', 'H2ED12', 'H2PF24', 'H1FS6', 'H1PF1', 'H1TS3', 'S62B', 'H1WP10', 'H2PR3', 'H1GH20'],63,93,13
7,0.7180094786729858,['H1DA6', 'S62Q', 'H1FS4', 'H1TO3', 'H1WP6', 'H1FS12', 'H2ED12', 'H2PF24', 'H1FS6', 'H1PF1', 'H1TS3', 'S62B', 'H1WP10', 'H2PR3', 'H1GH20'],63,93,13
8,0.7180094786729858,['H1DA6', 'S62Q', 'H1FS4', 'H1TO3', 'H1WP6', 'H1FS12', 'H2ED12', 'H2PF24', 'H1FS6', 'H1PF1', 'H1TS3', 'S62B', 'H1WP10', 'H2PR3', 'H1GH20'],63,93,13
9,0.7209715639810427,['H1DA6', 'S62Q', 'H2TO28', 'H1TO3', 'H1WP6', 'H1FS12', 'H2ED12', 'H2PF24', 'H1FS6', 'H1PF1', 'H1TS3', 'S62B', 'H1WP10', 'H2PR3', 'H1GH20'],63,93,14
10,0.7209715639810427,['H1DA6', 'S62Q', 'H2TO28', 'H1TO3', 'H1WP6', 'H1FS12', 'H2ED12', 'H2PF24', 'H1FS6', 'H1PF1', 'H1TS3', 'S62B', 'H1WP10', 'H2PR3', 'H1GH20'],63,93,14
