curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
0,0.7186018957345972,['H1SE4', 'H2FS16', 'H2PF16', 'H1PF8', 'H1PF7', 'H2PF4', 'S45C', 'H2TO15', 'H2FS18', 'H1ED19', 'H2ED13', 'H2FS2', 'H2FS4', 'H2PR4', 'H2FS15', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],45,6,14
1,0.7186018957345972,['H1SE4', 'H2FS16', 'H2PF16', 'H1PF8', 'H1PF7', 'H2PF4', 'S45C', 'H2TO15', 'H2FS18', 'H1ED19', 'H2ED13', 'H2FS2', 'H2FS4', 'H2PR4', 'H2FS15', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],45,6,14
2,0.7186018957345972,['H1SE4', 'H2FS16', 'H2PF16', 'H1PF8', 'H1PF7', 'H2PF4', 'S45C', 'H2TO15', 'H2FS18', 'H1ED19', 'H2ED13', 'H2FS2', 'H2FS4', 'H2PR4', 'H2FS15', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K'],45,6,14
3,0.7221563981042654,['H1DS12', 'H1GH52', 'H1PF16', 'H1TO3', 'H2GH31', 'H2PF12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O'],19,17,12
4,0.7221563981042654,['H1DS12', 'H1GH52', 'H1PF16', 'H1TO3', 'H2GH31', 'H2PF12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O'],19,17,12
5,0.7221563981042654,['H1DS12', 'H1GH52', 'H1PF16', 'H1TO3', 'H2GH31', 'H2PF12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O'],19,17,12
6,0.7221563981042654,['H1DS12', 'H1GH52', 'H1PF16', 'H1TO3', 'H2GH31', 'H2PF12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O'],19,17,12
7,0.7221563981042654,['H1DS12', 'H1GH52', 'H1PF16', 'H1TO3', 'H2GH31', 'H2PF12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O'],19,17,12
8,0.7221563981042654,['H1DS12', 'H1GH52', 'H1PF16', 'H1TO3', 'H2GH31', 'H2PF12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O'],19,17,12
9,0.7221563981042654,['H1DS12', 'H1GH52', 'H1PF16', 'H1TO3', 'H2GH31', 'H2PF12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O'],19,17,12
10,0.7221563981042654,['H1DS12', 'H1GH52', 'H1PF16', 'H1TO3', 'H2GH31', 'H2PF12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O'],19,17,12
