curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
0,0.7162322274881516,['H1PF15', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H1ED16', 'H2PF33', 'H1FS15', 'H2PF10', 'H1TO3', 'H2DS4', 'H2PF32', 'H1FS6', 'H1DS12', 'H2FV1', 'H1PF8', 'H1GH21', 'H2DS12', 'H2DS6', 'H1PF24', 'H2FV6', 'H1WP10', 'H1PF5', 'H2WP2'],93,94,23
1,0.7162322274881516,['H1PF15', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H1ED16', 'H2PF33', 'H1FS15', 'H2PF10', 'H1TO3', 'H2DS4', 'H2PF32', 'H1FS6', 'H1DS12', 'H2FV1', 'H1PF8', 'H1GH21', 'H2DS12', 'H2DS6', 'H1PF24', 'H2FV6', 'H1WP10', 'H1PF5', 'H2WP2'],93,94,23
2,0.7162322274881516,['H1PF15', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H1ED16', 'H2PF33', 'H1FS15', 'H2PF10', 'H1TO3', 'H2DS4', 'H2PF32', 'H1FS6', 'H1DS12', 'H2FV1', 'H1PF8', 'H1GH21', 'H2DS12', 'H2DS6', 'H1PF24', 'H2FV6', 'H1WP10', 'H1PF5', 'H2WP2'],93,94,23
3,0.7162322274881516,['H1PF15', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H1ED16', 'H2PF33', 'H1FS15', 'H2PF10', 'H1TO3', 'H2DS4', 'H2PF32', 'H1FS6', 'H1DS12', 'H2FV1', 'H1PF8', 'H1GH21', 'H2DS12', 'H2DS6', 'H1PF24', 'H2FV6', 'H1WP10', 'H1PF5', 'H2WP2'],93,94,23
4,0.7162322274881516,['H1PF15', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H1ED16', 'H2PF33', 'H1FS15', 'H2PF10', 'H1TO3', 'H2DS4', 'H2PF32', 'H1FS6', 'H1DS12', 'H2FV1', 'H1PF8', 'H1GH21', 'H2DS12', 'H2DS6', 'H1PF24', 'H2FV6', 'H1WP10', 'H1PF5', 'H2WP2'],93,94,23
5,0.7162322274881516,['H1PF15', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H1ED16', 'H2PF33', 'H1FS15', 'H2PF10', 'H1TO3', 'H2DS4', 'H2PF32', 'H1FS6', 'H1DS12', 'H2FV1', 'H1PF8', 'H1GH21', 'H2DS12', 'H2DS6', 'H1PF24', 'H2FV6', 'H1WP10', 'H1PF5', 'H2WP2'],93,94,23
6,0.7162322274881516,['H1PF15', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H1ED16', 'H2PF33', 'H1FS15', 'H2PF10', 'H1TO3', 'H2DS4', 'H2PF32', 'H1FS6', 'H1DS12', 'H2FV1', 'H1PF8', 'H1GH21', 'H2DS12', 'H2DS6', 'H1PF24', 'H2FV6', 'H1WP10', 'H1PF5', 'H2WP2'],93,94,23
7,0.7162322274881516,['H1PF15', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H1ED16', 'H2PF33', 'H1FS15', 'H2PF10', 'H1TO3', 'H2DS4', 'H2PF32', 'H1FS6', 'H1DS12', 'H2FV1', 'H1PF8', 'H1GH21', 'H2DS12', 'H2DS6', 'H1PF24', 'H2FV6', 'H1WP10', 'H1PF5', 'H2WP2'],93,94,23
8,0.7162322274881516,['H1PF15', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H1ED16', 'H2PF33', 'H1FS15', 'H2PF10', 'H1TO3', 'H2DS4', 'H2PF32', 'H1FS6', 'H1DS12', 'H2FV1', 'H1PF8', 'H1GH21', 'H2DS12', 'H2DS6', 'H1PF24', 'H2FV6', 'H1WP10', 'H1PF5', 'H2WP2'],93,94,23
9,0.7162322274881516,['H1PF15', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H1ED16', 'H2PF33', 'H1FS15', 'H2PF10', 'H1TO3', 'H2DS4', 'H2PF32', 'H1FS6', 'H1DS12', 'H2FV1', 'H1PF8', 'H1GH21', 'H2DS12', 'H2DS6', 'H1PF24', 'H2FV6', 'H1WP10', 'H1PF5', 'H2WP2'],93,94,23
10,0.7162322274881516,['H1PF15', 'H2DS8', 'H2DS5', 'H1FS11', 'H2FS19', 'H1FS16', 'H1ED16', 'H2PF33', 'H1FS15', 'H2PF10', 'H1TO3', 'H2DS4', 'H2PF32', 'H1FS6', 'H1DS12', 'H2FV1', 'H1PF8', 'H1GH21', 'H2DS12', 'H2DS6', 'H1PF24', 'H2FV6', 'H1WP10', 'H1PF5', 'H2WP2'],93,94,23
