curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
0,0.7209715639810427,['H2ED17', 'H1FS9', 'H2WP5', 'H2TO1', 'H2TO30', 'H1DS11', 'H2PF21', 'H2PF17', 'H2GH26', 'H1FS6', 'H1GH21', 'H2WP7', 'H2WP13', 'H2PF1', 'H2PF27', 'H2FS4', 'H1DS6', 'H1IR12', 'H1PF34', 'H2GH22', 'S62E', 'H2TO26', 'H2PF22', 'H1WP10', 'S60O', 'H1TO3', 'H1WP14', 'H1PF32', 'H1ED17', 'H2PF31', 'H1PF26', 'H2DS7', 'H1ED24', 'H1FS13', 'H2PF26'],64,43,25
1,0.7209715639810427,['H2ED17', 'H1FS9', 'H2WP5', 'H2TO1', 'H2TO30', 'H1DS11', 'H2PF21', 'H2PF17', 'H2GH26', 'H1FS6', 'H1GH21', 'H2WP7', 'H2WP13', 'H2PF1', 'H2PF27', 'H2FS4', 'H1DS6', 'H1IR12', 'H1PF34', 'H2GH22', 'S62E', 'H2TO26', 'H2PF22', 'H1WP10', 'S60O', 'H1TO3', 'H1WP14', 'H1PF32', 'H1ED17', 'H2PF31', 'H1PF26', 'H2DS7', 'H1ED24', 'H1FS13', 'H2PF26'],64,43,25
2,0.7209715639810427,['H2ED17', 'H1FS9', 'H2WP5', 'H2TO1', 'H2TO30', 'H1DS11', 'H2PF21', 'H2PF17', 'H2GH26', 'H1FS6', 'H1GH21', 'H2WP7', 'H2WP13', 'H2PF1', 'H2PF27', 'H2FS4', 'H1DS6', 'H1IR12', 'H1PF34', 'H2GH22', 'S62E', 'H2TO26', 'H2PF22', 'H1WP10', 'S60O', 'H1TO3', 'H1WP14', 'H1PF32', 'H1ED17', 'H2PF31', 'H1PF26', 'H2DS7', 'H1ED24', 'H1FS13', 'H2PF26'],64,43,25
3,0.7215639810426541,['H1PF26', 'H2FS6', 'H2PF21', 'H2FS14', 'H1ED20', 'S59E', 'H2FV1', 'H2ED15', 'H1PF23', 'H1FS17', 'H1EE7', 'H1DA6', 'H1TO3', 'H2PF35', 'H2GH22', 'H1FS8', 'H1FS4', 'H2GH31', 'H2DS6', 'H2WP7', 'H1WP1', 'H1FS5', 'H2PF16', 'H2TO30', 'H1WP7', 'H1TO9', 'H1GH29', 'H2ED3', 'H1PF10', 'H1PF14', 'S62R', 'H2FV5', 'H2DS10', 'H1GH17', 'H1PF1'],48,58,18
4,0.7215639810426541,['H1PF26', 'H2FS6', 'H2PF21', 'H2FS14', 'H1ED20', 'S59E', 'H2FV1', 'H2ED15', 'H1PF23', 'H1FS17', 'H1EE7', 'H1DA6', 'H1TO3', 'H2PF35', 'H2GH22', 'H1FS8', 'H1FS4', 'H2GH31', 'H2DS6', 'H2WP7', 'H1WP1', 'H1FS5', 'H2PF16', 'H2TO30', 'H1WP7', 'H1TO9', 'H1GH29', 'H2ED3', 'H1PF10', 'H1PF14', 'S62R', 'H2FV5', 'H2DS10', 'H1GH17', 'H1PF1'],48,58,18
5,0.7215639810426541,['H1PF26', 'H2FS6', 'H2PF21', 'H2FS14', 'H1ED20', 'S59E', 'H2FV1', 'H2ED15', 'H1PF23', 'H1FS17', 'H1EE7', 'H1DA6', 'H1TO3', 'H2PF35', 'H2GH22', 'H1FS8', 'H1FS4', 'H2GH31', 'H2DS6', 'H2WP7', 'H1WP1', 'H1FS5', 'H2PF16', 'H2TO30', 'H1WP7', 'H1TO9', 'H1GH29', 'H2ED3', 'H1PF10', 'H1PF14', 'S62R', 'H2FV5', 'H2DS10', 'H1GH17', 'H1PF1'],48,58,18
6,0.7215639810426541,['H1PF26', 'H2FS6', 'H2PF21', 'H2FS14', 'H1ED20', 'S59E', 'H2FV1', 'H2ED15', 'H1PF23', 'H1FS17', 'H1EE7', 'H1DA6', 'H1TO3', 'H2PF35', 'H2GH22', 'H1FS8', 'H1FS4', 'H2GH31', 'H2DS6', 'H2WP7', 'H1WP1', 'H1FS5', 'H2PF16', 'H2TO30', 'H1WP7', 'H1TO9', 'H1GH29', 'H2ED3', 'H1PF10', 'H1PF14', 'S62R', 'H2FV5', 'H2DS10', 'H1GH17', 'H1PF1'],48,58,18
7,0.7215639810426541,['H1PF26', 'H2FS6', 'H2PF21', 'H2FS14', 'H1ED20', 'S59E', 'H2FV1', 'H2ED15', 'H1PF23', 'H1FS17', 'H1EE7', 'H1DA6', 'H1TO3', 'H2PF35', 'H2GH22', 'H1FS8', 'H1FS4', 'H2GH31', 'H2DS6', 'H2WP7', 'H1WP1', 'H1FS5', 'H2PF16', 'H2TO30', 'H1WP7', 'H1TO9', 'H1GH29', 'H2ED3', 'H1PF10', 'H1PF14', 'S62R', 'H2FV5', 'H2DS10', 'H1GH17', 'H1PF1'],48,58,18
8,0.7215639810426541,['H1PF26', 'H2FS6', 'H2PF21', 'H2FS14', 'H1ED20', 'S59E', 'H2FV1', 'H2ED15', 'H1PF23', 'H1FS17', 'H1EE7', 'H1DA6', 'H1TO3', 'H2PF35', 'H2GH22', 'H1FS8', 'H1FS4', 'H2GH31', 'H2DS6', 'H2WP7', 'H1WP1', 'H1FS5', 'H2PF16', 'H2TO30', 'H1WP7', 'H1TO9', 'H1GH29', 'H2ED3', 'H1PF10', 'H1PF14', 'S62R', 'H2FV5', 'H2DS10', 'H1GH17', 'H1PF1'],48,58,18
9,0.7215639810426541,['H1PF26', 'H2FS6', 'H2PF21', 'H2FS14', 'H1ED20', 'S59E', 'H2FV1', 'H2ED15', 'H1PF23', 'H1FS17', 'H1EE7', 'H1DA6', 'H1TO3', 'H2PF35', 'H2GH22', 'H1FS8', 'H1FS4', 'H2GH31', 'H2DS6', 'H2WP7', 'H1WP1', 'H1FS5', 'H2PF16', 'H2TO30', 'H1WP7', 'H1TO9', 'H1GH29', 'H2ED3', 'H1PF10', 'H1PF14', 'S62R', 'H2FV5', 'H2DS10', 'H1GH17', 'H1PF1'],48,58,18
10,0.7215639810426541,['H1PF26', 'H2FS6', 'H2PF21', 'H2FS14', 'H1ED20', 'S59E', 'H2FV1', 'H2ED15', 'H1PF23', 'H1FS17', 'H1EE7', 'H1DA6', 'H1TO3', 'H2PF35', 'H2GH22', 'H1FS8', 'H1FS4', 'H2GH31', 'H2DS6', 'H2WP7', 'H1WP1', 'H1FS5', 'H2PF16', 'H2TO30', 'H1WP7', 'H1TO9', 'H1GH29', 'H2ED3', 'H1PF10', 'H1PF14', 'S62R', 'H2FV5', 'H2DS10', 'H1GH17', 'H1PF1'],48,58,18
