curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
0,0.7209715639810427,['S60L', 'H2PF12', 'H1IR12', 'H2PF28', 'H2DS4', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2ED11', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'S59E', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H1DS5', 'H2WP6', 'H2PF24', 'H2ED5', 'H1PF16', 'H1DS10', 'H2PF5', 'H1WP5', 'H2DS5', 'H1FS11', 'H2GH23'],86,39,26
1,0.7209715639810427,['S60L', 'H2PF12', 'H1IR12', 'H2PF28', 'H2DS4', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2ED11', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'S59E', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H1DS5', 'H2WP6', 'H2PF24', 'H2ED5', 'H1PF16', 'H1DS10', 'H2PF5', 'H1WP5', 'H2DS5', 'H1FS11', 'H2GH23'],86,39,26
2,0.7209715639810427,['S60L', 'H2PF12', 'H1IR12', 'H2PF28', 'H2DS4', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2ED11', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'S59E', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H1DS5', 'H2WP6', 'H2PF24', 'H2ED5', 'H1PF16', 'H1DS10', 'H2PF5', 'H1WP5', 'H2DS5', 'H1FS11', 'H2GH23'],86,39,26
3,0.7209715639810427,['S60L', 'H2PF12', 'H1IR12', 'H2PF28', 'H2DS4', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2ED11', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'S59E', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H1DS5', 'H2WP6', 'H2PF24', 'H2ED5', 'H1PF16', 'H1DS10', 'H2PF5', 'H1WP5', 'H2DS5', 'H1FS11', 'H2GH23'],86,39,26
4,0.7209715639810427,['S60L', 'H2PF12', 'H1IR12', 'H2PF28', 'H2DS4', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2ED11', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'S59E', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H1DS5', 'H2WP6', 'H2PF24', 'H2ED5', 'H1PF16', 'H1DS10', 'H2PF5', 'H1WP5', 'H2DS5', 'H1FS11', 'H2GH23'],86,39,26
5,0.7209715639810427,['S60L', 'H2PF12', 'H1IR12', 'H2PF28', 'H2DS4', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2ED11', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'S59E', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H1DS5', 'H2WP6', 'H2PF24', 'H2ED5', 'H1PF16', 'H1DS10', 'H2PF5', 'H1WP5', 'H2DS5', 'H1FS11', 'H2GH23'],86,39,26
6,0.7209715639810427,['S60L', 'H2PF12', 'H1IR12', 'H2PF28', 'H2DS4', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2ED11', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'S59E', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H1DS5', 'H2WP6', 'H2PF24', 'H2ED5', 'H1PF16', 'H1DS10', 'H2PF5', 'H1WP5', 'H2DS5', 'H1FS11', 'H2GH23'],86,39,26
7,0.7209715639810427,['S60L', 'H2PF12', 'H1IR12', 'H2PF28', 'H2DS4', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2ED11', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'S59E', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H1DS5', 'H2WP6', 'H2PF24', 'H2ED5', 'H1PF16', 'H1DS10', 'H2PF5', 'H1WP5', 'H2DS5', 'H1FS11', 'H2GH23'],86,39,26
8,0.7209715639810427,['S60L', 'H2PF12', 'H1IR12', 'H2PF28', 'H2DS4', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2ED11', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'S59E', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H1DS5', 'H2WP6', 'H2PF24', 'H2ED5', 'H1PF16', 'H1DS10', 'H2PF5', 'H1WP5', 'H2DS5', 'H1FS11', 'H2GH23'],86,39,26
9,0.726303317535545,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1PF33', 'H1RM14', 'H1FS15', 'H1PF7', 'S59E', 'H1FS2', 'PA56', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1DS7', 'H2DS3', 'H1FS13', 'H1FS4', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2FS14', 'H2FV3', 'H1TO1', 'S45A', 'H1ED15', 'H1PF35', 'H1FS9', 'S45C', 'S62Q', 'H1PF4', 'H1WP14', 'H2DS14', 'H2FS6', 'S62R', 'H2SE4'],31,95,18
10,0.726303317535545,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1PF33', 'H1RM14', 'H1FS15', 'H1PF7', 'S59E', 'H1FS2', 'PA56', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1DS7', 'H2DS3', 'H1FS13', 'H1FS4', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2FS14', 'H2FV3', 'H1TO1', 'S45A', 'H1ED15', 'H1PF35', 'H1FS9', 'S45C', 'S62Q', 'H1PF4', 'H1WP14', 'H2DS14', 'H2FS6', 'S62R', 'H2SE4'],31,95,18
