curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
0,0.715047393364929,['H1DA6', 'S62Q', 'H1DS13', 'H2PF16', 'H2WP10', 'H2ED11', 'H1WP14', 'H2DS2', 'H1DS8', 'H1ED19', 'PA56', 'S62B', 'H1PF1', 'H2PF28', 'H1GH20', 'H1DS10', 'H2PR5', 'H1FS6', 'H1EE7', 'H1RF14', 'H2FV7', 'H2FS16', 'H2PR3', 'H1WP1', 'H1ED9', 'H1FS17', 'H2FS13', 'H2FS3', 'H1PF36', 'H2DS11', 'H2ED5', 'H2FS7', 'H2DS5', 'H1WP10', 'H1PF10', 'H1TO3', 'S45C', 'H1FS4', 'H2DS6', 'H1FS1', 'H1GH19', 'S60O', 'H2WP1', 'H2PF26', 'H1DS6', 'H2DS10', 'H2TO28', 'H2TO15', 'H1DS7', 'H2ED13', 'H1FS16', 'H1ED24', 'H1DS14', 'H1TO9', 'H1FS11'],64,94,31
1,0.715047393364929,['H1DA6', 'S62Q', 'H1DS13', 'H2PF16', 'H2WP10', 'H2ED11', 'H1WP14', 'H2DS2', 'H1DS8', 'H1ED19', 'PA56', 'S62B', 'H1PF1', 'H2PF28', 'H1GH20', 'H1DS10', 'H2PR5', 'H1FS6', 'H1EE7', 'H1RF14', 'H2FV7', 'H2FS16', 'H2PR3', 'H1WP1', 'H1ED9', 'H1FS17', 'H2FS13', 'H2FS3', 'H1PF36', 'H2DS11', 'H2ED5', 'H2FS7', 'H2DS5', 'H1WP10', 'H1PF10', 'H1TO3', 'S45C', 'H1FS4', 'H2DS6', 'H1FS1', 'H1GH19', 'S60O', 'H2WP1', 'H2PF26', 'H1DS6', 'H2DS10', 'H2TO28', 'H2TO15', 'H1DS7', 'H2ED13', 'H1FS16', 'H1ED24', 'H1DS14', 'H1TO9', 'H1FS11'],64,94,31
2,0.7156398104265402,['H1FS7', 'H1PF16', 'S62M', 'H2PF17', 'H2PF24', 'H2GH45', 'H2GH31', 'H2FV4', 'H2PR3', 'H2FS7', 'S62E', 'H2PF12', 'H2WP5', 'H2FS5', 'H2PF21', 'S62H', 'H2WP3', 'H2PR5', 'H2ED11', 'H2PF10', 'H1PF36', 'H2DS9', 'H1DS15', 'H1IR12', 'H1DS7', 'S62Q', 'H2GH25', 'H1ED18', 'H1ED9', 'H1FS6', 'H1WP3', 'H2FS13', 'H1TO3', 'H1PF14', 'H2ED15', 'H2ED14', 'H2DS5', 'H2WP2', 'H1DS9', 'H2PF34', 'H1PF14', 'H2PF29', 'H2FS4', 'H2WP10', 'H2WP7', 'H2PF35', 'PA21', 'H2DS10', 'H2PF1', 'H1ED19', 'H2TO25', 'H1FS11', 'H2WP13', 'H1PF4', 'H2ED13'],50,47,48
3,0.7156398104265402,['H1FS7', 'H1PF16', 'S62M', 'H2PF17', 'H2PF24', 'H2GH45', 'H2GH31', 'H2FV4', 'H2PR3', 'H2FS7', 'S62E', 'H2PF12', 'H2WP5', 'H2FS5', 'H2PF21', 'S62H', 'H2WP3', 'H2PR5', 'H2ED11', 'H2PF10', 'H1PF36', 'H2DS9', 'H1DS15', 'H1IR12', 'H1DS7', 'S62Q', 'H2GH25', 'H1ED18', 'H1ED9', 'H1FS6', 'H1WP3', 'H2FS13', 'H1TO3', 'H1PF14', 'H2ED15', 'H2ED14', 'H2DS5', 'H2WP2', 'H1DS9', 'H2PF34', 'H1PF14', 'H2PF29', 'H2FS4', 'H2WP10', 'H2WP7', 'H2PF35', 'PA21', 'H2DS10', 'H2PF1', 'H1ED19', 'H2TO25', 'H1FS11', 'H2WP13', 'H1PF4', 'H2ED13'],50,47,48
4,0.7156398104265402,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1PF33', 'H1RM14', 'H1FS15', 'H1PF7', 'H2PR3', 'H1FS2', 'H2TO11', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1DS7', 'H2DS3', 'H1FS13', 'H1FS4', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2DS7', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2FS14', 'H2FV3', 'H1TO1', 'S45A', 'H1ED15', 'H1PF35', 'H1FS9', 'S45C', 'H2GH24', 'H1PF4', 'H1WP14', 'H2DS14', 'H2FS6', 'S62R', 'H2SE4', 'H1PF8', 'H2FS18', 'H2EE14', 'PA21', 'H1ED17'],28,97,16
5,0.7156398104265402,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1PF33', 'H1RM14', 'H1FS15', 'H1PF7', 'H2PR3', 'H1FS2', 'H2TO11', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1DS7', 'H2DS3', 'H1FS13', 'H1FS4', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2DS7', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2FS14', 'H2FV3', 'H1TO1', 'S45A', 'H1ED15', 'H1PF35', 'H1FS9', 'S45C', 'H2GH24', 'H1PF4', 'H1WP14', 'H2DS14', 'H2FS6', 'S62R', 'H2SE4', 'H1PF8', 'H2FS18', 'H2EE14', 'PA21', 'H1ED17'],28,97,16
6,0.7215639810426541,['H1FS7', 'S59E', 'H2PR3', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62M', 'H2FS4', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H1ED2', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H1PF33', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H1DA6', 'H1GH21', 'H2PF17', 'H1TO3', 'H2GH25', 'H2ED12', 'H2FS7', 'S60K', 'H1SE4', 'H1RF14'],54,76,28
7,0.7215639810426541,['H1FS7', 'S59E', 'H2PR3', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62M', 'H2FS4', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H1ED2', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H1PF33', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H1DA6', 'H1GH21', 'H2PF17', 'H1TO3', 'H2GH25', 'H2ED12', 'H2FS7', 'S60K', 'H1SE4', 'H1RF14'],54,76,28
8,0.7215639810426541,['H1FS7', 'S59E', 'H2PR3', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62M', 'H2FS4', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H1ED2', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H1PF33', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H1DA6', 'H1GH21', 'H2PF17', 'H1TO3', 'H2GH25', 'H2ED12', 'H2FS7', 'S60K', 'H1SE4', 'H1RF14'],54,76,28
9,0.7215639810426541,['H1FS7', 'S59E', 'H2PR3', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62M', 'H2FS4', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H1ED2', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H1PF33', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H1DA6', 'H1GH21', 'H2PF17', 'H1TO3', 'H2GH25', 'H2ED12', 'H2FS7', 'S60K', 'H1SE4', 'H1RF14'],54,76,28
10,0.7215639810426541,['H1FS7', 'S59E', 'H2PR3', 'H2DS9', 'H2DS1', 'H1FS12', 'S60L', 'H1ED19', 'H2FS13', 'H1PF14', 'H2PF12', 'H1PF16', 'H2FS3', 'H1PF30', 'S62M', 'H2FS4', 'H1ED24', 'H2FS6', 'H1ED15', 'H2GH45', 'H2WP5', 'H2FS1', 'H1TO12', 'H2WP10', 'H1DS6', 'H1ED2', 'H2PF7', 'H2PF35', 'H1GH28', 'S62E', 'H1ED2', 'H1FS5', 'S60O', 'H2ED17', 'H1GH18', 'H2WP14', 'H1TO50', 'H1PF33', 'H1WP7', 'H2PF28', 'H2GH30', 'H2TO28', 'H2TO26', 'H1GH22', 'H1PF8', 'H1DA6', 'H1GH21', 'H2PF17', 'H1TO3', 'H2GH25', 'H2ED12', 'H2FS7', 'S60K', 'H1SE4', 'H1RF14'],54,76,28
