curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
0,0.7227488151658767,['H1EE5', 'H2FV4', 'H1FS2', 'H2PF32', 'S60M', 'H1ED24', 'H2PF34', 'H2FS13', 'H2ED15', 'H2FS18', 'S62H', 'H2ED5', 'H2EE12', 'H1DS9', 'H2PF30', 'H2DS4', 'H2FV5', 'S60O', 'H1PF35', 'H1GH17', 'H2FS8', 'H1FS15', 'H2WP4', 'H1TO9', 'H1PF10', 'H1FS17', 'PA56', 'H1TO12', 'S62M', 'H1WP4', 'PA21', 'H1PF14', 'H1PF10', 'H1PF16', 'H2FS10', 'H1PF5', 'S62E', 'H2DS8', 'H1FS5', 'H2WP6', 'H1FS10', 'H1WP7', 'H1PF7', 'H1TO3', 'H1EE7', 'H1PF16', 'H2DS7', 'H2PF1', 'H2TO27', 'H1ED16', 'H1FS12', 'H1FS13', 'H1PF14', 'H2GH24', 'H1PF34', 'H2PF25', 'H2WP1', 'S62Q', 'H2PF16', 'H2FS4', 'H2PF35', 'H2PF9', 'H1TS3', 'H1FS7', 'H2DS10', 'H2PF24', 'H1PF30', 'H2FS12', 'H1WP3', 'H2WP5'],99,68,59
1,0.7227488151658767,['H1EE5', 'H2FV4', 'H1FS2', 'H2PF32', 'S60M', 'H1ED24', 'H2PF34', 'H2FS13', 'H2ED15', 'H2FS18', 'S62H', 'H2ED5', 'H2EE12', 'H1DS9', 'H2PF30', 'H2DS4', 'H2FV5', 'S60O', 'H1PF35', 'H1GH17', 'H2FS8', 'H1FS15', 'H2WP4', 'H1TO9', 'H1PF10', 'H1FS17', 'PA56', 'H1TO12', 'S62M', 'H1WP4', 'PA21', 'H1PF14', 'H1PF10', 'H1PF16', 'H2FS10', 'H1PF5', 'S62E', 'H2DS8', 'H1FS5', 'H2WP6', 'H1FS10', 'H1WP7', 'H1PF7', 'H1TO3', 'H1EE7', 'H1PF16', 'H2DS7', 'H2PF1', 'H2TO27', 'H1ED16', 'H1FS12', 'H1FS13', 'H1PF14', 'H2GH24', 'H1PF34', 'H2PF25', 'H2WP1', 'S62Q', 'H2PF16', 'H2FS4', 'H2PF35', 'H2PF9', 'H1TS3', 'H1FS7', 'H2DS10', 'H2PF24', 'H1PF30', 'H2FS12', 'H1WP3', 'H2WP5'],99,68,59
2,0.7233412322274881,['H1FS19', 'H1PF25', 'H2SE4', 'H2PR3', 'H2PF1', 'H2PF21', 'H1PF1', 'H2DS9', 'H1PF4', 'H1PF15', 'H2DS13', 'H1TO3', 'H2PF17', 'H2FS15', 'H2FS18', 'S60K', 'H2FS19', 'H1SE4', 'H2DS14', 'H1GH21', 'H1TO9', 'H1ED17', 'H2ED16', 'S60M', 'H2TO11', 'H2GH22', 'H1DS5', 'H2DS4', 'H1GH19', 'H2PF22', 'H1GH22', 'H1DA2', 'H1PF14', 'H2EE12', 'H2WP3', 'H2PF9', 'H2FS12', 'H1FS7', 'H1FS15', 'H2WP9', 'H2FS16', 'H1DS8', 'H2GH24', 'H2DS5', 'H2GH27', 'H2PF13', 'H2GH30', 'H2FS1', 'H2PF34', 'H1FS4', 'H2TO26', 'H2TO27', 'S62H', 'H1DS6', 'H2WP14', 'H2PF7', 'H1PF16', 'H1GH52', 'H2ED14', 'H1FS1', 'H1FS9', 'H2PR5', 'H2PF16', 'H1ED18', 'H1ED19', 'H2FV4', 'H1GH17', 'H2TO15', 'H2PR4', 'H2PF15'],87,59,46
3,0.7233412322274881,['H1FS19', 'H1PF25', 'H2SE4', 'H2PR3', 'H2PF1', 'H2PF21', 'H1PF1', 'H2DS9', 'H1PF4', 'H1PF15', 'H2DS13', 'H1TO3', 'H2PF17', 'H2FS15', 'H2FS18', 'S60K', 'H2FS19', 'H1SE4', 'H2DS14', 'H1GH21', 'H1TO9', 'H1ED17', 'H2ED16', 'S60M', 'H2TO11', 'H2GH22', 'H1DS5', 'H2DS4', 'H1GH19', 'H2PF22', 'H1GH22', 'H1DA2', 'H1PF14', 'H2EE12', 'H2WP3', 'H2PF9', 'H2FS12', 'H1FS7', 'H1FS15', 'H2WP9', 'H2FS16', 'H1DS8', 'H2GH24', 'H2DS5', 'H2GH27', 'H2PF13', 'H2GH30', 'H2FS1', 'H2PF34', 'H1FS4', 'H2TO26', 'H2TO27', 'S62H', 'H1DS6', 'H2WP14', 'H2PF7', 'H1PF16', 'H1GH52', 'H2ED14', 'H1FS1', 'H1FS9', 'H2PR5', 'H2PF16', 'H1ED18', 'H1ED19', 'H2FV4', 'H1GH17', 'H2TO15', 'H2PR4', 'H2PF15'],87,59,46
4,0.7233412322274881,['H1FS19', 'H1PF25', 'H2SE4', 'H2PR3', 'H2PF1', 'H2PF21', 'H1PF1', 'H2DS9', 'H1PF4', 'H1PF15', 'H2DS13', 'H1TO3', 'H2PF17', 'H2FS15', 'H2FS18', 'S60K', 'H2FS19', 'H1SE4', 'H2DS14', 'H1GH21', 'H1TO9', 'H1ED17', 'H2ED16', 'S60M', 'H2TO11', 'H2GH22', 'H1DS5', 'H2DS4', 'H1GH19', 'H2PF22', 'H1GH22', 'H1DA2', 'H1PF14', 'H2EE12', 'H2WP3', 'H2PF9', 'H2FS12', 'H1FS7', 'H1FS15', 'H2WP9', 'H2FS16', 'H1DS8', 'H2GH24', 'H2DS5', 'H2GH27', 'H2PF13', 'H2GH30', 'H2FS1', 'H2PF34', 'H1FS4', 'H2TO26', 'H2TO27', 'S62H', 'H1DS6', 'H2WP14', 'H2PF7', 'H1PF16', 'H1GH52', 'H2ED14', 'H1FS1', 'H1FS9', 'H2PR5', 'H2PF16', 'H1ED18', 'H1ED19', 'H2FV4', 'H1GH17', 'H2TO15', 'H2PR4', 'H2PF15'],87,59,46
5,0.7233412322274881,['H1FS19', 'H1PF25', 'H2SE4', 'H2PR3', 'H2PF1', 'H2PF21', 'H1PF1', 'H2DS9', 'H1PF4', 'H1PF15', 'H2DS13', 'H1TO3', 'H2PF17', 'H2FS15', 'H2FS18', 'S60K', 'H2FS19', 'H1SE4', 'H2DS14', 'H1GH21', 'H1TO9', 'H1ED17', 'H2ED16', 'S60M', 'H2TO11', 'H2GH22', 'H1DS5', 'H2DS4', 'H1GH19', 'H2PF22', 'H1GH22', 'H1DA2', 'H1PF14', 'H2EE12', 'H2WP3', 'H2PF9', 'H2FS12', 'H1FS7', 'H1FS15', 'H2WP9', 'H2FS16', 'H1DS8', 'H2GH24', 'H2DS5', 'H2GH27', 'H2PF13', 'H2GH30', 'H2FS1', 'H2PF34', 'H1FS4', 'H2TO26', 'H2TO27', 'S62H', 'H1DS6', 'H2WP14', 'H2PF7', 'H1PF16', 'H1GH52', 'H2ED14', 'H1FS1', 'H1FS9', 'H2PR5', 'H2PF16', 'H1ED18', 'H1ED19', 'H2FV4', 'H1GH17', 'H2TO15', 'H2PR4', 'H2PF15'],87,59,46
6,0.7233412322274881,['H1FS19', 'H1PF25', 'H2SE4', 'H2PR3', 'H2PF1', 'H2PF21', 'H1PF1', 'H2DS9', 'H1PF4', 'H1PF15', 'H2DS13', 'H1TO3', 'H2PF17', 'H2FS15', 'H2FS18', 'S60K', 'H2FS19', 'H1SE4', 'H2DS14', 'H1GH21', 'H1TO9', 'H1ED17', 'H2ED16', 'S60M', 'H2TO11', 'H2GH22', 'H1DS5', 'H2DS4', 'H1GH19', 'H2PF22', 'H1GH22', 'H1DA2', 'H1PF14', 'H2EE12', 'H2WP3', 'H2PF9', 'H2FS12', 'H1FS7', 'H1FS15', 'H2WP9', 'H2FS16', 'H1DS8', 'H2GH24', 'H2DS5', 'H2GH27', 'H2PF13', 'H2GH30', 'H2FS1', 'H2PF34', 'H1FS4', 'H2TO26', 'H2TO27', 'S62H', 'H1DS6', 'H2WP14', 'H2PF7', 'H1PF16', 'H1GH52', 'H2ED14', 'H1FS1', 'H1FS9', 'H2PR5', 'H2PF16', 'H1ED18', 'H1ED19', 'H2FV4', 'H1GH17', 'H2TO15', 'H2PR4', 'H2PF15'],87,59,46
7,0.7233412322274881,['H1FS19', 'H1PF25', 'H2SE4', 'H2PR3', 'H2PF1', 'H2PF21', 'H1PF1', 'H2DS9', 'H1PF4', 'H1PF15', 'H2DS13', 'H1TO3', 'H2PF17', 'H2FS15', 'H2FS18', 'S60K', 'H2FS19', 'H1SE4', 'H2DS14', 'H1GH21', 'H1TO9', 'H1ED17', 'H2ED16', 'S60M', 'H2TO11', 'H2GH22', 'H1DS5', 'H2DS4', 'H1GH19', 'H2PF22', 'H1GH22', 'H1DA2', 'H1PF14', 'H2EE12', 'H2WP3', 'H2PF9', 'H2FS12', 'H1FS7', 'H1FS15', 'H2WP9', 'H2FS16', 'H1DS8', 'H2GH24', 'H2DS5', 'H2GH27', 'H2PF13', 'H2GH30', 'H2FS1', 'H2PF34', 'H1FS4', 'H2TO26', 'H2TO27', 'S62H', 'H1DS6', 'H2WP14', 'H2PF7', 'H1PF16', 'H1GH52', 'H2ED14', 'H1FS1', 'H1FS9', 'H2PR5', 'H2PF16', 'H1ED18', 'H1ED19', 'H2FV4', 'H1GH17', 'H2TO15', 'H2PR4', 'H2PF15'],87,59,46
8,0.7233412322274881,['H1FS19', 'H1PF25', 'H2SE4', 'H2PR3', 'H2PF1', 'H2PF21', 'H1PF1', 'H2DS9', 'H1PF4', 'H1PF15', 'H2DS13', 'H1TO3', 'H2PF17', 'H2FS15', 'H2FS18', 'S60K', 'H2FS19', 'H1SE4', 'H2DS14', 'H1GH21', 'H1TO9', 'H1ED17', 'H2ED16', 'S60M', 'H2TO11', 'H2GH22', 'H1DS5', 'H2DS4', 'H1GH19', 'H2PF22', 'H1GH22', 'H1DA2', 'H1PF14', 'H2EE12', 'H2WP3', 'H2PF9', 'H2FS12', 'H1FS7', 'H1FS15', 'H2WP9', 'H2FS16', 'H1DS8', 'H2GH24', 'H2DS5', 'H2GH27', 'H2PF13', 'H2GH30', 'H2FS1', 'H2PF34', 'H1FS4', 'H2TO26', 'H2TO27', 'S62H', 'H1DS6', 'H2WP14', 'H2PF7', 'H1PF16', 'H1GH52', 'H2ED14', 'H1FS1', 'H1FS9', 'H2PR5', 'H2PF16', 'H1ED18', 'H1ED19', 'H2FV4', 'H1GH17', 'H2TO15', 'H2PR4', 'H2PF15'],87,59,46
9,0.7233412322274881,['H1FS19', 'H1PF25', 'H2SE4', 'H2PR3', 'H2PF1', 'H2PF21', 'H1PF1', 'H2DS9', 'H1PF4', 'H1PF15', 'H2DS13', 'H1TO3', 'H2PF17', 'H2FS15', 'H2FS18', 'S60K', 'H2FS19', 'H1SE4', 'H2DS14', 'H1GH21', 'H1TO9', 'H1ED17', 'H2ED16', 'S60M', 'H2TO11', 'H2GH22', 'H1DS5', 'H2DS4', 'H1GH19', 'H2PF22', 'H1GH22', 'H1DA2', 'H1PF14', 'H2EE12', 'H2WP3', 'H2PF9', 'H2FS12', 'H1FS7', 'H1FS15', 'H2WP9', 'H2FS16', 'H1DS8', 'H2GH24', 'H2DS5', 'H2GH27', 'H2PF13', 'H2GH30', 'H2FS1', 'H2PF34', 'H1FS4', 'H2TO26', 'H2TO27', 'S62H', 'H1DS6', 'H2WP14', 'H2PF7', 'H1PF16', 'H1GH52', 'H2ED14', 'H1FS1', 'H1FS9', 'H2PR5', 'H2PF16', 'H1ED18', 'H1ED19', 'H2FV4', 'H1GH17', 'H2TO15', 'H2PR4', 'H2PF15'],87,59,46
10,0.7233412322274881,['H1FS19', 'H1PF25', 'H2SE4', 'H2PR3', 'H2PF1', 'H2PF21', 'H1PF1', 'H2DS9', 'H1PF4', 'H1PF15', 'H2DS13', 'H1TO3', 'H2PF17', 'H2FS15', 'H2FS18', 'S60K', 'H2FS19', 'H1SE4', 'H2DS14', 'H1GH21', 'H1TO9', 'H1ED17', 'H2ED16', 'S60M', 'H2TO11', 'H2GH22', 'H1DS5', 'H2DS4', 'H1GH19', 'H2PF22', 'H1GH22', 'H1DA2', 'H1PF14', 'H2EE12', 'H2WP3', 'H2PF9', 'H2FS12', 'H1FS7', 'H1FS15', 'H2WP9', 'H2FS16', 'H1DS8', 'H2GH24', 'H2DS5', 'H2GH27', 'H2PF13', 'H2GH30', 'H2FS1', 'H2PF34', 'H1FS4', 'H2TO26', 'H2TO27', 'S62H', 'H1DS6', 'H2WP14', 'H2PF7', 'H1PF16', 'H1GH52', 'H2ED14', 'H1FS1', 'H1FS9', 'H2PR5', 'H2PF16', 'H1ED18', 'H1ED19', 'H2FV4', 'H1GH17', 'H2TO15', 'H2PR4', 'H2PF15'],87,59,46
