curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
0,0.7251184834123223,['H2PF17', 'H1PF16', 'H1GH21', 'H2PR5', 'H1DS13', 'H2GH23', 'H2DS5', 'H2FS4', 'H2SE4', 'H2FS14', 'S60K', 'H2PF35', 'H1DS5', 'H2FS1', 'H1PF1', 'H1SE4', 'H2WP14', 'H2PF5', 'H2PF7', 'H2FV3', 'H2PF28', 'H2ED5', 'H1PF25', 'H1TO3', 'H2TO29', 'H1DS8', 'H2PF21', 'H1GH19', 'H1DA2', 'H1PF14', 'H2FS3', 'H2WP2', 'H2PF24', 'H2FS15', 'H1GH22', 'H2TO11', 'H2PF15', 'H2TO28', 'H1FS7', 'H1DS15', 'H2DS4', 'H1FS19', 'H2PF34', 'H2FS5', 'H2ED16', 'H2PF33', 'H1FS4', 'H2PR4', 'H1PF15', 'S62H', 'H1TO9', 'H2WP13', 'H1FS15', 'H1GH52', 'H2DS10', 'H1FS1', 'H1PF30', 'H2TO15', 'H2FS18', 'H1ED18', 'H1ED19', 'H2DS12', 'H1GH17', 'H2GH27', 'H2GH25', 'H2PR3', 'H2PF14', 'H2FS13', 'H1PF4', 'H1FS8', 'H2WP1', 'H1IR3', 'H1ED20', 'H1FS16', 'H2FS9'],88,58,74
1,0.7251184834123223,['H2PF17', 'H1PF16', 'H1GH21', 'H2PR5', 'H1DS13', 'H2GH23', 'H2DS5', 'H2FS4', 'H2SE4', 'H2FS14', 'S60K', 'H2PF35', 'H1DS5', 'H2FS1', 'H1PF1', 'H1SE4', 'H2WP14', 'H2PF5', 'H2PF7', 'H2FV3', 'H2PF28', 'H2ED5', 'H1PF25', 'H1TO3', 'H2TO29', 'H1DS8', 'H2PF21', 'H1GH19', 'H1DA2', 'H1PF14', 'H2FS3', 'H2WP2', 'H2PF24', 'H2FS15', 'H1GH22', 'H2TO11', 'H2PF15', 'H2TO28', 'H1FS7', 'H1DS15', 'H2DS4', 'H1FS19', 'H2PF34', 'H2FS5', 'H2ED16', 'H2PF33', 'H1FS4', 'H2PR4', 'H1PF15', 'S62H', 'H1TO9', 'H2WP13', 'H1FS15', 'H1GH52', 'H2DS10', 'H1FS1', 'H1PF30', 'H2TO15', 'H2FS18', 'H1ED18', 'H1ED19', 'H2DS12', 'H1GH17', 'H2GH27', 'H2GH25', 'H2PR3', 'H2PF14', 'H2FS13', 'H1PF4', 'H1FS8', 'H2WP1', 'H1IR3', 'H1ED20', 'H1FS16', 'H2FS9'],88,58,74
2,0.7251184834123223,['H2PF17', 'H1PF16', 'H1GH21', 'H2PR5', 'H1DS13', 'H2GH23', 'H2DS5', 'H2FS4', 'H2SE4', 'H2FS14', 'S60K', 'H2PF35', 'H1DS5', 'H2FS1', 'H1PF1', 'H1SE4', 'H2WP14', 'H2PF5', 'H2PF7', 'H2FV3', 'H2PF28', 'H2ED5', 'H1PF25', 'H1TO3', 'H2TO29', 'H1DS8', 'H2PF21', 'H1GH19', 'H1DA2', 'H1PF14', 'H2FS3', 'H2WP2', 'H2PF24', 'H2FS15', 'H1GH22', 'H2TO11', 'H2PF15', 'H2TO28', 'H1FS7', 'H1DS15', 'H2DS4', 'H1FS19', 'H2PF34', 'H2FS5', 'H2ED16', 'H2PF33', 'H1FS4', 'H2PR4', 'H1PF15', 'S62H', 'H1TO9', 'H2WP13', 'H1FS15', 'H1GH52', 'H2DS10', 'H1FS1', 'H1PF30', 'H2TO15', 'H2FS18', 'H1ED18', 'H1ED19', 'H2DS12', 'H1GH17', 'H2GH27', 'H2GH25', 'H2PR3', 'H2PF14', 'H2FS13', 'H1PF4', 'H1FS8', 'H2WP1', 'H1IR3', 'H1ED20', 'H1FS16', 'H2FS9'],88,58,74
3,0.7251184834123223,['H2PF17', 'H1PF16', 'H1GH21', 'H2PR5', 'H1DS13', 'H2GH23', 'H2DS5', 'H2FS4', 'H2SE4', 'H2FS14', 'S60K', 'H2PF35', 'H1DS5', 'H2FS1', 'H1PF1', 'H1SE4', 'H2WP14', 'H2PF5', 'H2PF7', 'H2FV3', 'H2PF28', 'H2ED5', 'H1PF25', 'H1TO3', 'H2TO29', 'H1DS8', 'H2PF21', 'H1GH19', 'H1DA2', 'H1PF14', 'H2FS3', 'H2WP2', 'H2PF24', 'H2FS15', 'H1GH22', 'H2TO11', 'H2PF15', 'H2TO28', 'H1FS7', 'H1DS15', 'H2DS4', 'H1FS19', 'H2PF34', 'H2FS5', 'H2ED16', 'H2PF33', 'H1FS4', 'H2PR4', 'H1PF15', 'S62H', 'H1TO9', 'H2WP13', 'H1FS15', 'H1GH52', 'H2DS10', 'H1FS1', 'H1PF30', 'H2TO15', 'H2FS18', 'H1ED18', 'H1ED19', 'H2DS12', 'H1GH17', 'H2GH27', 'H2GH25', 'H2PR3', 'H2PF14', 'H2FS13', 'H1PF4', 'H1FS8', 'H2WP1', 'H1IR3', 'H1ED20', 'H1FS16', 'H2FS9'],88,58,74
4,0.7251184834123223,['H2PF17', 'H1PF16', 'H1GH21', 'H2PR5', 'H1DS13', 'H2GH23', 'H2DS5', 'H2FS4', 'H2SE4', 'H2FS14', 'S60K', 'H2PF35', 'H1DS5', 'H2FS1', 'H1PF1', 'H1SE4', 'H2WP14', 'H2PF5', 'H2PF7', 'H2FV3', 'H2PF28', 'H2ED5', 'H1PF25', 'H1TO3', 'H2TO29', 'H1DS8', 'H2PF21', 'H1GH19', 'H1DA2', 'H1PF14', 'H2FS3', 'H2WP2', 'H2PF24', 'H2FS15', 'H1GH22', 'H2TO11', 'H2PF15', 'H2TO28', 'H1FS7', 'H1DS15', 'H2DS4', 'H1FS19', 'H2PF34', 'H2FS5', 'H2ED16', 'H2PF33', 'H1FS4', 'H2PR4', 'H1PF15', 'S62H', 'H1TO9', 'H2WP13', 'H1FS15', 'H1GH52', 'H2DS10', 'H1FS1', 'H1PF30', 'H2TO15', 'H2FS18', 'H1ED18', 'H1ED19', 'H2DS12', 'H1GH17', 'H2GH27', 'H2GH25', 'H2PR3', 'H2PF14', 'H2FS13', 'H1PF4', 'H1FS8', 'H2WP1', 'H1IR3', 'H1ED20', 'H1FS16', 'H2FS9'],88,58,74
5,0.7251184834123223,['H2PF17', 'H1PF16', 'H1GH21', 'H2PR5', 'H1DS13', 'H2GH23', 'H2DS5', 'H2FS4', 'H2SE4', 'H2FS14', 'S60K', 'H2PF35', 'H1DS5', 'H2FS1', 'H1PF1', 'H1SE4', 'H2WP14', 'H2PF5', 'H2PF7', 'H2FV3', 'H2PF28', 'H2ED5', 'H1PF25', 'H1TO3', 'H2TO29', 'H1DS8', 'H2PF21', 'H1GH19', 'H1DA2', 'H1PF14', 'H2FS3', 'H2WP2', 'H2PF24', 'H2FS15', 'H1GH22', 'H2TO11', 'H2PF15', 'H2TO28', 'H1FS7', 'H1DS15', 'H2DS4', 'H1FS19', 'H2PF34', 'H2FS5', 'H2ED16', 'H2PF33', 'H1FS4', 'H2PR4', 'H1PF15', 'S62H', 'H1TO9', 'H2WP13', 'H1FS15', 'H1GH52', 'H2DS10', 'H1FS1', 'H1PF30', 'H2TO15', 'H2FS18', 'H1ED18', 'H1ED19', 'H2DS12', 'H1GH17', 'H2GH27', 'H2GH25', 'H2PR3', 'H2PF14', 'H2FS13', 'H1PF4', 'H1FS8', 'H2WP1', 'H1IR3', 'H1ED20', 'H1FS16', 'H2FS9'],88,58,74
6,0.7251184834123223,['H2PF17', 'H1PF16', 'H1GH21', 'H2PR5', 'H1DS13', 'H2GH23', 'H2DS5', 'H2FS4', 'H2SE4', 'H2FS14', 'S60K', 'H2PF35', 'H1DS5', 'H2FS1', 'H1PF1', 'H1SE4', 'H2WP14', 'H2PF5', 'H2PF7', 'H2FV3', 'H2PF28', 'H2ED5', 'H1PF25', 'H1TO3', 'H2TO29', 'H1DS8', 'H2PF21', 'H1GH19', 'H1DA2', 'H1PF14', 'H2FS3', 'H2WP2', 'H2PF24', 'H2FS15', 'H1GH22', 'H2TO11', 'H2PF15', 'H2TO28', 'H1FS7', 'H1DS15', 'H2DS4', 'H1FS19', 'H2PF34', 'H2FS5', 'H2ED16', 'H2PF33', 'H1FS4', 'H2PR4', 'H1PF15', 'S62H', 'H1TO9', 'H2WP13', 'H1FS15', 'H1GH52', 'H2DS10', 'H1FS1', 'H1PF30', 'H2TO15', 'H2FS18', 'H1ED18', 'H1ED19', 'H2DS12', 'H1GH17', 'H2GH27', 'H2GH25', 'H2PR3', 'H2PF14', 'H2FS13', 'H1PF4', 'H1FS8', 'H2WP1', 'H1IR3', 'H1ED20', 'H1FS16', 'H2FS9'],88,58,74
7,0.7251184834123223,['H2PF17', 'H1PF16', 'H1GH21', 'H2PR5', 'H1DS13', 'H2GH23', 'H2DS5', 'H2FS4', 'H2SE4', 'H2FS14', 'S60K', 'H2PF35', 'H1DS5', 'H2FS1', 'H1PF1', 'H1SE4', 'H2WP14', 'H2PF5', 'H2PF7', 'H2FV3', 'H2PF28', 'H2ED5', 'H1PF25', 'H1TO3', 'H2TO29', 'H1DS8', 'H2PF21', 'H1GH19', 'H1DA2', 'H1PF14', 'H2FS3', 'H2WP2', 'H2PF24', 'H2FS15', 'H1GH22', 'H2TO11', 'H2PF15', 'H2TO28', 'H1FS7', 'H1DS15', 'H2DS4', 'H1FS19', 'H2PF34', 'H2FS5', 'H2ED16', 'H2PF33', 'H1FS4', 'H2PR4', 'H1PF15', 'S62H', 'H1TO9', 'H2WP13', 'H1FS15', 'H1GH52', 'H2DS10', 'H1FS1', 'H1PF30', 'H2TO15', 'H2FS18', 'H1ED18', 'H1ED19', 'H2DS12', 'H1GH17', 'H2GH27', 'H2GH25', 'H2PR3', 'H2PF14', 'H2FS13', 'H1PF4', 'H1FS8', 'H2WP1', 'H1IR3', 'H1ED20', 'H1FS16', 'H2FS9'],88,58,74
8,0.7251184834123223,['H2PF17', 'H1PF16', 'H1GH21', 'H2PR5', 'H1DS13', 'H2GH23', 'H2DS5', 'H2FS4', 'H2SE4', 'H2FS14', 'S60K', 'H2PF35', 'H1DS5', 'H2FS1', 'H1PF1', 'H1SE4', 'H2WP14', 'H2PF5', 'H2PF7', 'H2FV3', 'H2PF28', 'H2ED5', 'H1PF25', 'H1TO3', 'H2TO29', 'H1DS8', 'H2PF21', 'H1GH19', 'H1DA2', 'H1PF14', 'H2FS3', 'H2WP2', 'H2PF24', 'H2FS15', 'H1GH22', 'H2TO11', 'H2PF15', 'H2TO28', 'H1FS7', 'H1DS15', 'H2DS4', 'H1FS19', 'H2PF34', 'H2FS5', 'H2ED16', 'H2PF33', 'H1FS4', 'H2PR4', 'H1PF15', 'S62H', 'H1TO9', 'H2WP13', 'H1FS15', 'H1GH52', 'H2DS10', 'H1FS1', 'H1PF30', 'H2TO15', 'H2FS18', 'H1ED18', 'H1ED19', 'H2DS12', 'H1GH17', 'H2GH27', 'H2GH25', 'H2PR3', 'H2PF14', 'H2FS13', 'H1PF4', 'H1FS8', 'H2WP1', 'H1IR3', 'H1ED20', 'H1FS16', 'H2FS9'],88,58,74
9,0.7251184834123223,['H2PF17', 'H1PF16', 'H1GH21', 'H2PR5', 'H1DS13', 'H2GH23', 'H2DS5', 'H2FS4', 'H2SE4', 'H2FS14', 'S60K', 'H2PF35', 'H1DS5', 'H2FS1', 'H1PF1', 'H1SE4', 'H2WP14', 'H2PF5', 'H2PF7', 'H2FV3', 'H2PF28', 'H2ED5', 'H1PF25', 'H1TO3', 'H2TO29', 'H1DS8', 'H2PF21', 'H1GH19', 'H1DA2', 'H1PF14', 'H2FS3', 'H2WP2', 'H2PF24', 'H2FS15', 'H1GH22', 'H2TO11', 'H2PF15', 'H2TO28', 'H1FS7', 'H1DS15', 'H2DS4', 'H1FS19', 'H2PF34', 'H2FS5', 'H2ED16', 'H2PF33', 'H1FS4', 'H2PR4', 'H1PF15', 'S62H', 'H1TO9', 'H2WP13', 'H1FS15', 'H1GH52', 'H2DS10', 'H1FS1', 'H1PF30', 'H2TO15', 'H2FS18', 'H1ED18', 'H1ED19', 'H2DS12', 'H1GH17', 'H2GH27', 'H2GH25', 'H2PR3', 'H2PF14', 'H2FS13', 'H1PF4', 'H1FS8', 'H2WP1', 'H1IR3', 'H1ED20', 'H1FS16', 'H2FS9'],88,58,74
10,0.7251184834123223,['H2PF17', 'H1PF16', 'H1GH21', 'H2PR5', 'H1DS13', 'H2GH23', 'H2DS5', 'H2FS4', 'H2SE4', 'H2FS14', 'S60K', 'H2PF35', 'H1DS5', 'H2FS1', 'H1PF1', 'H1SE4', 'H2WP14', 'H2PF5', 'H2PF7', 'H2FV3', 'H2PF28', 'H2ED5', 'H1PF25', 'H1TO3', 'H2TO29', 'H1DS8', 'H2PF21', 'H1GH19', 'H1DA2', 'H1PF14', 'H2FS3', 'H2WP2', 'H2PF24', 'H2FS15', 'H1GH22', 'H2TO11', 'H2PF15', 'H2TO28', 'H1FS7', 'H1DS15', 'H2DS4', 'H1FS19', 'H2PF34', 'H2FS5', 'H2ED16', 'H2PF33', 'H1FS4', 'H2PR4', 'H1PF15', 'S62H', 'H1TO9', 'H2WP13', 'H1FS15', 'H1GH52', 'H2DS10', 'H1FS1', 'H1PF30', 'H2TO15', 'H2FS18', 'H1ED18', 'H1ED19', 'H2DS12', 'H1GH17', 'H2GH27', 'H2GH25', 'H2PR3', 'H2PF14', 'H2FS13', 'H1PF4', 'H1FS8', 'H2WP1', 'H1IR3', 'H1ED20', 'H1FS16', 'H2FS9'],88,58,74
