curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
0,0.7209715639810427,['S60L', 'H2PF12', 'H1IR12', 'H2PF28', 'H2DS4', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2ED11', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'S59E', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'H2PF29', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H1DS5', 'H2WP6', 'H2PF24', 'H2ED5', 'H1PF16', 'H1DS10', 'H2PF5', 'H1WP5', 'H2DS5', 'H1FS11', 'H2GH23', 'H1DS6', 'H1ED16', 'H1DS8', 'H1GH52', 'H2PF30', 'H1PF15', 'H2FV2', 'H2PF13', 'H1ED19', 'S62Q', 'H1PF35', 'H1FS11', 'H1ED2', 'H1FS14', 'S62O', 'H1PF2', 'H2FS9', 'H2FS13', 'H1PF10', 'H2ED16', 'H2PF7', 'H1TO50', 'PA56', 'H2TO26', 'H1PF30', 'H1EE5', 'H2PR5', 'H2PF21', 'H2TO1', 'H2FS18'],87,39,25
1,0.7209715639810427,['S60L', 'H2PF12', 'H1IR12', 'H2PF28', 'H2DS4', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2ED11', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'S59E', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'H2PF29', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H1DS5', 'H2WP6', 'H2PF24', 'H2ED5', 'H1PF16', 'H1DS10', 'H2PF5', 'H1WP5', 'H2DS5', 'H1FS11', 'H2GH23', 'H1DS6', 'H1ED16', 'H1DS8', 'H1GH52', 'H2PF30', 'H1PF15', 'H2FV2', 'H2PF13', 'H1ED19', 'S62Q', 'H1PF35', 'H1FS11', 'H1ED2', 'H1FS14', 'S62O', 'H1PF2', 'H2FS9', 'H2FS13', 'H1PF10', 'H2ED16', 'H2PF7', 'H1TO50', 'PA56', 'H2TO26', 'H1PF30', 'H1EE5', 'H2PR5', 'H2PF21', 'H2TO1', 'H2FS18'],87,39,25
2,0.7209715639810427,['S60L', 'H2PF12', 'H1IR12', 'H2PF28', 'H2DS4', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2ED11', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'S59E', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'H2PF29', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H1DS5', 'H2WP6', 'H2PF24', 'H2ED5', 'H1PF16', 'H1DS10', 'H2PF5', 'H1WP5', 'H2DS5', 'H1FS11', 'H2GH23', 'H1DS6', 'H1ED16', 'H1DS8', 'H1GH52', 'H2PF30', 'H1PF15', 'H2FV2', 'H2PF13', 'H1ED19', 'S62Q', 'H1PF35', 'H1FS11', 'H1ED2', 'H1FS14', 'S62O', 'H1PF2', 'H2FS9', 'H2FS13', 'H1PF10', 'H2ED16', 'H2PF7', 'H1TO50', 'PA56', 'H2TO26', 'H1PF30', 'H1EE5', 'H2PR5', 'H2PF21', 'H2TO1', 'H2FS18'],87,39,25
3,0.7209715639810427,['S60L', 'H2PF12', 'H1IR12', 'H2PF28', 'H2DS4', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2ED11', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'S59E', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'H2PF29', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H1DS5', 'H2WP6', 'H2PF24', 'H2ED5', 'H1PF16', 'H1DS10', 'H2PF5', 'H1WP5', 'H2DS5', 'H1FS11', 'H2GH23', 'H1DS6', 'H1ED16', 'H1DS8', 'H1GH52', 'H2PF30', 'H1PF15', 'H2FV2', 'H2PF13', 'H1ED19', 'S62Q', 'H1PF35', 'H1FS11', 'H1ED2', 'H1FS14', 'S62O', 'H1PF2', 'H2FS9', 'H2FS13', 'H1PF10', 'H2ED16', 'H2PF7', 'H1TO50', 'PA56', 'H2TO26', 'H1PF30', 'H1EE5', 'H2PR5', 'H2PF21', 'H2TO1', 'H2FS18'],87,39,25
4,0.7209715639810427,['S60L', 'H2PF12', 'H1IR12', 'H2PF28', 'H2DS4', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2ED11', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'S59E', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'H2PF29', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H1DS5', 'H2WP6', 'H2PF24', 'H2ED5', 'H1PF16', 'H1DS10', 'H2PF5', 'H1WP5', 'H2DS5', 'H1FS11', 'H2GH23', 'H1DS6', 'H1ED16', 'H1DS8', 'H1GH52', 'H2PF30', 'H1PF15', 'H2FV2', 'H2PF13', 'H1ED19', 'S62Q', 'H1PF35', 'H1FS11', 'H1ED2', 'H1FS14', 'S62O', 'H1PF2', 'H2FS9', 'H2FS13', 'H1PF10', 'H2ED16', 'H2PF7', 'H1TO50', 'PA56', 'H2TO26', 'H1PF30', 'H1EE5', 'H2PR5', 'H2PF21', 'H2TO1', 'H2FS18'],87,39,25
5,0.7251184834123223,['H1EE5', 'H2FV4', 'H1FS2', 'H2PF32', 'S60M', 'H1ED24', 'H2PF34', 'H2FS13', 'H2ED15', 'H2FS18', 'S62H', 'H2ED5', 'H2EE12', 'H1DS9', 'H2PF30', 'H2DS4', 'H2FV5', 'S60O', 'H1PF35', 'H1GH17', 'H2FS8', 'H1FS15', 'H2PF27', 'H1TO9', 'H1PF10', 'H1FS17', 'PA56', 'H1TO12', 'S62M', 'H1WP4', 'PA21', 'H1PF14', 'H1PF10', 'H1PF16', 'H2FS10', 'H1PF5', 'S62E', 'H2DS8', 'H1FS5', 'H2WP6', 'H1FS10', 'H1WP7', 'H1PF7', 'H1TO3', 'H1EE7', 'H1PF16', 'H2DS7', 'H2PF1', 'H2TO27', 'H1ED16', 'H2DS8', 'H1FS13', 'H1PF14', 'H2GH24', 'H1PF34', 'H2PF25', 'H2WP1', 'S62Q', 'S62H', 'H2FS4', 'H2PF35', 'H2PF9', 'H1TS3', 'H1FS7', 'H2DS10', 'H2PF24', 'H1PF30', 'H2FS12', 'H1WP3', 'H2WP5', 'H1DS6', 'S62B', 'H2PF4', 'H2FS19', 'H2FV3', 'H2DS12', 'S62O', 'H2WP3', 'H1FS1', 'H2PF31'],100,69,56
6,0.7251184834123223,['H1EE5', 'H2FV4', 'H1FS2', 'H2PF32', 'S60M', 'H1ED24', 'H2PF34', 'H2FS13', 'H2ED15', 'H2FS18', 'S62H', 'H2ED5', 'H2EE12', 'H1DS9', 'H2PF30', 'H2DS4', 'H2FV5', 'S60O', 'H1PF35', 'H1GH17', 'H2FS8', 'H1FS15', 'H2PF27', 'H1TO9', 'H1PF10', 'H1FS17', 'PA56', 'H1TO12', 'S62M', 'H1WP4', 'PA21', 'H1PF14', 'H1PF10', 'H1PF16', 'H2FS10', 'H1PF5', 'S62E', 'H2DS8', 'H1FS5', 'H2WP6', 'H1FS10', 'H1WP7', 'H1PF7', 'H1TO3', 'H1EE7', 'H1PF16', 'H2DS7', 'H2PF1', 'H2TO27', 'H1ED16', 'H2DS8', 'H1FS13', 'H1PF14', 'H2GH24', 'H1PF34', 'H2PF25', 'H2WP1', 'S62Q', 'S62H', 'H2FS4', 'H2PF35', 'H2PF9', 'H1TS3', 'H1FS7', 'H2DS10', 'H2PF24', 'H1PF30', 'H2FS12', 'H1WP3', 'H2WP5', 'H1DS6', 'S62B', 'H2PF4', 'H2FS19', 'H2FV3', 'H2DS12', 'S62O', 'H2WP3', 'H1FS1', 'H2PF31'],100,69,56
7,0.7251184834123223,['H1EE5', 'H2FV4', 'H1FS2', 'H2PF32', 'S60M', 'H1ED24', 'H2PF34', 'H2FS13', 'H2ED15', 'H2FS18', 'S62H', 'H2ED5', 'H2EE12', 'H1DS9', 'H2PF30', 'H2DS4', 'H2FV5', 'S60O', 'H1PF35', 'H1GH17', 'H2FS8', 'H1FS15', 'H2PF27', 'H1TO9', 'H1PF10', 'H1FS17', 'PA56', 'H1TO12', 'S62M', 'H1WP4', 'PA21', 'H1PF14', 'H1PF10', 'H1PF16', 'H2FS10', 'H1PF5', 'S62E', 'H2DS8', 'H1FS5', 'H2WP6', 'H1FS10', 'H1WP7', 'H1PF7', 'H1TO3', 'H1EE7', 'H1PF16', 'H2DS7', 'H2PF1', 'H2TO27', 'H1ED16', 'H2DS8', 'H1FS13', 'H1PF14', 'H2GH24', 'H1PF34', 'H2PF25', 'H2WP1', 'S62Q', 'S62H', 'H2FS4', 'H2PF35', 'H2PF9', 'H1TS3', 'H1FS7', 'H2DS10', 'H2PF24', 'H1PF30', 'H2FS12', 'H1WP3', 'H2WP5', 'H1DS6', 'S62B', 'H2PF4', 'H2FS19', 'H2FV3', 'H2DS12', 'S62O', 'H2WP3', 'H1FS1', 'H2PF31'],100,69,56
8,0.7251184834123223,['H1EE5', 'H2FV4', 'H1FS2', 'H2PF32', 'S60M', 'H1ED24', 'H2PF34', 'H2FS13', 'H2ED15', 'H2FS18', 'S62H', 'H2ED5', 'H2EE12', 'H1DS9', 'H2PF30', 'H2DS4', 'H2FV5', 'S60O', 'H1PF35', 'H1GH17', 'H2FS8', 'H1FS15', 'H2PF27', 'H1TO9', 'H1PF10', 'H1FS17', 'PA56', 'H1TO12', 'S62M', 'H1WP4', 'PA21', 'H1PF14', 'H1PF10', 'H1PF16', 'H2FS10', 'H1PF5', 'S62E', 'H2DS8', 'H1FS5', 'H2WP6', 'H1FS10', 'H1WP7', 'H1PF7', 'H1TO3', 'H1EE7', 'H1PF16', 'H2DS7', 'H2PF1', 'H2TO27', 'H1ED16', 'H2DS8', 'H1FS13', 'H1PF14', 'H2GH24', 'H1PF34', 'H2PF25', 'H2WP1', 'S62Q', 'S62H', 'H2FS4', 'H2PF35', 'H2PF9', 'H1TS3', 'H1FS7', 'H2DS10', 'H2PF24', 'H1PF30', 'H2FS12', 'H1WP3', 'H2WP5', 'H1DS6', 'S62B', 'H2PF4', 'H2FS19', 'H2FV3', 'H2DS12', 'S62O', 'H2WP3', 'H1FS1', 'H2PF31'],100,69,56
9,0.7251184834123223,['H1EE5', 'H2FV4', 'H1FS2', 'H2PF32', 'S60M', 'H1ED24', 'H2PF34', 'H2FS13', 'H2ED15', 'H2FS18', 'S62H', 'H2ED5', 'H2EE12', 'H1DS9', 'H2PF30', 'H2DS4', 'H2FV5', 'S60O', 'H1PF35', 'H1GH17', 'H2FS8', 'H1FS15', 'H2PF27', 'H1TO9', 'H1PF10', 'H1FS17', 'PA56', 'H1TO12', 'S62M', 'H1WP4', 'PA21', 'H1PF14', 'H1PF10', 'H1PF16', 'H2FS10', 'H1PF5', 'S62E', 'H2DS8', 'H1FS5', 'H2WP6', 'H1FS10', 'H1WP7', 'H1PF7', 'H1TO3', 'H1EE7', 'H1PF16', 'H2DS7', 'H2PF1', 'H2TO27', 'H1ED16', 'H2DS8', 'H1FS13', 'H1PF14', 'H2GH24', 'H1PF34', 'H2PF25', 'H2WP1', 'S62Q', 'S62H', 'H2FS4', 'H2PF35', 'H2PF9', 'H1TS3', 'H1FS7', 'H2DS10', 'H2PF24', 'H1PF30', 'H2FS12', 'H1WP3', 'H2WP5', 'H1DS6', 'S62B', 'H2PF4', 'H2FS19', 'H2FV3', 'H2DS12', 'S62O', 'H2WP3', 'H1FS1', 'H2PF31'],100,69,56
10,0.7251184834123223,['H1EE5', 'H2FV4', 'H1FS2', 'H2PF32', 'S60M', 'H1ED24', 'H2PF34', 'H2FS13', 'H2ED15', 'H2FS18', 'S62H', 'H2ED5', 'H2EE12', 'H1DS9', 'H2PF30', 'H2DS4', 'H2FV5', 'S60O', 'H1PF35', 'H1GH17', 'H2FS8', 'H1FS15', 'H2PF27', 'H1TO9', 'H1PF10', 'H1FS17', 'PA56', 'H1TO12', 'S62M', 'H1WP4', 'PA21', 'H1PF14', 'H1PF10', 'H1PF16', 'H2FS10', 'H1PF5', 'S62E', 'H2DS8', 'H1FS5', 'H2WP6', 'H1FS10', 'H1WP7', 'H1PF7', 'H1TO3', 'H1EE7', 'H1PF16', 'H2DS7', 'H2PF1', 'H2TO27', 'H1ED16', 'H2DS8', 'H1FS13', 'H1PF14', 'H2GH24', 'H1PF34', 'H2PF25', 'H2WP1', 'S62Q', 'S62H', 'H2FS4', 'H2PF35', 'H2PF9', 'H1TS3', 'H1FS7', 'H2DS10', 'H2PF24', 'H1PF30', 'H2FS12', 'H1WP3', 'H2WP5', 'H1DS6', 'S62B', 'H2PF4', 'H2FS19', 'H2FV3', 'H2DS12', 'S62O', 'H2WP3', 'H1FS1', 'H2PF31'],100,69,56
