curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
0,0.7209715639810427,['H1GH17', 'H1DS9', 'H1ED16', 'H1PF14', 'H2FS18', 'H1ED24', 'H2PR3', 'H1EE5', 'S60M', 'H2DS11', 'H2FV3', 'H2DS6', 'H2FV2', 'H1PF34', 'H1PF16', 'S60O', 'S62H', 'H2PF24', 'H1PF31', 'H2DS4', 'H1PF7', 'H1FS15', 'PA56', 'H1FS2', 'H1FS12', 'H1FS10', 'PA21', 'H1PF14', 'H1PF10', 'H1TO3', 'H2PF29', 'H1PF35', 'H1WP7', 'H1PF5', 'S62E', 'H2PR5', 'H1TO9', 'H1FS17', 'H2FS12', 'H2ED13', 'H2PR4', 'H1EE7', 'H1PF16', 'H2WP9', 'H2TO25', 'H2FS19', 'H2WP1', 'H2WP6', 'H1FS5', 'H2PF9', 'H2PF33', 'S62Q', 'H2PF15', 'H2ED15', 'H1FS13', 'H2PF8', 'H1TS3', 'H2FS8', 'H2DS8', 'H1FS7', 'H2WP3', 'H1DS14', 'S62M', 'H1PF30', 'H2DS10', 'H2DS3', 'H1WP4', 'H1WP3', 'H1TO12', 'S62B', 'H2PF1', 'H2GH30', 'H2FV1', 'H2WP4', 'S62O', 'H1DS8', 'H1FS1', 'H2PF30', 'H2PF28', 'H2TO11', 'H1WP10', 'S60L', 'H2GH25', 'H1PF10', 'H2WP5'],99,68,84
1,0.7215639810426541,['H2PF33', 'H1TO1', 'H1FS19', 'H1DS9', 'H1ED2', 'H1RF14', 'S62O', 'H1PF15', 'H2FS3', 'H1FS2', 'H2FS11', 'H2GH22', 'H2PF30', 'H2GH24', 'H2ED11', 'H1EE7', 'H2FV2', 'H1FS17', 'H1TO12', 'H2WP7', 'S60M', 'H2FS6', 'H1DA6', 'H1PF23', 'H1FS15', 'H1DS14', 'H2PF26', 'H2FV6', 'H2DS5', 'H1FS11', 'H2DS3', 'H1PF35', 'H1WP7', 'H2WP1', 'H1TO3', 'H2PF24', 'H2TO30', 'H2ED3', 'H1PF5', 'H2PF7', 'H2FV3', 'H2PF31', 'H1SE4', 'H2DS7', 'H1GH17', 'H2TO1', 'H1ED20', 'H2TO25', 'H1FS16', 'H2PR3', 'H2DS12', 'H2ED15', 'H1GH29', 'H2FV4', 'H2PF8', 'H1IR12', 'H2DS1', 'H1PF14', 'S62M', 'H1TO9', 'H2DS9', 'H1FS12', 'H2PF32', 'H1FS13', 'H1WP1', 'H1ED24', 'H2PF21', 'H1ED17', 'H1PF2', 'S45C', 'H2ED12', 'H2GH23', 'H1FS18', 'H2PF17', 'H1DS10', 'H1FS7', 'H2FS8', 'H1FS4', 'H1GH18', 'H1FS3', 'H1DS11', 'H2WP5', 'H2TO26', 'H2FS4', 'H2WP6'],76,88,78
2,0.7245260663507109,['H1DS7', 'H1PF2', 'H2TO15', 'H2PF26', 'H2WP3', 'H1PF14', 'H2DS6', 'H2TO25', 'H2PF35', 'H1EE7', 'H2FS7', 'S62O', 'H2PF14', 'H1PF4', 'H2PF29', 'H1WP7', 'H1ED18', 'H1DA2', 'H2FV1', 'H2WP10', 'H1PF1', 'H1WP1', 'H2WP9', 'H1WP4', 'H2PF10', 'H2FS17', 'H1GH29', 'H2DS7', 'H2DS4', 'H1DS6', 'H2PF23', 'H1DS12', 'H2FS16', 'H2TO25', 'H1DS8', 'H2PF31', 'S60N', 'H2PF13', 'H2PR3', 'H2GH31', 'H2FS9', 'H2GH26', 'H2WP6', 'H1TS3', 'H1PF31', 'H2GH45', 'H1FS13', 'H2GH23', 'S62P', 'H1ED20', 'H2FS15', 'H2TO26', 'H2FV4', 'H1RM14', 'H2PF17', 'H1GH28', 'H1FS2', 'H2SE4', 'H1PF14', 'H1TO3', 'H2DS3', 'H2TO1', 'H2ED15', 'H2ED12', 'H2WP2', 'H2PF27', 'H2PF25', 'S45C', 'H1FS6', 'H1FS5', 'H2FS11', 'H2TO11', 'H1FS9', 'S45A', 'S60K', 'H1FS19', 'H1PF23', 'H2FV5', 'H1FS15', 'H1GH22', 'PA21', 'H1FS3', 'H2PF8', 'H2FV6', 'H1ED17'],80,17,73
3,0.7245260663507109,['H1DS7', 'H1PF2', 'H2TO15', 'H2PF26', 'H2WP3', 'H1PF14', 'H2DS6', 'H2TO25', 'H2PF35', 'H1EE7', 'H2FS7', 'S62O', 'H2PF14', 'H1PF4', 'H2PF29', 'H1WP7', 'H1ED18', 'H1DA2', 'H2FV1', 'H2WP10', 'H1PF1', 'H1WP1', 'H2WP9', 'H1WP4', 'H2PF10', 'H2FS17', 'H1GH29', 'H2DS7', 'H2DS4', 'H1DS6', 'H2PF23', 'H1DS12', 'H2FS16', 'H2TO25', 'H1DS8', 'H2PF31', 'S60N', 'H2PF13', 'H2PR3', 'H2GH31', 'H2FS9', 'H2GH26', 'H2WP6', 'H1TS3', 'H1PF31', 'H2GH45', 'H1FS13', 'H2GH23', 'S62P', 'H1ED20', 'H2FS15', 'H2TO26', 'H2FV4', 'H1RM14', 'H2PF17', 'H1GH28', 'H1FS2', 'H2SE4', 'H1PF14', 'H1TO3', 'H2DS3', 'H2TO1', 'H2ED15', 'H2ED12', 'H2WP2', 'H2PF27', 'H2PF25', 'S45C', 'H1FS6', 'H1FS5', 'H2FS11', 'H2TO11', 'H1FS9', 'S45A', 'S60K', 'H1FS19', 'H1PF23', 'H2FV5', 'H1FS15', 'H1GH22', 'PA21', 'H1FS3', 'H2PF8', 'H2FV6', 'H1ED17'],80,17,73
4,0.7245260663507109,['H1DS7', 'H1PF2', 'H2TO15', 'H2PF26', 'H2WP3', 'H1PF14', 'H2DS6', 'H2TO25', 'H2PF35', 'H1EE7', 'H2FS7', 'S62O', 'H2PF14', 'H1PF4', 'H2PF29', 'H1WP7', 'H1ED18', 'H1DA2', 'H2FV1', 'H2WP10', 'H1PF1', 'H1WP1', 'H2WP9', 'H1WP4', 'H2PF10', 'H2FS17', 'H1GH29', 'H2DS7', 'H2DS4', 'H1DS6', 'H2PF23', 'H1DS12', 'H2FS16', 'H2TO25', 'H1DS8', 'H2PF31', 'S60N', 'H2PF13', 'H2PR3', 'H2GH31', 'H2FS9', 'H2GH26', 'H2WP6', 'H1TS3', 'H1PF31', 'H2GH45', 'H1FS13', 'H2GH23', 'S62P', 'H1ED20', 'H2FS15', 'H2TO26', 'H2FV4', 'H1RM14', 'H2PF17', 'H1GH28', 'H1FS2', 'H2SE4', 'H1PF14', 'H1TO3', 'H2DS3', 'H2TO1', 'H2ED15', 'H2ED12', 'H2WP2', 'H2PF27', 'H2PF25', 'S45C', 'H1FS6', 'H1FS5', 'H2FS11', 'H2TO11', 'H1FS9', 'S45A', 'S60K', 'H1FS19', 'H1PF23', 'H2FV5', 'H1FS15', 'H1GH22', 'PA21', 'H1FS3', 'H2PF8', 'H2FV6', 'H1ED17'],80,17,73
5,0.7245260663507109,['H1DS7', 'H1PF2', 'H2TO15', 'H2PF26', 'H2WP3', 'H1PF14', 'H2DS6', 'H2TO25', 'H2PF35', 'H1EE7', 'H2FS7', 'S62O', 'H2PF14', 'H1PF4', 'H2PF29', 'H1WP7', 'H1ED18', 'H1DA2', 'H2FV1', 'H2WP10', 'H1PF1', 'H1WP1', 'H2WP9', 'H1WP4', 'H2PF10', 'H2FS17', 'H1GH29', 'H2DS7', 'H2DS4', 'H1DS6', 'H2PF23', 'H1DS12', 'H2FS16', 'H2TO25', 'H1DS8', 'H2PF31', 'S60N', 'H2PF13', 'H2PR3', 'H2GH31', 'H2FS9', 'H2GH26', 'H2WP6', 'H1TS3', 'H1PF31', 'H2GH45', 'H1FS13', 'H2GH23', 'S62P', 'H1ED20', 'H2FS15', 'H2TO26', 'H2FV4', 'H1RM14', 'H2PF17', 'H1GH28', 'H1FS2', 'H2SE4', 'H1PF14', 'H1TO3', 'H2DS3', 'H2TO1', 'H2ED15', 'H2ED12', 'H2WP2', 'H2PF27', 'H2PF25', 'S45C', 'H1FS6', 'H1FS5', 'H2FS11', 'H2TO11', 'H1FS9', 'S45A', 'S60K', 'H1FS19', 'H1PF23', 'H2FV5', 'H1FS15', 'H1GH22', 'PA21', 'H1FS3', 'H2PF8', 'H2FV6', 'H1ED17'],80,17,73
6,0.7245260663507109,['H1DS7', 'H1PF2', 'H2TO15', 'H2PF26', 'H2WP3', 'H1PF14', 'H2DS6', 'H2TO25', 'H2PF35', 'H1EE7', 'H2FS7', 'S62O', 'H2PF14', 'H1PF4', 'H2PF29', 'H1WP7', 'H1ED18', 'H1DA2', 'H2FV1', 'H2WP10', 'H1PF1', 'H1WP1', 'H2WP9', 'H1WP4', 'H2PF10', 'H2FS17', 'H1GH29', 'H2DS7', 'H2DS4', 'H1DS6', 'H2PF23', 'H1DS12', 'H2FS16', 'H2TO25', 'H1DS8', 'H2PF31', 'S60N', 'H2PF13', 'H2PR3', 'H2GH31', 'H2FS9', 'H2GH26', 'H2WP6', 'H1TS3', 'H1PF31', 'H2GH45', 'H1FS13', 'H2GH23', 'S62P', 'H1ED20', 'H2FS15', 'H2TO26', 'H2FV4', 'H1RM14', 'H2PF17', 'H1GH28', 'H1FS2', 'H2SE4', 'H1PF14', 'H1TO3', 'H2DS3', 'H2TO1', 'H2ED15', 'H2ED12', 'H2WP2', 'H2PF27', 'H2PF25', 'S45C', 'H1FS6', 'H1FS5', 'H2FS11', 'H2TO11', 'H1FS9', 'S45A', 'S60K', 'H1FS19', 'H1PF23', 'H2FV5', 'H1FS15', 'H1GH22', 'PA21', 'H1FS3', 'H2PF8', 'H2FV6', 'H1ED17'],80,17,73
7,0.7245260663507109,['H1DS7', 'H1PF2', 'H2TO15', 'H2PF26', 'H2WP3', 'H1PF14', 'H2DS6', 'H2TO25', 'H2PF35', 'H1EE7', 'H2FS7', 'S62O', 'H2PF14', 'H1PF4', 'H2PF29', 'H1WP7', 'H1ED18', 'H1DA2', 'H2FV1', 'H2WP10', 'H1PF1', 'H1WP1', 'H2WP9', 'H1WP4', 'H2PF10', 'H2FS17', 'H1GH29', 'H2DS7', 'H2DS4', 'H1DS6', 'H2PF23', 'H1DS12', 'H2FS16', 'H2TO25', 'H1DS8', 'H2PF31', 'S60N', 'H2PF13', 'H2PR3', 'H2GH31', 'H2FS9', 'H2GH26', 'H2WP6', 'H1TS3', 'H1PF31', 'H2GH45', 'H1FS13', 'H2GH23', 'S62P', 'H1ED20', 'H2FS15', 'H2TO26', 'H2FV4', 'H1RM14', 'H2PF17', 'H1GH28', 'H1FS2', 'H2SE4', 'H1PF14', 'H1TO3', 'H2DS3', 'H2TO1', 'H2ED15', 'H2ED12', 'H2WP2', 'H2PF27', 'H2PF25', 'S45C', 'H1FS6', 'H1FS5', 'H2FS11', 'H2TO11', 'H1FS9', 'S45A', 'S60K', 'H1FS19', 'H1PF23', 'H2FV5', 'H1FS15', 'H1GH22', 'PA21', 'H1FS3', 'H2PF8', 'H2FV6', 'H1ED17'],80,17,73
8,0.7245260663507109,['H1DS7', 'H1PF2', 'H2TO15', 'H2PF26', 'H2WP3', 'H1PF14', 'H2DS6', 'H2TO25', 'H2PF35', 'H1EE7', 'H2FS7', 'S62O', 'H2PF14', 'H1PF4', 'H2PF29', 'H1WP7', 'H1ED18', 'H1DA2', 'H2FV1', 'H2WP10', 'H1PF1', 'H1WP1', 'H2WP9', 'H1WP4', 'H2PF10', 'H2FS17', 'H1GH29', 'H2DS7', 'H2DS4', 'H1DS6', 'H2PF23', 'H1DS12', 'H2FS16', 'H2TO25', 'H1DS8', 'H2PF31', 'S60N', 'H2PF13', 'H2PR3', 'H2GH31', 'H2FS9', 'H2GH26', 'H2WP6', 'H1TS3', 'H1PF31', 'H2GH45', 'H1FS13', 'H2GH23', 'S62P', 'H1ED20', 'H2FS15', 'H2TO26', 'H2FV4', 'H1RM14', 'H2PF17', 'H1GH28', 'H1FS2', 'H2SE4', 'H1PF14', 'H1TO3', 'H2DS3', 'H2TO1', 'H2ED15', 'H2ED12', 'H2WP2', 'H2PF27', 'H2PF25', 'S45C', 'H1FS6', 'H1FS5', 'H2FS11', 'H2TO11', 'H1FS9', 'S45A', 'S60K', 'H1FS19', 'H1PF23', 'H2FV5', 'H1FS15', 'H1GH22', 'PA21', 'H1FS3', 'H2PF8', 'H2FV6', 'H1ED17'],80,17,73
9,0.7268957345971564,['H1DS7', 'H1PF2', 'H2TO15', 'H2PF26', 'H2WP3', 'H1PF14', 'H2DS6', 'H2TO25', 'H2PF35', 'H1EE7', 'H2FS7', 'S62O', 'H2PF14', 'H1PF4', 'H2PF29', 'H1WP7', 'H1ED18', 'H1DA2', 'H2FV1', 'H2WP10', 'H1PF1', 'H1WP1', 'H2WP9', 'H1WP4', 'H2PF10', 'H2FS17', 'H1GH29', 'H2DS7', 'H2DS4', 'H1DS6', 'H2PF23', 'H1DS12', 'H2FS16', 'H2TO25', 'H1DS8', 'H2PF31', 'S60N', 'H2PF13', 'H2PR3', 'H2GH31', 'H2FS9', 'H2GH26', 'H2WP6', 'H1TS3', 'H1PF31', 'H2GH45', 'H1FS13', 'H2GH23', 'S62P', 'H1ED20', 'H2FS15', 'H2TO26', 'H2FV4', 'H1RM14', 'H2PF17', 'H1GH28', 'H1FS2', 'H2SE4', 'H1PF14', 'H1TO3', 'H2DS3', 'H2TO1', 'H2ED15', 'H2ED12', 'H2WP2', 'H2PF27', 'H2PF25', 'H1ED19', 'H1FS6', 'H1FS5', 'H2FS11', 'H2TO11', 'H1FS9', 'S45A', 'S60K', 'H1FS19', 'H1PF23', 'H2FV5', 'H1FS15', 'H1GH22', 'PA21', 'H1FS3', 'H2PF8', 'H2FV6', 'H1ED17'],81,16,71
10,0.7268957345971564,['H1DS7', 'H1PF2', 'H2TO15', 'H2PF26', 'H2WP3', 'H1PF14', 'H2DS6', 'H2TO25', 'H2PF35', 'H1EE7', 'H2FS7', 'S62O', 'H2PF14', 'H1PF4', 'H2PF29', 'H1WP7', 'H1ED18', 'H1DA2', 'H2FV1', 'H2WP10', 'H1PF1', 'H1WP1', 'H2WP9', 'H1WP4', 'H2PF10', 'H2FS17', 'H1GH29', 'H2DS7', 'H2DS4', 'H1DS6', 'H2PF23', 'H1DS12', 'H2FS16', 'H2TO25', 'H1DS8', 'H2PF31', 'S60N', 'H2PF13', 'H2PR3', 'H2GH31', 'H2FS9', 'H2GH26', 'H2WP6', 'H1TS3', 'H1PF31', 'H2GH45', 'H1FS13', 'H2GH23', 'S62P', 'H1ED20', 'H2FS15', 'H2TO26', 'H2FV4', 'H1RM14', 'H2PF17', 'H1GH28', 'H1FS2', 'H2SE4', 'H1PF14', 'H1TO3', 'H2DS3', 'H2TO1', 'H2ED15', 'H2ED12', 'H2WP2', 'H2PF27', 'H2PF25', 'H1ED19', 'H1FS6', 'H1FS5', 'H2FS11', 'H2TO11', 'H1FS9', 'S45A', 'S60K', 'H1FS19', 'H1PF23', 'H2FV5', 'H1FS15', 'H1GH22', 'PA21', 'H1FS3', 'H2PF8', 'H2FV6', 'H1ED17'],81,16,71
