curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
0,0.7239336492890995,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H2FS10', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'H1GH29', 'H1PF8', 'H2FS5', 'H2PF13', 'H1FS11', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H2EE12', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30', 'H1WP1', 'H2PF29', 'H1FS12', 'H2FV4', 'H2TO25', 'S59E', 'H1DS11', 'H1SE4', 'H2PF26', 'H2PF15', 'H1PF16', 'H1ED15', 'H2PF14', 'H1FS3', 'S60O', 'H2TO11', 'H2PR4', 'H2PF22', 'H2WP9', 'PA56', 'H2EE14', 'H1PF23', 'H2WP5', 'H1PF34', 'PA21'],89,20,64
1,0.7239336492890995,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H2FS10', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'H1GH29', 'H1PF8', 'H2FS5', 'H2PF13', 'H1FS11', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H2EE12', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30', 'H1WP1', 'H2PF29', 'H1FS12', 'H2FV4', 'H2TO25', 'S59E', 'H1DS11', 'H1SE4', 'H2PF26', 'H2PF15', 'H1PF16', 'H1ED15', 'H2PF14', 'H1FS3', 'S60O', 'H2TO11', 'H2PR4', 'H2PF22', 'H2WP9', 'PA56', 'H2EE14', 'H1PF23', 'H2WP5', 'H1PF34', 'PA21'],89,20,64
2,0.7239336492890995,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H2FS10', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'H1GH29', 'H1PF8', 'H2FS5', 'H2PF13', 'H1FS11', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H2EE12', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30', 'H1WP1', 'H2PF29', 'H1FS12', 'H2FV4', 'H2TO25', 'S59E', 'H1DS11', 'H1SE4', 'H2PF26', 'H2PF15', 'H1PF16', 'H1ED15', 'H2PF14', 'H1FS3', 'S60O', 'H2TO11', 'H2PR4', 'H2PF22', 'H2WP9', 'PA56', 'H2EE14', 'H1PF23', 'H2WP5', 'H1PF34', 'PA21'],89,20,64
3,0.7239336492890995,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H2FS10', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'H1GH29', 'H1PF8', 'H2FS5', 'H2PF13', 'H1FS11', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H2EE12', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30', 'H1WP1', 'H2PF29', 'H1FS12', 'H2FV4', 'H2TO25', 'S59E', 'H1DS11', 'H1SE4', 'H2PF26', 'H2PF15', 'H1PF16', 'H1ED15', 'H2PF14', 'H1FS3', 'S60O', 'H2TO11', 'H2PR4', 'H2PF22', 'H2WP9', 'PA56', 'H2EE14', 'H1PF23', 'H2WP5', 'H1PF34', 'PA21'],89,20,64
4,0.7239336492890995,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H2FS10', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'H1GH29', 'H1PF8', 'H2FS5', 'H2PF13', 'H1FS11', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H2EE12', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30', 'H1WP1', 'H2PF29', 'H1FS12', 'H2FV4', 'H2TO25', 'S59E', 'H1DS11', 'H1SE4', 'H2PF26', 'H2PF15', 'H1PF16', 'H1ED15', 'H2PF14', 'H1FS3', 'S60O', 'H2TO11', 'H2PR4', 'H2PF22', 'H2WP9', 'PA56', 'H2EE14', 'H1PF23', 'H2WP5', 'H1PF34', 'PA21'],89,20,64
5,0.7239336492890995,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H2FS10', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'H1GH29', 'H1PF8', 'H2FS5', 'H2PF13', 'H1FS11', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H2EE12', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30', 'H1WP1', 'H2PF29', 'H1FS12', 'H2FV4', 'H2TO25', 'S59E', 'H1DS11', 'H1SE4', 'H2PF26', 'H2PF15', 'H1PF16', 'H1ED15', 'H2PF14', 'H1FS3', 'S60O', 'H2TO11', 'H2PR4', 'H2PF22', 'H2WP9', 'PA56', 'H2EE14', 'H1PF23', 'H2WP5', 'H1PF34', 'PA21'],89,20,64
6,0.7239336492890995,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H2FS10', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'H1GH29', 'H1PF8', 'H2FS5', 'H2PF13', 'H1FS11', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H2EE12', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30', 'H1WP1', 'H2PF29', 'H1FS12', 'H2FV4', 'H2TO25', 'S59E', 'H1DS11', 'H1SE4', 'H2PF26', 'H2PF15', 'H1PF16', 'H1ED15', 'H2PF14', 'H1FS3', 'S60O', 'H2TO11', 'H2PR4', 'H2PF22', 'H2WP9', 'PA56', 'H2EE14', 'H1PF23', 'H2WP5', 'H1PF34', 'PA21'],89,20,64
7,0.7239336492890995,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H2FS10', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'H1GH29', 'H1PF8', 'H2FS5', 'H2PF13', 'H1FS11', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H2EE12', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30', 'H1WP1', 'H2PF29', 'H1FS12', 'H2FV4', 'H2TO25', 'S59E', 'H1DS11', 'H1SE4', 'H2PF26', 'H2PF15', 'H1PF16', 'H1ED15', 'H2PF14', 'H1FS3', 'S60O', 'H2TO11', 'H2PR4', 'H2PF22', 'H2WP9', 'PA56', 'H2EE14', 'H1PF23', 'H2WP5', 'H1PF34', 'PA21'],89,20,64
8,0.7251184834123223,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H2FS10', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'H1GH29', 'H1DS11', 'H2FS5', 'H2PF13', 'H1FS11', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H2EE12', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30', 'H1WP1', 'H2PF29', 'H1FS12', 'H2FV4', 'H2TO25', 'S59E', 'H1DS11', 'H1SE4', 'H2PF26', 'H2PF15', 'H1PF16', 'H1ED15', 'H2PF14', 'H1FS3', 'S60O', 'H2TO11', 'H2PR4', 'H2PF22', 'H2WP9', 'PA56', 'H2EE14', 'H1PF23', 'H2WP5', 'H1PF34', 'PA21'],87,21,64
9,0.7251184834123223,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H2FS10', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'H1GH29', 'H1DS11', 'H2FS5', 'H2PF13', 'H1FS11', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H2EE12', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30', 'H1WP1', 'H2PF29', 'H1FS12', 'H2FV4', 'H2TO25', 'S59E', 'H1DS11', 'H1SE4', 'H2PF26', 'H2PF15', 'H1PF16', 'H1ED15', 'H2PF14', 'H1FS3', 'S60O', 'H2TO11', 'H2PR4', 'H2PF22', 'H2WP9', 'PA56', 'H2EE14', 'H1PF23', 'H2WP5', 'H1PF34', 'PA21'],87,21,64
10,0.7251184834123223,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H2FS10', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'H1GH29', 'H1DS11', 'H2FS5', 'H2PF13', 'H1FS11', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H2EE12', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H2FS3', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30', 'H1WP1', 'H2PF29', 'H1FS12', 'H2FV4', 'H2TO25', 'S59E', 'H1DS11', 'H1SE4', 'H2PF26', 'H2PF15', 'H1PF16', 'H1ED15', 'H2PF14', 'H1FS3', 'S60O', 'H2TO11', 'H2PR4', 'H2PF22', 'H2WP9', 'PA56', 'H2EE14', 'H1PF23', 'H2WP5', 'H1PF34', 'PA21'],87,21,64
