curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
0,0.7209715639810427,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H2FS10', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'H1GH29', 'H1PF8', 'H2FS5', 'H2PF13', 'H1FS11', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H2EE12', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H1FS5', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30', 'H1WP1', 'H2PF29', 'H1FS12', 'H2FV4', 'H2TO25', 'S59E', 'H1DS11', 'H1SE4', 'H2PF26', 'H2PF15', 'H1PF16', 'H1ED15', 'H2PF14', 'H1FS3', 'S60O', 'H2TO11', 'H2PR4', 'H2PF22', 'H2WP9', 'PA56', 'H2EE14', 'H1PF23', 'H2WP5', 'H1PF34', 'PA21', 'H2WP7', 'S62M', 'H1ED20', 'H1PF7', 'H1EE7'],88,21,62
1,0.7209715639810427,['H2GH27', 'H2PF27', 'H1WP4', 'H1GH52', 'H1ED2', 'H1RM14', 'H2GH23', 'H2FS9', 'H2DS5', 'H1WP14', 'H2ED5', 'H2WP10', 'H2PF7', 'H2PF31', 'H1ED19', 'H2PF33', 'H1ED17', 'H1FS15', 'H1PF4', 'H2FS18', 'H2FS10', 'H1FS2', 'H1TO9', 'H1TO12', 'H1PF36', 'H2PF12', 'H2PF1', 'H2WP14', 'H1PF26', 'H2ED14', 'H2DS6', 'H1DS6', 'H1PF31', 'H1FS9', 'H2FS11', 'H1FS11', 'S60L', 'H1GH29', 'H1PF8', 'H2FS5', 'H2PF13', 'H1FS11', 'H1DA6', 'S62Q', 'H1PF2', 'S45A', 'H1PF24', 'H1GH28', 'S45C', 'H2ED12', 'H1ED7', 'H1ED9', 'H1WP10', 'H2GH45', 'H1GH19', 'H2EE12', 'H2FS6', 'H1DA2', 'H1WP5', 'H1FS16', 'H1FS5', 'H1TO3', 'S60M', 'H2ED16', 'H2GH30', 'H1WP1', 'H2PF29', 'H1FS12', 'H2FV4', 'H2TO25', 'S59E', 'H1DS11', 'H1SE4', 'H2PF26', 'H2PF15', 'H1PF16', 'H1ED15', 'H2PF14', 'H1FS3', 'S60O', 'H2TO11', 'H2PR4', 'H2PF22', 'H2WP9', 'PA56', 'H2EE14', 'H1PF23', 'H2WP5', 'H1PF34', 'PA21', 'H2WP7', 'S62M', 'H1ED20', 'H1PF7', 'H1EE7'],88,21,62
2,0.7221563981042654,['H1GH29', 'H1GH20', 'H2PF7', 'H1FS8', 'H2DS8', 'H2DS9', 'H2FS7', 'H1PF16', 'H2FS16', 'H2DS12', 'H2PF35', 'S62Q', 'H2ED11', 'H2PF30', 'H2DS2', 'H2PF33', 'H2TO1', 'H1PF4', 'H1ED2', 'S62E', 'H1DS7', 'H2PF17', 'H1PF31', 'H1FS16', 'H2PF34', 'H1FS10', 'H2DS6', 'H2WP2', 'H1DS6', 'H2TO26', 'H1WP14', 'H1FS11', 'H2FS3', 'H2GH30', 'H2GH45', 'H2FS10', 'H2PF28', 'PA21', 'H2PF8', 'H2WP4', 'H1DS5', 'H1PF24', 'H2PF23', 'H1DS12', 'H2FS8', 'H2PF12', 'H2TO29', 'H1PF14', 'H1DS8', 'H1ED24', 'H1RM14', 'S62R', 'H2FS5', 'H1DS11', 'H2ED13', 'H1FS18', 'H1DS10', 'H2FS17', 'H2DS1', 'H1FS6', 'H1FS15', 'H2PF29', 'H2TO15', 'H1PF8', 'H2PF4', 'H1FS13', 'H2FS13', 'H2ED5', 'H1FS19', 'S45A', 'H1FS4', 'S60N', 'H2PF32', 'H1FS11', 'H1WP10', 'H1FS9', 'H2PF1', 'H2ED14', 'H1IR12', 'H2FS6', 'H1WP4', 'H2PF13', 'H1DA2', 'H1WP1', 'H2ED17', 'H2PF22', 'H2TO11', 'H1EE7', 'H1TO3', 'H1FS1', 'H1DA6', 'H1FS7', 'H2TO30', 'S62B', 'H2SE4'],94,5,39
3,0.7221563981042654,['H1GH29', 'H1GH20', 'H2PF7', 'H1FS8', 'H2DS8', 'H2DS9', 'H2FS7', 'H1PF16', 'H2FS16', 'H2DS12', 'H2PF35', 'S62Q', 'H2ED11', 'H2PF30', 'H2DS2', 'H2PF33', 'H2TO1', 'H1PF4', 'H1ED2', 'S62E', 'H1DS7', 'H2PF17', 'H1PF31', 'H1FS16', 'H2PF34', 'H1FS10', 'H2DS6', 'H2WP2', 'H1DS6', 'H2TO26', 'H1WP14', 'H1FS11', 'H2FS3', 'H2GH30', 'H2GH45', 'H2FS10', 'H2PF28', 'PA21', 'H2PF8', 'H2WP4', 'H1DS5', 'H1PF24', 'H2PF23', 'H1DS12', 'H2FS8', 'H2PF12', 'H2TO29', 'H1PF14', 'H1DS8', 'H1ED24', 'H1RM14', 'S62R', 'H2FS5', 'H1DS11', 'H2ED13', 'H1FS18', 'H1DS10', 'H2FS17', 'H2DS1', 'H1FS6', 'H1FS15', 'H2PF29', 'H2TO15', 'H1PF8', 'H2PF4', 'H1FS13', 'H2FS13', 'H2ED5', 'H1FS19', 'S45A', 'H1FS4', 'S60N', 'H2PF32', 'H1FS11', 'H1WP10', 'H1FS9', 'H2PF1', 'H2ED14', 'H1IR12', 'H2FS6', 'H1WP4', 'H2PF13', 'H1DA2', 'H1WP1', 'H2ED17', 'H2PF22', 'H2TO11', 'H1EE7', 'H1TO3', 'H1FS1', 'H1DA6', 'H1FS7', 'H2TO30', 'S62B', 'H2SE4'],94,5,39
4,0.7221563981042654,['H1GH29', 'H1GH20', 'H2PF7', 'H1FS8', 'H2DS8', 'H2DS9', 'H2FS7', 'H1PF16', 'H2FS16', 'H2DS12', 'H2PF35', 'S62Q', 'H2ED11', 'H2PF30', 'H2DS2', 'H2PF33', 'H2TO1', 'H1PF4', 'H1ED2', 'S62E', 'H1DS7', 'H2PF17', 'H1PF31', 'H1FS16', 'H2PF34', 'H1FS10', 'H2DS6', 'H2WP2', 'H1DS6', 'H2TO26', 'H1WP14', 'H1FS11', 'H2FS3', 'H2GH30', 'H2GH45', 'H2FS10', 'H2PF28', 'PA21', 'H2PF8', 'H2WP4', 'H1DS5', 'H1PF24', 'H2PF23', 'H1DS12', 'H2FS8', 'H2PF12', 'H2TO29', 'H1PF14', 'H1DS8', 'H1ED24', 'H1RM14', 'S62R', 'H2FS5', 'H1DS11', 'H2ED13', 'H1FS18', 'H1DS10', 'H2FS17', 'H2DS1', 'H1FS6', 'H1FS15', 'H2PF29', 'H2TO15', 'H1PF8', 'H2PF4', 'H1FS13', 'H2FS13', 'H2ED5', 'H1FS19', 'S45A', 'H1FS4', 'S60N', 'H2PF32', 'H1FS11', 'H1WP10', 'H1FS9', 'H2PF1', 'H2ED14', 'H1IR12', 'H2FS6', 'H1WP4', 'H2PF13', 'H1DA2', 'H1WP1', 'H2ED17', 'H2PF22', 'H2TO11', 'H1EE7', 'H1TO3', 'H1FS1', 'H1DA6', 'H1FS7', 'H2TO30', 'S62B', 'H2SE4'],94,5,39
5,0.7221563981042654,['H1GH29', 'H1GH20', 'H2PF7', 'H1FS8', 'H2DS8', 'H2DS9', 'H2FS7', 'H1PF16', 'H2FS16', 'H2DS12', 'H2PF35', 'S62Q', 'H2ED11', 'H2PF30', 'H2DS2', 'H2PF33', 'H2TO1', 'H1PF4', 'H1ED2', 'S62E', 'H1DS7', 'H2PF17', 'H1PF31', 'H1FS16', 'H2PF34', 'H1FS10', 'H2DS6', 'H2WP2', 'H1DS6', 'H2TO26', 'H1WP14', 'H1FS11', 'H2FS3', 'H2GH30', 'H2GH45', 'H2FS10', 'H2PF28', 'PA21', 'H2PF8', 'H2WP4', 'H1DS5', 'H1PF24', 'H2PF23', 'H1DS12', 'H2FS8', 'H2PF12', 'H2TO29', 'H1PF14', 'H1DS8', 'H1ED24', 'H1RM14', 'S62R', 'H2FS5', 'H1DS11', 'H2ED13', 'H1FS18', 'H1DS10', 'H2FS17', 'H2DS1', 'H1FS6', 'H1FS15', 'H2PF29', 'H2TO15', 'H1PF8', 'H2PF4', 'H1FS13', 'H2FS13', 'H2ED5', 'H1FS19', 'S45A', 'H1FS4', 'S60N', 'H2PF32', 'H1FS11', 'H1WP10', 'H1FS9', 'H2PF1', 'H2ED14', 'H1IR12', 'H2FS6', 'H1WP4', 'H2PF13', 'H1DA2', 'H1WP1', 'H2ED17', 'H2PF22', 'H2TO11', 'H1EE7', 'H1TO3', 'H1FS1', 'H1DA6', 'H1FS7', 'H2TO30', 'S62B', 'H2SE4'],94,5,39
6,0.7221563981042654,['H1GH29', 'H1GH20', 'H2PF7', 'H1FS8', 'H2DS8', 'H2DS9', 'H2FS7', 'H1PF16', 'H2FS16', 'H2DS12', 'H2PF35', 'S62Q', 'H2ED11', 'H2PF30', 'H2DS2', 'H2PF33', 'H2TO1', 'H1PF4', 'H1ED2', 'S62E', 'H1DS7', 'H2PF17', 'H1PF31', 'H1FS16', 'H2PF34', 'H1FS10', 'H2DS6', 'H2WP2', 'H1DS6', 'H2TO26', 'H1WP14', 'H1FS11', 'H2FS3', 'H2GH30', 'H2GH45', 'H2FS10', 'H2PF28', 'PA21', 'H2PF8', 'H2WP4', 'H1DS5', 'H1PF24', 'H2PF23', 'H1DS12', 'H2FS8', 'H2PF12', 'H2TO29', 'H1PF14', 'H1DS8', 'H1ED24', 'H1RM14', 'S62R', 'H2FS5', 'H1DS11', 'H2ED13', 'H1FS18', 'H1DS10', 'H2FS17', 'H2DS1', 'H1FS6', 'H1FS15', 'H2PF29', 'H2TO15', 'H1PF8', 'H2PF4', 'H1FS13', 'H2FS13', 'H2ED5', 'H1FS19', 'S45A', 'H1FS4', 'S60N', 'H2PF32', 'H1FS11', 'H1WP10', 'H1FS9', 'H2PF1', 'H2ED14', 'H1IR12', 'H2FS6', 'H1WP4', 'H2PF13', 'H1DA2', 'H1WP1', 'H2ED17', 'H2PF22', 'H2TO11', 'H1EE7', 'H1TO3', 'H1FS1', 'H1DA6', 'H1FS7', 'H2TO30', 'S62B', 'H2SE4'],94,5,39
7,0.7221563981042654,['H1GH29', 'H1GH20', 'H2PF7', 'H1FS8', 'H2DS8', 'H2DS9', 'H2FS7', 'H1PF16', 'H2FS16', 'H2DS12', 'H2PF35', 'S62Q', 'H2ED11', 'H2PF30', 'H2DS2', 'H2PF33', 'H2TO1', 'H1PF4', 'H1ED2', 'S62E', 'H1DS7', 'H2PF17', 'H1PF31', 'H1FS16', 'H2PF34', 'H1FS10', 'H2DS6', 'H2WP2', 'H1DS6', 'H2TO26', 'H1WP14', 'H1FS11', 'H2FS3', 'H2GH30', 'H2GH45', 'H2FS10', 'H2PF28', 'PA21', 'H2PF8', 'H2WP4', 'H1DS5', 'H1PF24', 'H2PF23', 'H1DS12', 'H2FS8', 'H2PF12', 'H2TO29', 'H1PF14', 'H1DS8', 'H1ED24', 'H1RM14', 'S62R', 'H2FS5', 'H1DS11', 'H2ED13', 'H1FS18', 'H1DS10', 'H2FS17', 'H2DS1', 'H1FS6', 'H1FS15', 'H2PF29', 'H2TO15', 'H1PF8', 'H2PF4', 'H1FS13', 'H2FS13', 'H2ED5', 'H1FS19', 'S45A', 'H1FS4', 'S60N', 'H2PF32', 'H1FS11', 'H1WP10', 'H1FS9', 'H2PF1', 'H2ED14', 'H1IR12', 'H2FS6', 'H1WP4', 'H2PF13', 'H1DA2', 'H1WP1', 'H2ED17', 'H2PF22', 'H2TO11', 'H1EE7', 'H1TO3', 'H1FS1', 'H1DA6', 'H1FS7', 'H2TO30', 'S62B', 'H2SE4'],94,5,39
8,0.7221563981042654,['H1GH29', 'H1GH20', 'H2PF7', 'H1FS8', 'H2DS8', 'H2DS9', 'H2FS7', 'H1PF16', 'H2FS16', 'H2DS12', 'H2PF35', 'S62Q', 'H2ED11', 'H2PF30', 'H2DS2', 'H2PF33', 'H2TO1', 'H1PF4', 'H1ED2', 'S62E', 'H1DS7', 'H2PF17', 'H1PF31', 'H1FS16', 'H2PF34', 'H1FS10', 'H2DS6', 'H2WP2', 'H1DS6', 'H2TO26', 'H1WP14', 'H1FS11', 'H2FS3', 'H2GH30', 'H2GH45', 'H2FS10', 'H2PF28', 'PA21', 'H2PF8', 'H2WP4', 'H1DS5', 'H1PF24', 'H2PF23', 'H1DS12', 'H2FS8', 'H2PF12', 'H2TO29', 'H1PF14', 'H1DS8', 'H1ED24', 'H1RM14', 'S62R', 'H2FS5', 'H1DS11', 'H2ED13', 'H1FS18', 'H1DS10', 'H2FS17', 'H2DS1', 'H1FS6', 'H1FS15', 'H2PF29', 'H2TO15', 'H1PF8', 'H2PF4', 'H1FS13', 'H2FS13', 'H2ED5', 'H1FS19', 'S45A', 'H1FS4', 'S60N', 'H2PF32', 'H1FS11', 'H1WP10', 'H1FS9', 'H2PF1', 'H2ED14', 'H1IR12', 'H2FS6', 'H1WP4', 'H2PF13', 'H1DA2', 'H1WP1', 'H2ED17', 'H2PF22', 'H2TO11', 'H1EE7', 'H1TO3', 'H1FS1', 'H1DA6', 'H1FS7', 'H2TO30', 'S62B', 'H2SE4'],94,5,39
9,0.7221563981042654,['H1GH29', 'H1GH20', 'H2PF7', 'H1FS8', 'H2DS8', 'H2DS9', 'H2FS7', 'H1PF16', 'H2FS16', 'H2DS12', 'H2PF35', 'S62Q', 'H2ED11', 'H2PF30', 'H2DS2', 'H2PF33', 'H2TO1', 'H1PF4', 'H1ED2', 'S62E', 'H1DS7', 'H2PF17', 'H1PF31', 'H1FS16', 'H2PF34', 'H1FS10', 'H2DS6', 'H2WP2', 'H1DS6', 'H2TO26', 'H1WP14', 'H1FS11', 'H2FS3', 'H2GH30', 'H2GH45', 'H2FS10', 'H2PF28', 'PA21', 'H2PF8', 'H2WP4', 'H1DS5', 'H1PF24', 'H2PF23', 'H1DS12', 'H2FS8', 'H2PF12', 'H2TO29', 'H1PF14', 'H1DS8', 'H1ED24', 'H1RM14', 'S62R', 'H2FS5', 'H1DS11', 'H2ED13', 'H1FS18', 'H1DS10', 'H2FS17', 'H2DS1', 'H1FS6', 'H1FS15', 'H2PF29', 'H2TO15', 'H1PF8', 'H2PF4', 'H1FS13', 'H2FS13', 'H2ED5', 'H1FS19', 'S45A', 'H1FS4', 'S60N', 'H2PF32', 'H1FS11', 'H1WP10', 'H1FS9', 'H2PF1', 'H2ED14', 'H1IR12', 'H2FS6', 'H1WP4', 'H2PF13', 'H1DA2', 'H1WP1', 'H2ED17', 'H2PF22', 'H2TO11', 'H1EE7', 'H1TO3', 'H1FS1', 'H1DA6', 'H1FS7', 'H2TO30', 'S62B', 'H2SE4'],94,5,39
10,0.7221563981042654,['H1GH29', 'H1GH20', 'H2PF7', 'H1FS8', 'H2DS8', 'H2DS9', 'H2FS7', 'H1PF16', 'H2FS16', 'H2DS12', 'H2PF35', 'S62Q', 'H2ED11', 'H2PF30', 'H2DS2', 'H2PF33', 'H2TO1', 'H1PF4', 'H1ED2', 'S62E', 'H1DS7', 'H2PF17', 'H1PF31', 'H1FS16', 'H2PF34', 'H1FS10', 'H2DS6', 'H2WP2', 'H1DS6', 'H2TO26', 'H1WP14', 'H1FS11', 'H2FS3', 'H2GH30', 'H2GH45', 'H2FS10', 'H2PF28', 'PA21', 'H2PF8', 'H2WP4', 'H1DS5', 'H1PF24', 'H2PF23', 'H1DS12', 'H2FS8', 'H2PF12', 'H2TO29', 'H1PF14', 'H1DS8', 'H1ED24', 'H1RM14', 'S62R', 'H2FS5', 'H1DS11', 'H2ED13', 'H1FS18', 'H1DS10', 'H2FS17', 'H2DS1', 'H1FS6', 'H1FS15', 'H2PF29', 'H2TO15', 'H1PF8', 'H2PF4', 'H1FS13', 'H2FS13', 'H2ED5', 'H1FS19', 'S45A', 'H1FS4', 'S60N', 'H2PF32', 'H1FS11', 'H1WP10', 'H1FS9', 'H2PF1', 'H2ED14', 'H1IR12', 'H2FS6', 'H1WP4', 'H2PF13', 'H1DA2', 'H1WP1', 'H2ED17', 'H2PF22', 'H2TO11', 'H1EE7', 'H1TO3', 'H1FS1', 'H1DA6', 'H1FS7', 'H2TO30', 'S62B', 'H2SE4'],94,5,39
