curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
0,0.7197867298578199,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2PF27'],16,24,3
1,0.7197867298578199,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2PF27'],16,24,3
2,0.7197867298578199,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2PF27'],16,24,3
3,0.7197867298578199,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2PF27'],16,24,3
4,0.7197867298578199,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2PF27'],16,24,3
5,0.7197867298578199,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2PF27'],16,24,3
6,0.7197867298578199,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2PF27'],16,24,3
7,0.7197867298578199,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2PF27'],16,24,3
8,0.7197867298578199,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2PF27'],16,24,3
9,0.7197867298578199,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2PF27'],16,24,3
10,0.7197867298578199,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2PF27'],16,24,3
11,0.7221563981042654,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H2DS12', 'H2PF27'],16,25,2
12,0.7221563981042654,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H2DS12', 'H2PF27'],16,25,2
13,0.7221563981042654,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H2DS12', 'H2PF27'],16,25,2
14,0.7221563981042654,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H2DS12', 'H2PF27'],16,25,2
15,0.7221563981042654,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H2DS12', 'H2PF27'],16,25,2
16,0.7221563981042654,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H2DS12', 'H2PF27'],16,25,2
17,0.7239336492890995,['H1GH52', 'H1FS19', 'H1ED15', 'H1FS3', 'H2PF23', 'H1DA2', 'H2PF10', 'H1TO1', 'H1TO3', 'H2TO28'],73,56,4
18,0.7245260663507109,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],14,26,2
19,0.7245260663507109,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],14,26,2
20,0.7245260663507109,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],14,26,2
21,0.7245260663507109,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],14,26,2
22,0.7245260663507109,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],14,26,2
23,0.7245260663507109,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],14,26,2
24,0.7245260663507109,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],14,26,2
25,0.7245260663507109,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H2FS9', 'H1TO9', 'H2PF27'],14,26,2
