curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
0,0.7221563981042654,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2GH31', 'H2PF12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O'],22,18,14
1,0.7221563981042654,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2GH31', 'H2PF12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O'],22,18,14
2,0.7221563981042654,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2GH31', 'H2PF12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O'],22,18,14
3,0.7221563981042654,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2GH31', 'H2PF12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O'],22,18,14
4,0.7221563981042654,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2GH31', 'H2PF12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O'],22,18,14
5,0.7221563981042654,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2GH31', 'H2PF12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O'],22,18,14
6,0.7245260663507109,['H2GH25', 'H1ED19', 'H2DS10', 'H1TO3', 'H2EE12', 'H1FS18', 'H2DS9', 'H2PR3', 'H2FS3', 'H2PF28', 'H1PF8', 'S60L', 'H2DS14', 'H2WP5', 'H2ED12', 'H1PF23', 'H1FS13', 'H1TO12', 'H2WP9', 'H2ED14'],77,24,7
7,0.7245260663507109,['H2GH25', 'H1ED19', 'H2DS10', 'H1TO3', 'H2EE12', 'H1FS18', 'H2DS9', 'H2PR3', 'H2FS3', 'H2PF28', 'H1PF8', 'S60L', 'H2DS14', 'H2WP5', 'H2ED12', 'H1PF23', 'H1FS13', 'H1TO12', 'H2WP9', 'H2ED14'],77,24,7
8,0.7245260663507109,['H2GH25', 'H1ED19', 'H2DS10', 'H1TO3', 'H2EE12', 'H1FS18', 'H2DS9', 'H2PR3', 'H2FS3', 'H2PF28', 'H1PF8', 'S60L', 'H2DS14', 'H2WP5', 'H2ED12', 'H1PF23', 'H1FS13', 'H1TO12', 'H2WP9', 'H2ED14'],77,24,7
9,0.7245260663507109,['H2GH25', 'H1ED19', 'H2DS10', 'H1TO3', 'H2EE12', 'H1FS18', 'H2DS9', 'H2PR3', 'H2FS3', 'H2PF28', 'H1PF8', 'S60L', 'H2DS14', 'H2WP5', 'H2ED12', 'H1PF23', 'H1FS13', 'H1TO12', 'H2WP9', 'H2ED14'],77,24,7
10,0.7245260663507109,['H2GH25', 'H1ED19', 'H2DS10', 'H1TO3', 'H2EE12', 'H1FS18', 'H2DS9', 'H2PR3', 'H2FS3', 'H2PF28', 'H1PF8', 'S60L', 'H2DS14', 'H2WP5', 'H2ED12', 'H1PF23', 'H1FS13', 'H1TO12', 'H2WP9', 'H2ED14'],77,24,7
11,0.7245260663507109,['H2GH25', 'H1ED19', 'H2DS10', 'H1TO3', 'H2EE12', 'H1FS18', 'H2DS9', 'H2PR3', 'H2FS3', 'H2PF28', 'H1PF8', 'S60L', 'H2DS14', 'H2WP5', 'H2ED12', 'H1PF23', 'H1FS13', 'H1TO12', 'H2WP9', 'H2ED14'],77,24,7
12,0.7245260663507109,['H2GH25', 'H1ED19', 'H2DS10', 'H1TO3', 'H2EE12', 'H1FS18', 'H2DS9', 'H2PR3', 'H2FS3', 'H2PF28', 'H1PF8', 'S60L', 'H2DS14', 'H2WP5', 'H2ED12', 'H1PF23', 'H1FS13', 'H1TO12', 'H2WP9', 'H2ED14'],77,24,7
13,0.7245260663507109,['H2GH25', 'H1ED19', 'H2DS10', 'H1TO3', 'H2EE12', 'H1FS18', 'H2DS9', 'H2PR3', 'H2FS3', 'H2PF28', 'H1PF8', 'S60L', 'H2DS14', 'H2WP5', 'H2ED12', 'H1PF23', 'H1FS13', 'H1TO12', 'H2WP9', 'H2ED14'],77,24,7
14,0.7245260663507109,['H2GH25', 'H1ED19', 'H2DS10', 'H1TO3', 'H2EE12', 'H1FS18', 'H2DS9', 'H2PR3', 'H2FS3', 'H2PF28', 'H1PF8', 'S60L', 'H2DS14', 'H2WP5', 'H2ED12', 'H1PF23', 'H1FS13', 'H1TO12', 'H2WP9', 'H2ED14'],77,24,7
15,0.7245260663507109,['H2GH25', 'H1ED19', 'H2DS10', 'H1TO3', 'H2EE12', 'H1FS18', 'H2DS9', 'H2PR3', 'H2FS3', 'H2PF28', 'H1PF8', 'S60L', 'H2DS14', 'H2WP5', 'H2ED12', 'H1PF23', 'H1FS13', 'H1TO12', 'H2WP9', 'H2ED14'],77,24,7
16,0.7245260663507109,['H2GH25', 'H1ED19', 'H2DS10', 'H1TO3', 'H2EE12', 'H1FS18', 'H2DS9', 'H2PR3', 'H2FS3', 'H2PF28', 'H1PF8', 'S60L', 'H2DS14', 'H2WP5', 'H2ED12', 'H1PF23', 'H1FS13', 'H1TO12', 'H2WP9', 'H2ED14'],77,24,7
