curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
0,0.7203791469194313,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2GH31', 'H2PF12', 'H1DS14', 'H2PF29', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O', 'H1ED7', 'H2TO26', 'H1DS9', 'H2PF4', 'S45A'],22,18,24
1,0.7227488151658767,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2GH31', 'H2PF12', 'H1DS14', 'H1WP2', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O', 'H1ED7', 'H2TO26', 'H1DS9', 'H2PF4', 'S45A'],22,16,25
2,0.7233412322274881,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2GH31', 'H2PF12', 'H2TO25', 'H1WP2', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O', 'H1ED7', 'H2TO26', 'H1DS9', 'H2PF4', 'S45A'],22,16,23
3,0.7233412322274881,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2GH31', 'H2PF12', 'H2TO25', 'H1WP2', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O', 'H1ED7', 'H2TO26', 'H1DS9', 'H2PF4', 'S45A'],22,16,23
4,0.7233412322274881,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2GH31', 'H2PF12', 'H2TO25', 'H1WP2', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O', 'H1ED7', 'H2TO26', 'H1DS9', 'H2PF4', 'S45A'],22,16,23
5,0.7233412322274881,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2GH31', 'H2PF12', 'H2TO25', 'H1WP2', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O', 'H1ED7', 'H2TO26', 'H1DS9', 'H2PF4', 'S45A'],22,16,23
6,0.7245260663507109,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2GH31', 'H2PF12', 'H2TO25', 'H1WP2', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O', 'H1ED7', 'H2TO26', 'H1DS9', 'H2PF4', 'S45A'],22,16,22
7,0.7245260663507109,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2GH31', 'H2PF12', 'H2TO25', 'H1WP2', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O', 'H1ED7', 'H2TO26', 'H1DS9', 'H2PF4', 'S45A'],22,16,22
8,0.7245260663507109,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2GH31', 'H2PF12', 'H2TO25', 'H1WP2', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O', 'H1ED7', 'H2TO26', 'H1DS9', 'H2PF4', 'S45A'],22,16,22
9,0.7245260663507109,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2GH31', 'H2PF12', 'H2TO25', 'H1WP2', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O', 'H1ED7', 'H2TO26', 'H1DS9', 'H2PF4', 'S45A'],22,16,22
10,0.7245260663507109,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2GH31', 'H2PF12', 'H2TO25', 'H1WP2', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O', 'H1ED7', 'H2TO26', 'H1DS9', 'H2PF4', 'S45A'],22,16,22
11,0.7245260663507109,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2GH31', 'H2PF12', 'H2TO25', 'H1WP2', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O', 'H1ED7', 'H2TO26', 'H1DS9', 'H2PF4', 'S45A'],22,16,22
12,0.7245260663507109,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2GH31', 'H2PF12', 'H2TO25', 'H1WP2', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O', 'H1ED7', 'H2TO26', 'H1DS9', 'H2PF4', 'S45A'],22,16,22
13,0.7245260663507109,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2GH31', 'H2PF12', 'H2TO25', 'H1WP2', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O', 'H1ED7', 'H2TO26', 'H1DS9', 'H2PF4', 'S45A'],22,16,22
14,0.7251184834123223,['H1DS12', 'H2TO11', 'H2FS7', 'H1TO3', 'H2GH31', 'H2PF12', 'H2TO25', 'H1WP2', 'H2FV6', 'H1ED9', 'H1EE7', 'H1PF16', 'H2PF16', 'H1PF2', 'H1PF7', 'S62H', 'H1GH29', 'H2GH45', 'H1FS17', 'S60O', 'H1ED7', 'H1PF10', 'H1DS9', 'H2PF4', 'S45A'],23,17,21
15,0.7286729857819905,['H1EE7', 'H1TO3', 'H1FS16', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H2PF32', 'H1FS6', 'H2PF31', 'H2FV2', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],23,6,7
