curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
0,0.7257109004739336,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1PF33', 'H1RM14', 'H1FS15', 'H1PF7', 'S59E', 'H1FS2', 'H2TO11', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1TO12', 'H2DS3', 'H1FS13', 'H1FS4', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2FS14', 'H2FV3', 'H1TO1', 'S45A', 'H1ED15'],30,97,19
1,0.7257109004739336,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1PF33', 'H1RM14', 'H1FS15', 'H1PF7', 'S59E', 'H1FS2', 'H2TO11', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1TO12', 'H2DS3', 'H1FS13', 'H1FS4', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2FS14', 'H2FV3', 'H1TO1', 'S45A', 'H1ED15'],30,97,19
2,0.7257109004739336,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1PF33', 'H1RM14', 'H1FS15', 'H1PF7', 'S59E', 'H1FS2', 'H2TO11', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1TO12', 'H2DS3', 'H1FS13', 'H1FS4', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2FS14', 'H2FV3', 'H1TO1', 'S45A', 'H1ED15'],30,97,19
3,0.726303317535545,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1PF33', 'H1RM14', 'H1FS15', 'H1PF7', 'S59E', 'H1FS2', 'H2TO11', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1TO12', 'H2DS3', 'H1FS13', 'H1FS4', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2FS14', 'H2FV3', 'H1TO1', 'PA56', 'H1ED15'],30,95,19
4,0.726303317535545,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1PF33', 'H1RM14', 'H1FS15', 'H1PF7', 'S59E', 'H1FS2', 'H2TO11', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1TO12', 'H2DS3', 'H1FS13', 'H1FS4', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2FS14', 'H2FV3', 'H1TO1', 'PA56', 'H1ED15'],30,95,19
5,0.726303317535545,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1PF33', 'H1RM14', 'H1FS15', 'H1PF7', 'S59E', 'H1FS2', 'H2TO11', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1TO12', 'H2DS3', 'H1FS13', 'H1FS4', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2FS14', 'H2FV3', 'H1TO1', 'PA56', 'H1ED15'],30,95,19
6,0.726303317535545,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1PF33', 'H1RM14', 'H1FS15', 'H1PF7', 'S59E', 'H1FS2', 'H2TO11', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1TO12', 'H2DS3', 'H1FS13', 'H1FS4', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2FS14', 'H2FV3', 'H1TO1', 'PA56', 'H1ED15'],30,95,19
7,0.7274881516587678,['S60L', 'H2PF12', 'H2WP13', 'H2PF28', 'H2DS4', 'H1FS15', 'H1PF4', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2PF33', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'H1FS9', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H1DS5'],84,38,22
8,0.7274881516587678,['S60L', 'H2PF12', 'H2WP13', 'H2PF28', 'H2DS4', 'H1FS15', 'H1PF4', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2PF33', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'H1FS9', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H1DS5'],84,38,22
9,0.7274881516587678,['S60L', 'H2PF12', 'H2WP13', 'H2PF28', 'H2DS4', 'H1FS15', 'H1PF4', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2PF33', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'H1FS9', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H1DS5'],84,38,22
10,0.7274881516587678,['S60L', 'H2PF12', 'H2WP13', 'H2PF28', 'H2DS4', 'H1FS15', 'H1PF4', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2PF33', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'H1FS9', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H1DS5'],84,38,22
11,0.7274881516587678,['S60L', 'H2PF12', 'H2WP13', 'H2PF28', 'H2DS4', 'H1FS15', 'H1PF4', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2PF33', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'H1FS9', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H1DS5'],84,38,22
12,0.7274881516587678,['S60L', 'H2PF12', 'H2WP13', 'H2PF28', 'H2DS4', 'H1FS15', 'H1PF4', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2PF33', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'H1FS9', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H1DS5'],84,38,22
13,0.7274881516587678,['S60L', 'H2PF12', 'H2WP13', 'H2PF28', 'H2DS4', 'H1FS15', 'H1PF4', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2PF33', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'H1FS9', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H1DS5'],84,38,22
14,0.7274881516587678,['S60L', 'H2PF12', 'H2WP13', 'H2PF28', 'H2DS4', 'H1FS15', 'H1PF4', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2PF33', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'H1FS9', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H1DS5'],84,38,22
15,0.7274881516587678,['S60L', 'H2PF12', 'H2WP13', 'H2PF28', 'H2DS4', 'H1FS15', 'H1PF4', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2PF33', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'H1FS9', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H1DS5'],84,38,22
16,0.7274881516587678,['S60L', 'H2PF12', 'H2WP13', 'H2PF28', 'H2DS4', 'H1FS15', 'H1PF4', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2PF33', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'H1FS9', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H1DS5'],84,38,22
17,0.7274881516587678,['S60L', 'H2PF12', 'H2WP13', 'H2PF28', 'H2DS4', 'H1FS15', 'H1PF4', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2PF33', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'H1FS9', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H1DS5'],84,38,22
18,0.7274881516587678,['S60L', 'H2PF12', 'H2WP13', 'H2PF28', 'H2DS4', 'H1FS15', 'H1PF4', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2PF33', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'H1FS9', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H1DS5'],84,38,22
19,0.7274881516587678,['S60L', 'H2PF12', 'H2WP13', 'H2PF28', 'H2DS4', 'H1FS15', 'H1PF4', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2PF33', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'H1FS9', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H1DS5'],84,38,22
20,0.7274881516587678,['S60L', 'H2PF12', 'H2WP13', 'H2PF28', 'H2DS4', 'H1FS15', 'H1PF4', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2PF33', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'H1FS9', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H1DS5'],84,38,22
21,0.7274881516587678,['S60L', 'H2PF12', 'H2WP13', 'H2PF28', 'H2DS4', 'H1FS15', 'H1PF4', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2PF33', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'H1FS9', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H1DS5'],84,38,22
22,0.7274881516587678,['S60L', 'H2PF12', 'H2WP13', 'H2PF28', 'H2DS4', 'H1FS15', 'H1PF4', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2PF33', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'H1FS9', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H1DS5'],84,38,22
23,0.7274881516587678,['S60L', 'H2PF12', 'H2WP13', 'H2PF28', 'H2DS4', 'H1FS15', 'H1PF4', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2PF33', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'H1FS9', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H1DS5'],84,38,22
24,0.7274881516587678,['S60L', 'H2PF12', 'H2WP13', 'H2PF28', 'H2DS4', 'H1FS15', 'H1PF4', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2PF33', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'H1FS9', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H1DS5'],84,38,22
25,0.7274881516587678,['S60L', 'H2PF12', 'H2WP13', 'H2PF28', 'H2DS4', 'H1FS15', 'H1PF4', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2PF33', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'H1FS9', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H1DS5'],84,38,22
26,0.7274881516587678,['S60L', 'H2PF12', 'H2WP13', 'H2PF28', 'H2DS4', 'H1FS15', 'H1PF4', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31', 'H1SE4', 'H2PF33', 'H2ED15', 'H2PF1', 'H2DS6', 'H1RM14', 'H1ED24', 'H2PR4', 'H2GH25', 'H2PF16', 'H2TO29', 'H2WP2', 'H1GH20', 'H1FS9', 'H2DS1', 'H1PF36', 'H2TO15', 'H1GH29', 'S62B', 'H1WP14', 'H2PF29', 'H1FS7', 'H1WP7', 'H1GH22', 'H1DS5'],84,38,22
