curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
0,0.7268957345971564,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1PF33', 'H1RM14', 'H1FS15', 'H1PF7', 'S59E', 'H1FS2', 'H2TO11', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1TO12', 'H2DS3', 'H1FS13', 'H1FS4', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2FS14', 'H2FV3', 'H1TO1', 'S45A', 'H1ED15', 'H1PF35', 'H1FS9', 'S45C', 'S62Q', 'H1PF4'],30,97,19
1,0.7268957345971564,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1PF33', 'H1RM14', 'H1FS15', 'H1PF7', 'S59E', 'H1FS2', 'H2TO11', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1TO12', 'H2DS3', 'H1FS13', 'H1FS4', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2FS14', 'H2FV3', 'H1TO1', 'S45A', 'H1ED15', 'H1PF35', 'H1FS9', 'S45C', 'S62Q', 'H1PF4'],30,97,19
2,0.7268957345971564,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1PF33', 'H1RM14', 'H1FS15', 'H1PF7', 'S59E', 'H1FS2', 'H2TO11', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1TO12', 'H2DS3', 'H1FS13', 'H1FS4', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2FS14', 'H2FV3', 'H1TO1', 'S45A', 'H1ED15', 'H1PF35', 'H1FS9', 'S45C', 'S62Q', 'H1PF4'],30,97,19
3,0.7268957345971564,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1PF33', 'H1RM14', 'H1FS15', 'H1PF7', 'S59E', 'H1FS2', 'H2TO11', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1TO12', 'H2DS3', 'H1FS13', 'H1FS4', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2FS14', 'H2FV3', 'H1TO1', 'S45A', 'H1ED15', 'H1PF35', 'H1FS9', 'S45C', 'S62Q', 'H1PF4'],30,97,19
4,0.7268957345971564,['H1PF23', 'H2WP7', 'H1PF14', 'H2DS13', 'H1PF33', 'H1RM14', 'H1FS15', 'H1PF7', 'S59E', 'H1FS2', 'H2TO11', 'H2FS2', 'H1FS10', 'H1DS15', 'H2FS5', 'H1TO12', 'H2DS3', 'H1FS13', 'H1FS4', 'H2FS9', 'H1DS13', 'H1ED7', 'H2ED16', 'H1PF10', 'H1TO9', 'H1PF1', 'H2GH25', 'H1FS17', 'H2PF24', 'H2GH45', 'H1TO3', 'H2TO26', 'H1PF30', 'S62M', 'H1FS8', 'H2FS14', 'H2FV3', 'H1TO1', 'S45A', 'H1ED15', 'H1PF35', 'H1FS9', 'S45C', 'S62Q', 'H1PF4'],30,97,19
5,0.7274881516587678,['H2PF13', 'H2TO30', 'H2FS10', 'S62O', 'H2PF1', 'H1GH22', 'H2EE12', 'S62H', 'H1PF14', 'H1PF16', 'H2GH22', 'H2TO25', 'H2FS7', 'S60M', 'H2TO26', 'H1ED16', 'H2PF24', 'H1WP3', 'H1PF36', 'H2FV4', 'H1PF33', 'S60L', 'H2PF27', 'H1GH18', 'H1DA2', 'H2GH23', 'S60M', 'H1TO3', 'H1DS6', 'H1GH29', 'H2WP13', 'H1IR12', 'H1PF15', 'H2PF32', 'H1PF34', 'H2TO11', 'H2ED14', 'H2DS5', 'H1TO1', 'H2GH45', 'S62R', 'H1GH17', 'H2FV2', 'H2WP10', 'H2FS17'],10,90,29
6,0.7274881516587678,['H2PF13', 'H2TO30', 'H2FS10', 'S62O', 'H2PF1', 'H1GH22', 'H2EE12', 'S62H', 'H1PF14', 'H1PF16', 'H2GH22', 'H2TO25', 'H2FS7', 'S60M', 'H2TO26', 'H1ED16', 'H2PF24', 'H1WP3', 'H1PF36', 'H2FV4', 'H1PF33', 'S60L', 'H2PF27', 'H1GH18', 'H1DA2', 'H2GH23', 'S60M', 'H1TO3', 'H1DS6', 'H1GH29', 'H2WP13', 'H1IR12', 'H1PF15', 'H2PF32', 'H1PF34', 'H2TO11', 'H2ED14', 'H2DS5', 'H1TO1', 'H2GH45', 'S62R', 'H1GH17', 'H2FV2', 'H2WP10', 'H2FS17'],10,90,29
7,0.7274881516587678,['H2PF13', 'H2TO30', 'H2FS10', 'S62O', 'H2PF1', 'H1GH22', 'H2EE12', 'S62H', 'H1PF14', 'H1PF16', 'H2GH22', 'H2TO25', 'H2FS7', 'S60M', 'H2TO26', 'H1ED16', 'H2PF24', 'H1WP3', 'H1PF36', 'H2FV4', 'H1PF33', 'S60L', 'H2PF27', 'H1GH18', 'H1DA2', 'H2GH23', 'S60M', 'H1TO3', 'H1DS6', 'H1GH29', 'H2WP13', 'H1IR12', 'H1PF15', 'H2PF32', 'H1PF34', 'H2TO11', 'H2ED14', 'H2DS5', 'H1TO1', 'H2GH45', 'S62R', 'H1GH17', 'H2FV2', 'H2WP10', 'H2FS17'],10,90,29
8,0.7274881516587678,['H2PF13', 'H2TO30', 'H2FS10', 'S62O', 'H2PF1', 'H1GH22', 'H2EE12', 'S62H', 'H1PF14', 'H1PF16', 'H2GH22', 'H2TO25', 'H2FS7', 'S60M', 'H2TO26', 'H1ED16', 'H2PF24', 'H1WP3', 'H1PF36', 'H2FV4', 'H1PF33', 'S60L', 'H2PF27', 'H1GH18', 'H1DA2', 'H2GH23', 'S60M', 'H1TO3', 'H1DS6', 'H1GH29', 'H2WP13', 'H1IR12', 'H1PF15', 'H2PF32', 'H1PF34', 'H2TO11', 'H2ED14', 'H2DS5', 'H1TO1', 'H2GH45', 'S62R', 'H1GH17', 'H2FV2', 'H2WP10', 'H2FS17'],10,90,29
9,0.7274881516587678,['H2PF13', 'H2TO30', 'H2FS10', 'S62O', 'H2PF1', 'H1GH22', 'H2EE12', 'S62H', 'H1PF14', 'H1PF16', 'H2GH22', 'H2TO25', 'H2FS7', 'S60M', 'H2TO26', 'H1ED16', 'H2PF24', 'H1WP3', 'H1PF36', 'H2FV4', 'H1PF33', 'S60L', 'H2PF27', 'H1GH18', 'H1DA2', 'H2GH23', 'S60M', 'H1TO3', 'H1DS6', 'H1GH29', 'H2WP13', 'H1IR12', 'H1PF15', 'H2PF32', 'H1PF34', 'H2TO11', 'H2ED14', 'H2DS5', 'H1TO1', 'H2GH45', 'S62R', 'H1GH17', 'H2FV2', 'H2WP10', 'H2FS17'],10,90,29
10,0.7274881516587678,['H2PF13', 'H2TO30', 'H2FS10', 'S62O', 'H2PF1', 'H1GH22', 'H2EE12', 'S62H', 'H1PF14', 'H1PF16', 'H2GH22', 'H2TO25', 'H2FS7', 'S60M', 'H2TO26', 'H1ED16', 'H2PF24', 'H1WP3', 'H1PF36', 'H2FV4', 'H1PF33', 'S60L', 'H2PF27', 'H1GH18', 'H1DA2', 'H2GH23', 'S60M', 'H1TO3', 'H1DS6', 'H1GH29', 'H2WP13', 'H1IR12', 'H1PF15', 'H2PF32', 'H1PF34', 'H2TO11', 'H2ED14', 'H2DS5', 'H1TO1', 'H2GH45', 'S62R', 'H1GH17', 'H2FV2', 'H2WP10', 'H2FS17'],10,90,29
