curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
0,0.7280805687203792,['H1FS1', 'H2PF23', 'H2PF8', 'H2FS13', 'H1PF31', 'H2DS11', 'H2GH25', 'H1PF8', 'H2GH26', 'S62Q', 'H1DS7', 'H1TO12', 'H2FS15', 'H2WP1', 'PC40', 'H2PF4', 'H1SE4', 'H1WP3', 'H1ED15', 'H1TS3', 'H2FS2', 'H2DS9', 'H2TO15', 'H2FS3', 'H2EE12', 'H1WP1', 'H2WP2', 'H1FS14', 'H1ED9', 'H1FS5', 'H2ED14', 'S62H', 'PA21', 'H2GH45', 'H2FS14', 'H2PF7', 'H1WP6', 'H2DS8', 'H2TO11', 'H1DA6', 'H2DS4', 'H2PF24', 'H1GH28', 'H1TO3', 'H2PF9', 'H1PF16', 'H2DS7', 'H1DA2', 'H1FS8', 'H1FS4', 'H1DS6', 'H2PF5', 'H2PF12', 'S59E', 'H1FS10'],14,23,33
1,0.7280805687203792,['H1FS1', 'H2PF23', 'H2PF8', 'H2FS13', 'H1PF31', 'H2DS11', 'H2GH25', 'H1PF8', 'H2GH26', 'S62Q', 'H1DS7', 'H1TO12', 'H2FS15', 'H2WP1', 'PC40', 'H2PF4', 'H1SE4', 'H1WP3', 'H1ED15', 'H1TS3', 'H2FS2', 'H2DS9', 'H2TO15', 'H2FS3', 'H2EE12', 'H1WP1', 'H2WP2', 'H1FS14', 'H1ED9', 'H1FS5', 'H2ED14', 'S62H', 'PA21', 'H2GH45', 'H2FS14', 'H2PF7', 'H1WP6', 'H2DS8', 'H2TO11', 'H1DA6', 'H2DS4', 'H2PF24', 'H1GH28', 'H1TO3', 'H2PF9', 'H1PF16', 'H2DS7', 'H1DA2', 'H1FS8', 'H1FS4', 'H1DS6', 'H2PF5', 'H2PF12', 'S59E', 'H1FS10'],14,23,33
2,0.7292654028436019,['H1FS1', 'H2PF23', 'H2PF8', 'H2FS13', 'H1PF31', 'H2DS11', 'H2GH25', 'H1PF8', 'H2GH26', 'S62Q', 'H1DS7', 'H1TO12', 'H2FS15', 'H2WP1', 'PC40', 'H2PF4', 'H1SE4', 'H1WP3', 'H1ED15', 'H1TS3', 'H2FS2', 'H2DS9', 'H2TO15', 'H2FS3', 'H2EE12', 'H1WP1', 'H2WP2', 'H1FS14', 'H1ED9', 'H1FS5', 'H2ED14', 'S62H', 'PA21', 'H2GH45', 'H2FS14', 'H2PF7', 'H1WP6', 'H2DS8', 'H2TO11', 'H1TS3', 'H2DS4', 'H2PF24', 'H1GH28', 'H1TO3', 'H2PF9', 'H1PF16', 'H2DS7', 'H1DA2', 'H1FS8', 'H1FS4', 'H1DS6', 'H2PF5', 'H2PF12', 'S59E', 'H1FS10'],14,21,31
3,0.7292654028436019,['H1FS1', 'H2PF23', 'H2PF8', 'H2FS13', 'H1PF31', 'H2DS11', 'H2GH25', 'H1PF8', 'H2GH26', 'S62Q', 'H1DS7', 'H1TO12', 'H2FS15', 'H2WP1', 'PC40', 'H2PF4', 'H1SE4', 'H1WP3', 'H1ED15', 'H1TS3', 'H2FS2', 'H2DS9', 'H2TO15', 'H2FS3', 'H2EE12', 'H1WP1', 'H2WP2', 'H1FS14', 'H1ED9', 'H1FS5', 'H2ED14', 'S62H', 'PA21', 'H2GH45', 'H2FS14', 'H2PF7', 'H1WP6', 'H2DS8', 'H2TO11', 'H1TS3', 'H2DS4', 'H2PF24', 'H1GH28', 'H1TO3', 'H2PF9', 'H1PF16', 'H2DS7', 'H1DA2', 'H1FS8', 'H1FS4', 'H1DS6', 'H2PF5', 'H2PF12', 'S59E', 'H1FS10'],14,21,31
4,0.7292654028436019,['H1FS1', 'H2PF23', 'H2PF8', 'H2FS13', 'H1PF31', 'H2DS11', 'H2GH25', 'H1PF8', 'H2GH26', 'S62Q', 'H1DS7', 'H1TO12', 'H2FS15', 'H2WP1', 'PC40', 'H2PF4', 'H1SE4', 'H1WP3', 'H1ED15', 'H1TS3', 'H2FS2', 'H2DS9', 'H2TO15', 'H2FS3', 'H2EE12', 'H1WP1', 'H2WP2', 'H1FS14', 'H1ED9', 'H1FS5', 'H2ED14', 'S62H', 'PA21', 'H2GH45', 'H2FS14', 'H2PF7', 'H1WP6', 'H2DS8', 'H2TO11', 'H1TS3', 'H2DS4', 'H2PF24', 'H1GH28', 'H1TO3', 'H2PF9', 'H1PF16', 'H2DS7', 'H1DA2', 'H1FS8', 'H1FS4', 'H1DS6', 'H2PF5', 'H2PF12', 'S59E', 'H1FS10'],14,21,31
5,0.7292654028436019,['H1FS1', 'H2PF23', 'H2PF8', 'H2FS13', 'H1PF31', 'H2DS11', 'H2GH25', 'H1PF8', 'H2GH26', 'S62Q', 'H1DS7', 'H1TO12', 'H2FS15', 'H2WP1', 'PC40', 'H2PF4', 'H1SE4', 'H1WP3', 'H1ED15', 'H1TS3', 'H2FS2', 'H2DS9', 'H2TO15', 'H2FS3', 'H2EE12', 'H1WP1', 'H2WP2', 'H1FS14', 'H1ED9', 'H1FS5', 'H2ED14', 'S62H', 'PA21', 'H2GH45', 'H2FS14', 'H2PF7', 'H1WP6', 'H2DS8', 'H2TO11', 'H1TS3', 'H2DS4', 'H2PF24', 'H1GH28', 'H1TO3', 'H2PF9', 'H1PF16', 'H2DS7', 'H1DA2', 'H1FS8', 'H1FS4', 'H1DS6', 'H2PF5', 'H2PF12', 'S59E', 'H1FS10'],14,21,31
6,0.7292654028436019,['H1FS1', 'H2PF23', 'H2PF8', 'H2FS13', 'H1PF31', 'H2DS11', 'H2GH25', 'H1PF8', 'H2GH26', 'S62Q', 'H1DS7', 'H1TO12', 'H2FS15', 'H2WP1', 'PC40', 'H2PF4', 'H1SE4', 'H1WP3', 'H1ED15', 'H1TS3', 'H2FS2', 'H2DS9', 'H2TO15', 'H2FS3', 'H2EE12', 'H1WP1', 'H2WP2', 'H1FS14', 'H1ED9', 'H1FS5', 'H2ED14', 'S62H', 'PA21', 'H2GH45', 'H2FS14', 'H2PF7', 'H1WP6', 'H2DS8', 'H2TO11', 'H1TS3', 'H2DS4', 'H2PF24', 'H1GH28', 'H1TO3', 'H2PF9', 'H1PF16', 'H2DS7', 'H1DA2', 'H1FS8', 'H1FS4', 'H1DS6', 'H2PF5', 'H2PF12', 'S59E', 'H1FS10'],14,21,31
7,0.7292654028436019,['H1FS1', 'H2PF23', 'H2PF8', 'H2FS13', 'H1PF31', 'H2DS11', 'H2GH25', 'H1PF8', 'H2GH26', 'S62Q', 'H1DS7', 'H1TO12', 'H2FS15', 'H2WP1', 'PC40', 'H2PF4', 'H1SE4', 'H1WP3', 'H1ED15', 'H1TS3', 'H2FS2', 'H2DS9', 'H2TO15', 'H2FS3', 'H2EE12', 'H1WP1', 'H2WP2', 'H1FS14', 'H1ED9', 'H1FS5', 'H2ED14', 'S62H', 'PA21', 'H2GH45', 'H2FS14', 'H2PF7', 'H1WP6', 'H2DS8', 'H2TO11', 'H1TS3', 'H2DS4', 'H2PF24', 'H1GH28', 'H1TO3', 'H2PF9', 'H1PF16', 'H2DS7', 'H1DA2', 'H1FS8', 'H1FS4', 'H1DS6', 'H2PF5', 'H2PF12', 'S59E', 'H1FS10'],14,21,31
8,0.7292654028436019,['H1FS1', 'H2PF23', 'H2PF8', 'H2FS13', 'H1PF31', 'H2DS11', 'H2GH25', 'H1PF8', 'H2GH26', 'S62Q', 'H1DS7', 'H1TO12', 'H2FS15', 'H2WP1', 'PC40', 'H2PF4', 'H1SE4', 'H1WP3', 'H1ED15', 'H1TS3', 'H2FS2', 'H2DS9', 'H2TO15', 'H2FS3', 'H2EE12', 'H1WP1', 'H2WP2', 'H1FS14', 'H1ED9', 'H1FS5', 'H2ED14', 'S62H', 'PA21', 'H2GH45', 'H2FS14', 'H2PF7', 'H1WP6', 'H2DS8', 'H2TO11', 'H1TS3', 'H2DS4', 'H2PF24', 'H1GH28', 'H1TO3', 'H2PF9', 'H1PF16', 'H2DS7', 'H1DA2', 'H1FS8', 'H1FS4', 'H1DS6', 'H2PF5', 'H2PF12', 'S59E', 'H1FS10'],14,21,31
9,0.7292654028436019,['H1FS1', 'H2PF23', 'H2PF8', 'H2FS13', 'H1PF31', 'H2DS11', 'H2GH25', 'H1PF8', 'H2GH26', 'S62Q', 'H1DS7', 'H1TO12', 'H2FS15', 'H2WP1', 'PC40', 'H2PF4', 'H1SE4', 'H1WP3', 'H1ED15', 'H1TS3', 'H2FS2', 'H2DS9', 'H2TO15', 'H2FS3', 'H2EE12', 'H1WP1', 'H2WP2', 'H1FS14', 'H1ED9', 'H1FS5', 'H2ED14', 'S62H', 'PA21', 'H2GH45', 'H2FS14', 'H2PF7', 'H1WP6', 'H2DS8', 'H2TO11', 'H1TS3', 'H2DS4', 'H2PF24', 'H1GH28', 'H1TO3', 'H2PF9', 'H1PF16', 'H2DS7', 'H1DA2', 'H1FS8', 'H1FS4', 'H1DS6', 'H2PF5', 'H2PF12', 'S59E', 'H1FS10'],14,21,31
10,0.7292654028436019,['H1FS1', 'H2PF23', 'H2PF8', 'H2FS13', 'H1PF31', 'H2DS11', 'H2GH25', 'H1PF8', 'H2GH26', 'S62Q', 'H1DS7', 'H1TO12', 'H2FS15', 'H2WP1', 'PC40', 'H2PF4', 'H1SE4', 'H1WP3', 'H1ED15', 'H1TS3', 'H2FS2', 'H2DS9', 'H2TO15', 'H2FS3', 'H2EE12', 'H1WP1', 'H2WP2', 'H1FS14', 'H1ED9', 'H1FS5', 'H2ED14', 'S62H', 'PA21', 'H2GH45', 'H2FS14', 'H2PF7', 'H1WP6', 'H2DS8', 'H2TO11', 'H1TS3', 'H2DS4', 'H2PF24', 'H1GH28', 'H1TO3', 'H2PF9', 'H1PF16', 'H2DS7', 'H1DA2', 'H1FS8', 'H1FS4', 'H1DS6', 'H2PF5', 'H2PF12', 'S59E', 'H1FS10'],14,21,31
