curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
0,0.7257109004739336,['H2PF31', 'H1PF24', 'H2TO11', 'H1PF26', 'H2FS19', 'H2WP9', 'H2DS3', 'H1DS6', 'H2WP13', 'H1ED9', 'H1WP14', 'H1FS18', 'H2PF30', 'H2TO25', 'H1FS16', 'H1DS13', 'H1GH21', 'H2ED12', 'H2DS1', 'H1FS3', 'H2PR4', 'S59E', 'H1FS10', 'H2TO27', 'H1DS14', 'H1PF25', 'H2PF16', 'H1FS11', 'H2DS11', 'H2WP6', 'H2DS6', 'H1FS6', 'H1GH22', 'H2WP2', 'H2PF29', 'H2TO26', 'H2SE4', 'H2GH26', 'H1IR3', 'S60N', 'H2DS2', 'H2FV2', 'H1PF5', 'H2ED15', 'H2PR3', 'H2PF4', 'H1ED2', 'H1PF7', 'S62O', 'H1PF14', 'H1FS9', 'H1PF32', 'H2DS12', 'H1TO3', 'H1FS15', 'H1PF33', 'H2PF25', 'H1FS11', 'PA56', 'H2PF13', 'H2FV6', 'H1TO12', 'H2PF22', 'H2PF34', 'S62R'],76,63,44
1,0.7257109004739336,['H2PF31', 'H1PF24', 'H2TO11', 'H1PF26', 'H2FS19', 'H2WP9', 'H2DS3', 'H1DS6', 'H2WP13', 'H1ED9', 'H1WP14', 'H1FS18', 'H2PF30', 'H2TO25', 'H1FS16', 'H1DS13', 'H1GH21', 'H2ED12', 'H2DS1', 'H1FS3', 'H2PR4', 'S59E', 'H1FS10', 'H2TO27', 'H1DS14', 'H1PF25', 'H2PF16', 'H1FS11', 'H2DS11', 'H2WP6', 'H2DS6', 'H1FS6', 'H1GH22', 'H2WP2', 'H2PF29', 'H2TO26', 'H2SE4', 'H2GH26', 'H1IR3', 'S60N', 'H2DS2', 'H2FV2', 'H1PF5', 'H2ED15', 'H2PR3', 'H2PF4', 'H1ED2', 'H1PF7', 'S62O', 'H1PF14', 'H1FS9', 'H1PF32', 'H2DS12', 'H1TO3', 'H1FS15', 'H1PF33', 'H2PF25', 'H1FS11', 'PA56', 'H2PF13', 'H2FV6', 'H1TO12', 'H2PF22', 'H2PF34', 'S62R'],76,63,44
2,0.7257109004739336,['H2PF31', 'H1PF24', 'H2TO11', 'H1PF26', 'H2FS19', 'H2WP9', 'H2DS3', 'H1DS6', 'H2WP13', 'H1ED9', 'H1WP14', 'H1FS18', 'H2PF30', 'H2TO25', 'H1FS16', 'H1DS13', 'H1GH21', 'H2ED12', 'H2DS1', 'H1FS3', 'H2PR4', 'S59E', 'H1FS10', 'H2TO27', 'H1DS14', 'H1PF25', 'H2PF16', 'H1FS11', 'H2DS11', 'H2WP6', 'H2DS6', 'H1FS6', 'H1GH22', 'H2WP2', 'H2PF29', 'H2TO26', 'H2SE4', 'H2GH26', 'H1IR3', 'S60N', 'H2DS2', 'H2FV2', 'H1PF5', 'H2ED15', 'H2PR3', 'H2PF4', 'H1ED2', 'H1PF7', 'S62O', 'H1PF14', 'H1FS9', 'H1PF32', 'H2DS12', 'H1TO3', 'H1FS15', 'H1PF33', 'H2PF25', 'H1FS11', 'PA56', 'H2PF13', 'H2FV6', 'H1TO12', 'H2PF22', 'H2PF34', 'S62R'],76,63,44
3,0.7257109004739336,['H2PF31', 'H1PF24', 'H2TO11', 'H1PF26', 'H2FS19', 'H2WP9', 'H2DS3', 'H1DS6', 'H2WP13', 'H1ED9', 'H1WP14', 'H1FS18', 'H2PF30', 'H2TO25', 'H1FS16', 'H1DS13', 'H1GH21', 'H2ED12', 'H2DS1', 'H1FS3', 'H2PR4', 'S59E', 'H1FS10', 'H2TO27', 'H1DS14', 'H1PF25', 'H2PF16', 'H1FS11', 'H2DS11', 'H2WP6', 'H2DS6', 'H1FS6', 'H1GH22', 'H2WP2', 'H2PF29', 'H2TO26', 'H2SE4', 'H2GH26', 'H1IR3', 'S60N', 'H2DS2', 'H2FV2', 'H1PF5', 'H2ED15', 'H2PR3', 'H2PF4', 'H1ED2', 'H1PF7', 'S62O', 'H1PF14', 'H1FS9', 'H1PF32', 'H2DS12', 'H1TO3', 'H1FS15', 'H1PF33', 'H2PF25', 'H1FS11', 'PA56', 'H2PF13', 'H2FV6', 'H1TO12', 'H2PF22', 'H2PF34', 'S62R'],76,63,44
4,0.7268957345971564,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2DS5', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF24', 'H1FS14', 'H2FV5', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H1FS5', 'H1PF7', 'H2PF31', 'H2PF5', 'H1WP4', 'H1PF31', 'H1FS17', 'H1ED9', 'H2PF22', 'S62H', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2PR4', 'H2TO30', 'H1TO1', 'H1PF16', 'H2FS14', 'H2ED17', 'H1PF8', 'S62R', 'H1ED7', 'H1FS9', 'H1GH22', 'H2TO11', 'H2TO15', 'H2FS8', 'H1ED18', 'H2GH27', 'H2PF8', 'H2ED3'],14,24,28
5,0.7268957345971564,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2DS5', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF24', 'H1FS14', 'H2FV5', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H1FS5', 'H1PF7', 'H2PF31', 'H2PF5', 'H1WP4', 'H1PF31', 'H1FS17', 'H1ED9', 'H2PF22', 'S62H', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2PR4', 'H2TO30', 'H1TO1', 'H1PF16', 'H2FS14', 'H2ED17', 'H1PF8', 'S62R', 'H1ED7', 'H1FS9', 'H1GH22', 'H2TO11', 'H2TO15', 'H2FS8', 'H1ED18', 'H2GH27', 'H2PF8', 'H2ED3'],14,24,28
6,0.7268957345971564,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2DS5', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF24', 'H1FS14', 'H2FV5', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H1FS5', 'H1PF7', 'H2PF31', 'H2PF5', 'H1WP4', 'H1PF31', 'H1FS17', 'H1ED9', 'H2PF22', 'S62H', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2PR4', 'H2TO30', 'H1TO1', 'H1PF16', 'H2FS14', 'H2ED17', 'H1PF8', 'S62R', 'H1ED7', 'H1FS9', 'H1GH22', 'H2TO11', 'H2TO15', 'H2FS8', 'H1ED18', 'H2GH27', 'H2PF8', 'H2ED3'],14,24,28
7,0.7268957345971564,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2DS5', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF24', 'H1FS14', 'H2FV5', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H1FS5', 'H1PF7', 'H2PF31', 'H2PF5', 'H1WP4', 'H1PF31', 'H1FS17', 'H1ED9', 'H2PF22', 'S62H', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2PR4', 'H2TO30', 'H1TO1', 'H1PF16', 'H2FS14', 'H2ED17', 'H1PF8', 'S62R', 'H1ED7', 'H1FS9', 'H1GH22', 'H2TO11', 'H2TO15', 'H2FS8', 'H1ED18', 'H2GH27', 'H2PF8', 'H2ED3'],14,24,28
8,0.7268957345971564,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2DS5', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF24', 'H1FS14', 'H2FV5', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H1FS5', 'H1PF7', 'H2PF31', 'H2PF5', 'H1WP4', 'H1PF31', 'H1FS17', 'H1ED9', 'H2PF22', 'S62H', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2PR4', 'H2TO30', 'H1TO1', 'H1PF16', 'H2FS14', 'H2ED17', 'H1PF8', 'S62R', 'H1ED7', 'H1FS9', 'H1GH22', 'H2TO11', 'H2TO15', 'H2FS8', 'H1ED18', 'H2GH27', 'H2PF8', 'H2ED3'],14,24,28
9,0.7268957345971564,['S60K', 'H2DS7', 'H1PF15', 'H2GH23', 'H1PF16', 'H1TO12', 'H1TO3', 'H1ED15', 'H2DS12', 'H2DS5', 'H1WP1', 'H2WP9', 'H2GH26', 'H1RM14', 'H1FS11', 'H2PF30', 'H2PF28', 'H2ED14', 'H2WP7', 'H1DS5', 'H1PF4', 'H2FS9', 'H1FS19', 'H1PF24', 'H1FS14', 'H2FV5', 'H1ED19', 'H1FS11', 'S62B', 'H1PF10', 'H1DS15', 'H2DS11', 'H1PF25', 'H1FS5', 'H1PF7', 'H2PF31', 'H2PF5', 'H1WP4', 'H1PF31', 'H1FS17', 'H1ED9', 'H2PF22', 'S62H', 'PA56', 'H2FV7', 'H1PF14', 'H1DS14', 'H2PR4', 'H2TO30', 'H1TO1', 'H1PF16', 'H2FS14', 'H2ED17', 'H1PF8', 'S62R', 'H1ED7', 'H1FS9', 'H1GH22', 'H2TO11', 'H2TO15', 'H2FS8', 'H1ED18', 'H2GH27', 'H2PF8', 'H2ED3'],14,24,28
10,0.7280805687203792,['H1SE4', 'H2FS16', 'H2PF16', 'H1PF8', 'H1PF7', 'H2PF4', 'S45C', 'H2TO15', 'H2FS18', 'H1PF1', 'H2ED13', 'H2FS2', 'H2FS4', 'H2PR4', 'H2FS15', 'H1TO3', 'H1ED15', 'H1ED24', 'H1ED2', 'S60K', 'H2PF35', 'H1ED20', 'H1FS13', 'H1EE5', 'H2PR5', 'H2WP6', 'H2GH31', 'H2WP1', 'H1FS2', 'H2FS9', 'H2GH22', 'H2FS12', 'H1DA2', 'H2FV7', 'H2DS5', 'H2GH25', 'S60O', 'H2WP2', 'H2PF7', 'H1WP4', 'S62Q', 'H2ED5', 'H1WP5', 'H2PF26', 'H1DS5', 'H2DS8', 'H2TO1', 'H2ED3', 'H2PF24', 'H2FV4', 'H1GH52', 'H1FS5', 'H2FS11', 'H2FV6', 'S62R', 'H2EE12', 'H1IR12', 'H1TO3', 'H2FS8', 'H1TO50', 'H1EE7', 'H2FV5', 'H2GH27', 'H2WP5', 'H2WP14'],41,7,11
