curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
0,0.7298578199052133,['H2FV3', 'H2DS13', 'H2FS8', 'H2PF14', 'H1PF14', 'H2TO1', 'H2ED16', 'H2PF1', 'H2DS6', 'H1RM14', 'H1DS5', 'H1FS11', 'H1WP10', 'H1ED19', 'H2PF21', 'H1WP5', 'H2FS2', 'PA56', 'H1PF14', 'H2WP5', 'H1ED24', 'H2DS1', 'H1FS16', 'H1ED15', 'H1PF24', 'H1DS11', 'H1PF1', 'H1WP7', 'H1FS3', 'H2ED12', 'H2PF16', 'H1TO9', 'S62M', 'H2TO11', 'H2WP14', 'H2DS5', 'S62P', 'H1TO3', 'H1FS8', 'H1GH19', 'H2PF17', 'H2ED15', 'H1IR12', 'H1DS13', 'PA21', 'H1DS10', 'H2FS19', 'H2PF5', 'H2WP3', 'H1FS1', 'H1GH52', 'H1PF16', 'H2WP7', 'H2PF29', 'H1TO12', 'H2PR5', 'H1FS7', 'H2FS5', 'H2GH25', 'H1FS12', 'H2WP10', 'H2FS12', 'H2FV5', 'H1TS3', 'H2PF9', 'H2EE12', 'H2TO26', 'H1PF31', 'H1FS15', 'H2PF23', 'H2TO30', 'H1ED9', 'H2FV4', 'H2WP9', 'H1ED2'],87,26,50
1,0.7298578199052133,['H2FV3', 'H2DS13', 'H2FS8', 'H2PF14', 'H1PF14', 'H2TO1', 'H2ED16', 'H2PF1', 'H2DS6', 'H1RM14', 'H1DS5', 'H1FS11', 'H1WP10', 'H1ED19', 'H2PF21', 'H1WP5', 'H2FS2', 'PA56', 'H1PF14', 'H2WP5', 'H1ED24', 'H2DS1', 'H1FS16', 'H1ED15', 'H1PF24', 'H1DS11', 'H1PF1', 'H1WP7', 'H1FS3', 'H2ED12', 'H2PF16', 'H1TO9', 'S62M', 'H2TO11', 'H2WP14', 'H2DS5', 'S62P', 'H1TO3', 'H1FS8', 'H1GH19', 'H2PF17', 'H2ED15', 'H1IR12', 'H1DS13', 'PA21', 'H1DS10', 'H2FS19', 'H2PF5', 'H2WP3', 'H1FS1', 'H1GH52', 'H1PF16', 'H2WP7', 'H2PF29', 'H1TO12', 'H2PR5', 'H1FS7', 'H2FS5', 'H2GH25', 'H1FS12', 'H2WP10', 'H2FS12', 'H2FV5', 'H1TS3', 'H2PF9', 'H2EE12', 'H2TO26', 'H1PF31', 'H1FS15', 'H2PF23', 'H2TO30', 'H1ED9', 'H2FV4', 'H2WP9', 'H1ED2'],87,26,50
2,0.7298578199052133,['H2FV3', 'H2DS13', 'H2FS8', 'H2PF14', 'H1PF14', 'H2TO1', 'H2ED16', 'H2PF1', 'H2DS6', 'H1RM14', 'H1DS5', 'H1FS11', 'H1WP10', 'H1ED19', 'H2PF21', 'H1WP5', 'H2FS2', 'PA56', 'H1PF14', 'H2WP5', 'H1ED24', 'H2DS1', 'H1FS16', 'H1ED15', 'H1PF24', 'H1DS11', 'H1PF1', 'H1WP7', 'H1FS3', 'H2ED12', 'H2PF16', 'H1TO9', 'S62M', 'H2TO11', 'H2WP14', 'H2DS5', 'S62P', 'H1TO3', 'H1FS8', 'H1GH19', 'H2PF17', 'H2ED15', 'H1IR12', 'H1DS13', 'PA21', 'H1DS10', 'H2FS19', 'H2PF5', 'H2WP3', 'H1FS1', 'H1GH52', 'H1PF16', 'H2WP7', 'H2PF29', 'H1TO12', 'H2PR5', 'H1FS7', 'H2FS5', 'H2GH25', 'H1FS12', 'H2WP10', 'H2FS12', 'H2FV5', 'H1TS3', 'H2PF9', 'H2EE12', 'H2TO26', 'H1PF31', 'H1FS15', 'H2PF23', 'H2TO30', 'H1ED9', 'H2FV4', 'H2WP9', 'H1ED2'],87,26,50
3,0.7298578199052133,['H2FV3', 'H2DS13', 'H2FS8', 'H2PF14', 'H1PF14', 'H2TO1', 'H2ED16', 'H2PF1', 'H2DS6', 'H1RM14', 'H1DS5', 'H1FS11', 'H1WP10', 'H1ED19', 'H2PF21', 'H1WP5', 'H2FS2', 'PA56', 'H1PF14', 'H2WP5', 'H1ED24', 'H2DS1', 'H1FS16', 'H1ED15', 'H1PF24', 'H1DS11', 'H1PF1', 'H1WP7', 'H1FS3', 'H2ED12', 'H2PF16', 'H1TO9', 'S62M', 'H2TO11', 'H2WP14', 'H2DS5', 'S62P', 'H1TO3', 'H1FS8', 'H1GH19', 'H2PF17', 'H2ED15', 'H1IR12', 'H1DS13', 'PA21', 'H1DS10', 'H2FS19', 'H2PF5', 'H2WP3', 'H1FS1', 'H1GH52', 'H1PF16', 'H2WP7', 'H2PF29', 'H1TO12', 'H2PR5', 'H1FS7', 'H2FS5', 'H2GH25', 'H1FS12', 'H2WP10', 'H2FS12', 'H2FV5', 'H1TS3', 'H2PF9', 'H2EE12', 'H2TO26', 'H1PF31', 'H1FS15', 'H2PF23', 'H2TO30', 'H1ED9', 'H2FV4', 'H2WP9', 'H1ED2'],87,26,50
4,0.7298578199052133,['H2FV3', 'H2DS13', 'H2FS8', 'H2PF14', 'H1PF14', 'H2TO1', 'H2ED16', 'H2PF1', 'H2DS6', 'H1RM14', 'H1DS5', 'H1FS11', 'H1WP10', 'H1ED19', 'H2PF21', 'H1WP5', 'H2FS2', 'PA56', 'H1PF14', 'H2WP5', 'H1ED24', 'H2DS1', 'H1FS16', 'H1ED15', 'H1PF24', 'H1DS11', 'H1PF1', 'H1WP7', 'H1FS3', 'H2ED12', 'H2PF16', 'H1TO9', 'S62M', 'H2TO11', 'H2WP14', 'H2DS5', 'S62P', 'H1TO3', 'H1FS8', 'H1GH19', 'H2PF17', 'H2ED15', 'H1IR12', 'H1DS13', 'PA21', 'H1DS10', 'H2FS19', 'H2PF5', 'H2WP3', 'H1FS1', 'H1GH52', 'H1PF16', 'H2WP7', 'H2PF29', 'H1TO12', 'H2PR5', 'H1FS7', 'H2FS5', 'H2GH25', 'H1FS12', 'H2WP10', 'H2FS12', 'H2FV5', 'H1TS3', 'H2PF9', 'H2EE12', 'H2TO26', 'H1PF31', 'H1FS15', 'H2PF23', 'H2TO30', 'H1ED9', 'H2FV4', 'H2WP9', 'H1ED2'],87,26,50
5,0.7298578199052133,['H2FV3', 'H2DS13', 'H2FS8', 'H2PF14', 'H1PF14', 'H2TO1', 'H2ED16', 'H2PF1', 'H2DS6', 'H1RM14', 'H1DS5', 'H1FS11', 'H1WP10', 'H1ED19', 'H2PF21', 'H1WP5', 'H2FS2', 'PA56', 'H1PF14', 'H2WP5', 'H1ED24', 'H2DS1', 'H1FS16', 'H1ED15', 'H1PF24', 'H1DS11', 'H1PF1', 'H1WP7', 'H1FS3', 'H2ED12', 'H2PF16', 'H1TO9', 'S62M', 'H2TO11', 'H2WP14', 'H2DS5', 'S62P', 'H1TO3', 'H1FS8', 'H1GH19', 'H2PF17', 'H2ED15', 'H1IR12', 'H1DS13', 'PA21', 'H1DS10', 'H2FS19', 'H2PF5', 'H2WP3', 'H1FS1', 'H1GH52', 'H1PF16', 'H2WP7', 'H2PF29', 'H1TO12', 'H2PR5', 'H1FS7', 'H2FS5', 'H2GH25', 'H1FS12', 'H2WP10', 'H2FS12', 'H2FV5', 'H1TS3', 'H2PF9', 'H2EE12', 'H2TO26', 'H1PF31', 'H1FS15', 'H2PF23', 'H2TO30', 'H1ED9', 'H2FV4', 'H2WP9', 'H1ED2'],87,26,50
6,0.7298578199052133,['H2FV3', 'H2DS13', 'H2FS8', 'H2PF14', 'H1PF14', 'H2TO1', 'H2ED16', 'H2PF1', 'H2DS6', 'H1RM14', 'H1DS5', 'H1FS11', 'H1WP10', 'H1ED19', 'H2PF21', 'H1WP5', 'H2FS2', 'PA56', 'H1PF14', 'H2WP5', 'H1ED24', 'H2DS1', 'H1FS16', 'H1ED15', 'H1PF24', 'H1DS11', 'H1PF1', 'H1WP7', 'H1FS3', 'H2ED12', 'H2PF16', 'H1TO9', 'S62M', 'H2TO11', 'H2WP14', 'H2DS5', 'S62P', 'H1TO3', 'H1FS8', 'H1GH19', 'H2PF17', 'H2ED15', 'H1IR12', 'H1DS13', 'PA21', 'H1DS10', 'H2FS19', 'H2PF5', 'H2WP3', 'H1FS1', 'H1GH52', 'H1PF16', 'H2WP7', 'H2PF29', 'H1TO12', 'H2PR5', 'H1FS7', 'H2FS5', 'H2GH25', 'H1FS12', 'H2WP10', 'H2FS12', 'H2FV5', 'H1TS3', 'H2PF9', 'H2EE12', 'H2TO26', 'H1PF31', 'H1FS15', 'H2PF23', 'H2TO30', 'H1ED9', 'H2FV4', 'H2WP9', 'H1ED2'],87,26,50
7,0.7298578199052133,['H2FV3', 'H2DS13', 'H2FS8', 'H2PF14', 'H1PF14', 'H2TO1', 'H2ED16', 'H2PF1', 'H2DS6', 'H1RM14', 'H1DS5', 'H1FS11', 'H1WP10', 'H1ED19', 'H2PF21', 'H1WP5', 'H2FS2', 'PA56', 'H1PF14', 'H2WP5', 'H1ED24', 'H2DS1', 'H1FS16', 'H1ED15', 'H1PF24', 'H1DS11', 'H1PF1', 'H1WP7', 'H1FS3', 'H2ED12', 'H2PF16', 'H1TO9', 'S62M', 'H2TO11', 'H2WP14', 'H2DS5', 'S62P', 'H1TO3', 'H1FS8', 'H1GH19', 'H2PF17', 'H2ED15', 'H1IR12', 'H1DS13', 'PA21', 'H1DS10', 'H2FS19', 'H2PF5', 'H2WP3', 'H1FS1', 'H1GH52', 'H1PF16', 'H2WP7', 'H2PF29', 'H1TO12', 'H2PR5', 'H1FS7', 'H2FS5', 'H2GH25', 'H1FS12', 'H2WP10', 'H2FS12', 'H2FV5', 'H1TS3', 'H2PF9', 'H2EE12', 'H2TO26', 'H1PF31', 'H1FS15', 'H2PF23', 'H2TO30', 'H1ED9', 'H2FV4', 'H2WP9', 'H1ED2'],87,26,50
8,0.7298578199052133,['H2FV3', 'H2DS13', 'H2FS8', 'H2PF14', 'H1PF14', 'H2TO1', 'H2ED16', 'H2PF1', 'H2DS6', 'H1RM14', 'H1DS5', 'H1FS11', 'H1WP10', 'H1ED19', 'H2PF21', 'H1WP5', 'H2FS2', 'PA56', 'H1PF14', 'H2WP5', 'H1ED24', 'H2DS1', 'H1FS16', 'H1ED15', 'H1PF24', 'H1DS11', 'H1PF1', 'H1WP7', 'H1FS3', 'H2ED12', 'H2PF16', 'H1TO9', 'S62M', 'H2TO11', 'H2WP14', 'H2DS5', 'S62P', 'H1TO3', 'H1FS8', 'H1GH19', 'H2PF17', 'H2ED15', 'H1IR12', 'H1DS13', 'PA21', 'H1DS10', 'H2FS19', 'H2PF5', 'H2WP3', 'H1FS1', 'H1GH52', 'H1PF16', 'H2WP7', 'H2PF29', 'H1TO12', 'H2PR5', 'H1FS7', 'H2FS5', 'H2GH25', 'H1FS12', 'H2WP10', 'H2FS12', 'H2FV5', 'H1TS3', 'H2PF9', 'H2EE12', 'H2TO26', 'H1PF31', 'H1FS15', 'H2PF23', 'H2TO30', 'H1ED9', 'H2FV4', 'H2WP9', 'H1ED2'],87,26,50
9,0.7298578199052133,['H2FV3', 'H2DS13', 'H2FS8', 'H2PF14', 'H1PF14', 'H2TO1', 'H2ED16', 'H2PF1', 'H2DS6', 'H1RM14', 'H1DS5', 'H1FS11', 'H1WP10', 'H1ED19', 'H2PF21', 'H1WP5', 'H2FS2', 'PA56', 'H1PF14', 'H2WP5', 'H1ED24', 'H2DS1', 'H1FS16', 'H1ED15', 'H1PF24', 'H1DS11', 'H1PF1', 'H1WP7', 'H1FS3', 'H2ED12', 'H2PF16', 'H1TO9', 'S62M', 'H2TO11', 'H2WP14', 'H2DS5', 'S62P', 'H1TO3', 'H1FS8', 'H1GH19', 'H2PF17', 'H2ED15', 'H1IR12', 'H1DS13', 'PA21', 'H1DS10', 'H2FS19', 'H2PF5', 'H2WP3', 'H1FS1', 'H1GH52', 'H1PF16', 'H2WP7', 'H2PF29', 'H1TO12', 'H2PR5', 'H1FS7', 'H2FS5', 'H2GH25', 'H1FS12', 'H2WP10', 'H2FS12', 'H2FV5', 'H1TS3', 'H2PF9', 'H2EE12', 'H2TO26', 'H1PF31', 'H1FS15', 'H2PF23', 'H2TO30', 'H1ED9', 'H2FV4', 'H2WP9', 'H1ED2'],87,26,50
10,0.7298578199052133,['H2FV3', 'H2DS13', 'H2FS8', 'H2PF14', 'H1PF14', 'H2TO1', 'H2ED16', 'H2PF1', 'H2DS6', 'H1RM14', 'H1DS5', 'H1FS11', 'H1WP10', 'H1ED19', 'H2PF21', 'H1WP5', 'H2FS2', 'PA56', 'H1PF14', 'H2WP5', 'H1ED24', 'H2DS1', 'H1FS16', 'H1ED15', 'H1PF24', 'H1DS11', 'H1PF1', 'H1WP7', 'H1FS3', 'H2ED12', 'H2PF16', 'H1TO9', 'S62M', 'H2TO11', 'H2WP14', 'H2DS5', 'S62P', 'H1TO3', 'H1FS8', 'H1GH19', 'H2PF17', 'H2ED15', 'H1IR12', 'H1DS13', 'PA21', 'H1DS10', 'H2FS19', 'H2PF5', 'H2WP3', 'H1FS1', 'H1GH52', 'H1PF16', 'H2WP7', 'H2PF29', 'H1TO12', 'H2PR5', 'H1FS7', 'H2FS5', 'H2GH25', 'H1FS12', 'H2WP10', 'H2FS12', 'H2FV5', 'H1TS3', 'H2PF9', 'H2EE12', 'H2TO26', 'H1PF31', 'H1FS15', 'H2PF23', 'H2TO30', 'H1ED9', 'H2FV4', 'H2WP9', 'H1ED2'],87,26,50
