curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
0,0.7268957345971564,['H1PF35', 'H1DS10', 'H1RF14', 'H2GH45', 'H2DS14', 'H1ED16', 'H2PF1', 'H1GH18', 'H2PF10', 'S60M', 'H2FV3', 'H1PF26', 'H2PR3', 'H2FS8', 'H1FS7', 'H2TO1', 'H2GH30', 'S45A', 'H1PF34', 'H2ED13', 'H2FS1', 'S62M', 'H1EE7', 'H2PF15', 'H2PF14', 'H1WP1', 'H2GH24', 'H2FS12', 'H2FS14', 'H1FS6', 'H2PF12', 'H2ED11', 'H2FS4', 'S62H', 'H2FV6', 'H1FS19', 'H2WP9', 'H2PF5', 'H2GH27', 'H1FS15', 'PA21', 'H2TO15', 'H2DS12', 'H2TO25', 'H1WP14', 'H2DS8', 'H2ED16', 'H1FS12', 'S60O', 'H1ED9', 'H2DS2', 'H1WP2', 'H2FS16', 'H1PF15', 'H1ED2', 'H1PF5', 'H1PF10', 'H1TO12', 'H2DS3', 'H2PF33', 'H1PF7', 'H1FS4', 'H2PF28', 'H2PF31', 'H2DS7', 'H2PR5', 'H1DS13', 'H1DS14', 'H1WP7', 'H2EE14', 'H1PF32', 'H1RM14', 'H2FV1', 'H2GH22', 'H2FS19', 'H1ED24', 'H2ED17', 'H2SE4', 'H2PF8', 'S62R', 'H1WP6', 'H2PF29', 'H2PF27', 'H1TS3', 'H2FS18', 'H1PF2', 'H2WP13', 'H2FS13', 'H1DS12', 'H2GH23', 'S62E', 'H1TO3', 'H2PF16', 'H1FS10', 'H2FV5'],14,12,31
1,0.7268957345971564,['H1PF35', 'H1DS10', 'H1RF14', 'H2GH45', 'H2DS14', 'H1ED16', 'H2PF1', 'H1GH18', 'H2PF10', 'S60M', 'H2FV3', 'H1PF26', 'H2PR3', 'H2FS8', 'H1FS7', 'H2TO1', 'H2GH30', 'S45A', 'H1PF34', 'H2ED13', 'H2FS1', 'S62M', 'H1EE7', 'H2PF15', 'H2PF14', 'H1WP1', 'H2GH24', 'H2FS12', 'H2FS14', 'H1FS6', 'H2PF12', 'H2ED11', 'H2FS4', 'S62H', 'H2FV6', 'H1FS19', 'H2WP9', 'H2PF5', 'H2GH27', 'H1FS15', 'PA21', 'H2TO15', 'H2DS12', 'H2TO25', 'H1WP14', 'H2DS8', 'H2ED16', 'H1FS12', 'S60O', 'H1ED9', 'H2DS2', 'H1WP2', 'H2FS16', 'H1PF15', 'H1ED2', 'H1PF5', 'H1PF10', 'H1TO12', 'H2DS3', 'H2PF33', 'H1PF7', 'H1FS4', 'H2PF28', 'H2PF31', 'H2DS7', 'H2PR5', 'H1DS13', 'H1DS14', 'H1WP7', 'H2EE14', 'H1PF32', 'H1RM14', 'H2FV1', 'H2GH22', 'H2FS19', 'H1ED24', 'H2ED17', 'H2SE4', 'H2PF8', 'S62R', 'H1WP6', 'H2PF29', 'H2PF27', 'H1TS3', 'H2FS18', 'H1PF2', 'H2WP13', 'H2FS13', 'H1DS12', 'H2GH23', 'S62E', 'H1TO3', 'H2PF16', 'H1FS10', 'H2FV5'],14,12,31
2,0.7268957345971564,['H1PF35', 'H1DS10', 'H1RF14', 'H2GH45', 'H2DS14', 'H1ED16', 'H2PF1', 'H1GH18', 'H2PF10', 'S60M', 'H2FV3', 'H1PF26', 'H2PR3', 'H2FS8', 'H1FS7', 'H2TO1', 'H2GH30', 'S45A', 'H1PF34', 'H2ED13', 'H2FS1', 'S62M', 'H1EE7', 'H2PF15', 'H2PF14', 'H1WP1', 'H2GH24', 'H2FS12', 'H2FS14', 'H1FS6', 'H2PF12', 'H2ED11', 'H2FS4', 'S62H', 'H2FV6', 'H1FS19', 'H2WP9', 'H2PF5', 'H2GH27', 'H1FS15', 'PA21', 'H2TO15', 'H2DS12', 'H2TO25', 'H1WP14', 'H2DS8', 'H2ED16', 'H1FS12', 'S60O', 'H1ED9', 'H2DS2', 'H1WP2', 'H2FS16', 'H1PF15', 'H1ED2', 'H1PF5', 'H1PF10', 'H1TO12', 'H2DS3', 'H2PF33', 'H1PF7', 'H1FS4', 'H2PF28', 'H2PF31', 'H2DS7', 'H2PR5', 'H1DS13', 'H1DS14', 'H1WP7', 'H2EE14', 'H1PF32', 'H1RM14', 'H2FV1', 'H2GH22', 'H2FS19', 'H1ED24', 'H2ED17', 'H2SE4', 'H2PF8', 'S62R', 'H1WP6', 'H2PF29', 'H2PF27', 'H1TS3', 'H2FS18', 'H1PF2', 'H2WP13', 'H2FS13', 'H1DS12', 'H2GH23', 'S62E', 'H1TO3', 'H2PF16', 'H1FS10', 'H2FV5'],14,12,31
3,0.7274881516587678,['H2PF13', 'H2TO30', 'H2FS10', 'S62O', 'H2PF1', 'H1GH22', 'H2EE12', 'S62H', 'H1PF14', 'H1PF25', 'S60N', 'H2TO25', 'H2FS7', 'S60M', 'H2TO26', 'H1ED16', 'H2PF24', 'H1WP3', 'H1PF36', 'H2FV4', 'H1PF33', 'S60L', 'H2PF27', 'H1GH18', 'H1DA2', 'H2FV1', 'H1ED7', 'H1TO3', 'H1DS6', 'H1GH29', 'H2WP13', 'H1IR12', 'H1PF15', 'H2PF32', 'H1PF34', 'H2TO11', 'H2ED14', 'H2DS5', 'H1TO1', 'H2GH45', 'S62R', 'H1GH17', 'H2FV2', 'H2WP10', 'H2FS17', 'H2FS16', 'H2TO15', 'H1WP1', 'H1ED2', 'H1DS11', 'S60K', 'H1FS13', 'H2PF4', 'H1FS7', 'H2DS8', 'H1PF8', 'H1RM14', 'H1PF16', 'H2PF5', 'H1DS10', 'H1WP6', 'H1DS13', 'H2GH26', 'H2FS8', 'H1WP10', 'H2WP14', 'H1WP2', 'H1PF26', 'H2FV6', 'S45A', 'H2ED13', 'S62M', 'H2PF8', 'H1DS8', 'H1FS9', 'H2WP5', 'H2ED16', 'H1PF23', 'H1FS4', 'H2FS6', 'H2PF26', 'H1PF30', 'H1ED18', 'H1FS2', 'H1FS6', 'S62B', 'H2GH23', 'H1PF10', 'H2PF14', 'H2TO1', 'H2GH30', 'H2GH25', 'H1FS12', 'H1FS18', 'H2FS19'],11,93,32
4,0.7274881516587678,['H2PF13', 'H2TO30', 'H2FS10', 'S62O', 'H2PF1', 'H1GH22', 'H2EE12', 'S62H', 'H1PF14', 'H1PF25', 'S60N', 'H2TO25', 'H2FS7', 'S60M', 'H2TO26', 'H1ED16', 'H2PF24', 'H1WP3', 'H1PF36', 'H2FV4', 'H1PF33', 'S60L', 'H2PF27', 'H1GH18', 'H1DA2', 'H2FV1', 'H1ED7', 'H1TO3', 'H1DS6', 'H1GH29', 'H2WP13', 'H1IR12', 'H1PF15', 'H2PF32', 'H1PF34', 'H2TO11', 'H2ED14', 'H2DS5', 'H1TO1', 'H2GH45', 'S62R', 'H1GH17', 'H2FV2', 'H2WP10', 'H2FS17', 'H2FS16', 'H2TO15', 'H1WP1', 'H1ED2', 'H1DS11', 'S60K', 'H1FS13', 'H2PF4', 'H1FS7', 'H2DS8', 'H1PF8', 'H1RM14', 'H1PF16', 'H2PF5', 'H1DS10', 'H1WP6', 'H1DS13', 'H2GH26', 'H2FS8', 'H1WP10', 'H2WP14', 'H1WP2', 'H1PF26', 'H2FV6', 'S45A', 'H2ED13', 'S62M', 'H2PF8', 'H1DS8', 'H1FS9', 'H2WP5', 'H2ED16', 'H1PF23', 'H1FS4', 'H2FS6', 'H2PF26', 'H1PF30', 'H1ED18', 'H1FS2', 'H1FS6', 'S62B', 'H2GH23', 'H1PF10', 'H2PF14', 'H2TO1', 'H2GH30', 'H2GH25', 'H1FS12', 'H1FS18', 'H2FS19'],11,93,32
5,0.7274881516587678,['H2PF13', 'H2TO30', 'H2FS10', 'S62O', 'H2PF1', 'H1GH22', 'H2EE12', 'S62H', 'H1PF14', 'H1PF25', 'S60N', 'H2TO25', 'H2FS7', 'S60M', 'H2TO26', 'H1ED16', 'H2PF24', 'H1WP3', 'H1PF36', 'H2FV4', 'H1PF33', 'S60L', 'H2PF27', 'H1GH18', 'H1DA2', 'H2FV1', 'H1ED7', 'H1TO3', 'H1DS6', 'H1GH29', 'H2WP13', 'H1IR12', 'H1PF15', 'H2PF32', 'H1PF34', 'H2TO11', 'H2ED14', 'H2DS5', 'H1TO1', 'H2GH45', 'S62R', 'H1GH17', 'H2FV2', 'H2WP10', 'H2FS17', 'H2FS16', 'H2TO15', 'H1WP1', 'H1ED2', 'H1DS11', 'S60K', 'H1FS13', 'H2PF4', 'H1FS7', 'H2DS8', 'H1PF8', 'H1RM14', 'H1PF16', 'H2PF5', 'H1DS10', 'H1WP6', 'H1DS13', 'H2GH26', 'H2FS8', 'H1WP10', 'H2WP14', 'H1WP2', 'H1PF26', 'H2FV6', 'S45A', 'H2ED13', 'S62M', 'H2PF8', 'H1DS8', 'H1FS9', 'H2WP5', 'H2ED16', 'H1PF23', 'H1FS4', 'H2FS6', 'H2PF26', 'H1PF30', 'H1ED18', 'H1FS2', 'H1FS6', 'S62B', 'H2GH23', 'H1PF10', 'H2PF14', 'H2TO1', 'H2GH30', 'H2GH25', 'H1FS12', 'H1FS18', 'H2FS19'],11,93,32
6,0.7274881516587678,['H2PF13', 'H2TO30', 'H2FS10', 'S62O', 'H2PF1', 'H1GH22', 'H2EE12', 'S62H', 'H1PF14', 'H1PF25', 'S60N', 'H2TO25', 'H2FS7', 'S60M', 'H2TO26', 'H1ED16', 'H2PF24', 'H1WP3', 'H1PF36', 'H2FV4', 'H1PF33', 'S60L', 'H2PF27', 'H1GH18', 'H1DA2', 'H2FV1', 'H1ED7', 'H1TO3', 'H1DS6', 'H1GH29', 'H2WP13', 'H1IR12', 'H1PF15', 'H2PF32', 'H1PF34', 'H2TO11', 'H2ED14', 'H2DS5', 'H1TO1', 'H2GH45', 'S62R', 'H1GH17', 'H2FV2', 'H2WP10', 'H2FS17', 'H2FS16', 'H2TO15', 'H1WP1', 'H1ED2', 'H1DS11', 'S60K', 'H1FS13', 'H2PF4', 'H1FS7', 'H2DS8', 'H1PF8', 'H1RM14', 'H1PF16', 'H2PF5', 'H1DS10', 'H1WP6', 'H1DS13', 'H2GH26', 'H2FS8', 'H1WP10', 'H2WP14', 'H1WP2', 'H1PF26', 'H2FV6', 'S45A', 'H2ED13', 'S62M', 'H2PF8', 'H1DS8', 'H1FS9', 'H2WP5', 'H2ED16', 'H1PF23', 'H1FS4', 'H2FS6', 'H2PF26', 'H1PF30', 'H1ED18', 'H1FS2', 'H1FS6', 'S62B', 'H2GH23', 'H1PF10', 'H2PF14', 'H2TO1', 'H2GH30', 'H2GH25', 'H1FS12', 'H1FS18', 'H2FS19'],11,93,32
7,0.7274881516587678,['H2PF13', 'H2TO30', 'H2FS10', 'S62O', 'H2PF1', 'H1GH22', 'H2EE12', 'S62H', 'H1PF14', 'H1PF25', 'S60N', 'H2TO25', 'H2FS7', 'S60M', 'H2TO26', 'H1ED16', 'H2PF24', 'H1WP3', 'H1PF36', 'H2FV4', 'H1PF33', 'S60L', 'H2PF27', 'H1GH18', 'H1DA2', 'H2FV1', 'H1ED7', 'H1TO3', 'H1DS6', 'H1GH29', 'H2WP13', 'H1IR12', 'H1PF15', 'H2PF32', 'H1PF34', 'H2TO11', 'H2ED14', 'H2DS5', 'H1TO1', 'H2GH45', 'S62R', 'H1GH17', 'H2FV2', 'H2WP10', 'H2FS17', 'H2FS16', 'H2TO15', 'H1WP1', 'H1ED2', 'H1DS11', 'S60K', 'H1FS13', 'H2PF4', 'H1FS7', 'H2DS8', 'H1PF8', 'H1RM14', 'H1PF16', 'H2PF5', 'H1DS10', 'H1WP6', 'H1DS13', 'H2GH26', 'H2FS8', 'H1WP10', 'H2WP14', 'H1WP2', 'H1PF26', 'H2FV6', 'S45A', 'H2ED13', 'S62M', 'H2PF8', 'H1DS8', 'H1FS9', 'H2WP5', 'H2ED16', 'H1PF23', 'H1FS4', 'H2FS6', 'H2PF26', 'H1PF30', 'H1ED18', 'H1FS2', 'H1FS6', 'S62B', 'H2GH23', 'H1PF10', 'H2PF14', 'H2TO1', 'H2GH30', 'H2GH25', 'H1FS12', 'H1FS18', 'H2FS19'],11,93,32
8,0.7274881516587678,['H2PF13', 'H2TO30', 'H2FS10', 'S62O', 'H2PF1', 'H1GH22', 'H2EE12', 'S62H', 'H1PF14', 'H1PF25', 'S60N', 'H2TO25', 'H2FS7', 'S60M', 'H2TO26', 'H1ED16', 'H2PF24', 'H1WP3', 'H1PF36', 'H2FV4', 'H1PF33', 'S60L', 'H2PF27', 'H1GH18', 'H1DA2', 'H2FV1', 'H1ED7', 'H1TO3', 'H1DS6', 'H1GH29', 'H2WP13', 'H1IR12', 'H1PF15', 'H2PF32', 'H1PF34', 'H2TO11', 'H2ED14', 'H2DS5', 'H1TO1', 'H2GH45', 'S62R', 'H1GH17', 'H2FV2', 'H2WP10', 'H2FS17', 'H2FS16', 'H2TO15', 'H1WP1', 'H1ED2', 'H1DS11', 'S60K', 'H1FS13', 'H2PF4', 'H1FS7', 'H2DS8', 'H1PF8', 'H1RM14', 'H1PF16', 'H2PF5', 'H1DS10', 'H1WP6', 'H1DS13', 'H2GH26', 'H2FS8', 'H1WP10', 'H2WP14', 'H1WP2', 'H1PF26', 'H2FV6', 'S45A', 'H2ED13', 'S62M', 'H2PF8', 'H1DS8', 'H1FS9', 'H2WP5', 'H2ED16', 'H1PF23', 'H1FS4', 'H2FS6', 'H2PF26', 'H1PF30', 'H1ED18', 'H1FS2', 'H1FS6', 'S62B', 'H2GH23', 'H1PF10', 'H2PF14', 'H2TO1', 'H2GH30', 'H2GH25', 'H1FS12', 'H1FS18', 'H2FS19'],11,93,32
9,0.7274881516587678,['H2PF13', 'H2TO30', 'H2FS10', 'S62O', 'H2PF1', 'H1GH22', 'H2EE12', 'S62H', 'H1PF14', 'H1PF25', 'S60N', 'H2TO25', 'H2FS7', 'S60M', 'H2TO26', 'H1ED16', 'H2PF24', 'H1WP3', 'H1PF36', 'H2FV4', 'H1PF33', 'S60L', 'H2PF27', 'H1GH18', 'H1DA2', 'H2FV1', 'H1ED7', 'H1TO3', 'H1DS6', 'H1GH29', 'H2WP13', 'H1IR12', 'H1PF15', 'H2PF32', 'H1PF34', 'H2TO11', 'H2ED14', 'H2DS5', 'H1TO1', 'H2GH45', 'S62R', 'H1GH17', 'H2FV2', 'H2WP10', 'H2FS17', 'H2FS16', 'H2TO15', 'H1WP1', 'H1ED2', 'H1DS11', 'S60K', 'H1FS13', 'H2PF4', 'H1FS7', 'H2DS8', 'H1PF8', 'H1RM14', 'H1PF16', 'H2PF5', 'H1DS10', 'H1WP6', 'H1DS13', 'H2GH26', 'H2FS8', 'H1WP10', 'H2WP14', 'H1WP2', 'H1PF26', 'H2FV6', 'S45A', 'H2ED13', 'S62M', 'H2PF8', 'H1DS8', 'H1FS9', 'H2WP5', 'H2ED16', 'H1PF23', 'H1FS4', 'H2FS6', 'H2PF26', 'H1PF30', 'H1ED18', 'H1FS2', 'H1FS6', 'S62B', 'H2GH23', 'H1PF10', 'H2PF14', 'H2TO1', 'H2GH30', 'H2GH25', 'H1FS12', 'H1FS18', 'H2FS19'],11,93,32
10,0.7274881516587678,['H2PF13', 'H2TO30', 'H2FS10', 'S62O', 'H2PF1', 'H1GH22', 'H2EE12', 'S62H', 'H1PF14', 'H1PF25', 'S60N', 'H2TO25', 'H2FS7', 'S60M', 'H2TO26', 'H1ED16', 'H2PF24', 'H1WP3', 'H1PF36', 'H2FV4', 'H1PF33', 'S60L', 'H2PF27', 'H1GH18', 'H1DA2', 'H2FV1', 'H1ED7', 'H1TO3', 'H1DS6', 'H1GH29', 'H2WP13', 'H1IR12', 'H1PF15', 'H2PF32', 'H1PF34', 'H2TO11', 'H2ED14', 'H2DS5', 'H1TO1', 'H2GH45', 'S62R', 'H1GH17', 'H2FV2', 'H2WP10', 'H2FS17', 'H2FS16', 'H2TO15', 'H1WP1', 'H1ED2', 'H1DS11', 'S60K', 'H1FS13', 'H2PF4', 'H1FS7', 'H2DS8', 'H1PF8', 'H1RM14', 'H1PF16', 'H2PF5', 'H1DS10', 'H1WP6', 'H1DS13', 'H2GH26', 'H2FS8', 'H1WP10', 'H2WP14', 'H1WP2', 'H1PF26', 'H2FV6', 'S45A', 'H2ED13', 'S62M', 'H2PF8', 'H1DS8', 'H1FS9', 'H2WP5', 'H2ED16', 'H1PF23', 'H1FS4', 'H2FS6', 'H2PF26', 'H1PF30', 'H1ED18', 'H1FS2', 'H1FS6', 'S62B', 'H2GH23', 'H1PF10', 'H2PF14', 'H2TO1', 'H2GH30', 'H2GH25', 'H1FS12', 'H1FS18', 'H2FS19'],11,93,32
