curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
0,0.693127962085308,['H1GH20', 'H2WP5', 'H1DS9', 'H1PF16', 'H2ED5', 'H1PF16', 'S62R', 'H1PF2', 'H2PF5', 'H2DS1'],23,72,3
1,0.693127962085308,['H1GH20', 'H2WP5', 'H1DS9', 'H1PF16', 'H2ED5', 'H1PF16', 'S62R', 'H1PF2', 'H2PF5', 'H2DS1'],23,72,3
2,0.6937203791469194,['H1GH20', 'H2WP5', 'H1DS9', 'H1PF16', 'H2ED5', 'H1PF16', 'S62R', 'H1PF2', 'H1WP2', 'H2DS1'],23,73,2
3,0.6937203791469194,['H1GH20', 'H2WP5', 'H1DS9', 'H1PF16', 'H2ED5', 'H1PF16', 'S62R', 'H1PF2', 'H1WP2', 'H2DS1'],23,73,2
4,0.6937203791469194,['H1GH20', 'H2WP5', 'H1DS9', 'H1PF16', 'H2ED5', 'H1PF16', 'S62R', 'H1PF2', 'H1WP2', 'H2DS1'],23,73,2
5,0.6943127962085308,['H1GH20', 'H2WP5', 'H1DS9', 'H1PF16', 'H2ED5', 'H1PF16', 'S62R', 'H1DS6', 'H1WP2', 'H2DS1'],24,71,3
3,0.6954976303317536,['H2ED14', 'H1GH20', 'H2TO1', 'H1ED9', 'H1TS3', 'H2PF31', 'H2FS18', 'H1FS9', 'H2PF16', 'S62Q'],32,78,8
6,0.6943127962085308,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'H1DA6', 'H1PF10', 'H2SE4', 'H1PF23', 'H2PF10'],5,72,4
7,0.6954976303317536,['H1GH20', 'H2WP5', 'H1DS9', 'H1PF16', 'H2ED5', 'H1PF16', 'H2FS7', 'H1DS6', 'H1WP2', 'H2DS1'],22,72,2
8,0.6954976303317536,['H1GH20', 'H2WP5', 'H1DS9', 'H1PF16', 'H2ED5', 'H1PF16', 'H2FS7', 'H1DS6', 'H1WP2', 'H2DS1'],22,72,2
9,0.6954976303317536,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'PA21', 'H2WP1', 'H2SE4', 'H1PF23', 'H2PF10'],4,68,3
10,0.6954976303317536,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'PA21', 'H2WP1', 'H2SE4', 'H1PF23', 'H2PF10'],4,68,3
11,0.6960900473933649,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'PA21', 'H2WP1', 'H1WP1', 'H1PF23', 'H2PF10'],4,66,2
12,0.6960900473933649,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'PA21', 'H2WP1', 'H1WP1', 'H1PF23', 'H2PF10'],4,66,2
13,0.6960900473933649,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'PA21', 'H2WP1', 'H1WP1', 'H1PF23', 'H2PF10'],4,66,2
14,0.6960900473933649,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'PA21', 'H2WP1', 'H1WP1', 'H1PF23', 'H2PF10'],4,66,2
15,0.6960900473933649,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'PA21', 'H2WP1', 'H1WP1', 'H1PF23', 'H2PF10'],4,66,2
16,0.6966824644549763,['H1GH20', 'H2WP5', 'H1DS9', 'S62M', 'H2ED5', 'H1PF16', 'H2FS7', 'H1DS6', 'H1WP2', 'H2DS1'],22,70,2
17,0.6966824644549763,['H1GH20', 'H2WP5', 'H1DS9', 'S62M', 'H2ED5', 'H1PF16', 'H2FS7', 'H1DS6', 'H1WP2', 'H2DS1'],22,70,2
18,0.6966824644549763,['H1GH20', 'H2WP5', 'H1DS9', 'S62M', 'H2ED5', 'H1PF16', 'H2FS7', 'H1DS6', 'H1WP2', 'H2DS1'],22,70,2
19,0.6966824644549763,['H1GH20', 'H2WP5', 'H1DS9', 'S62M', 'H2ED5', 'H1PF16', 'H2FS7', 'H1DS6', 'H1WP2', 'H2DS1'],22,70,2
20,0.6966824644549763,['H1GH20', 'H2WP5', 'H1DS9', 'S62M', 'H2ED5', 'H1PF16', 'H2FS7', 'H1DS6', 'H1WP2', 'H2DS1'],22,70,2
21,0.6984597156398105,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'PA21', 'H2WP1', 'H1WP1', 'H1RF14', 'H2PF10'],3,65,2
22,0.6984597156398105,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'PA21', 'H2WP1', 'H1WP1', 'H1RF14', 'H2PF10'],3,65,2
23,0.6984597156398105,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'PA21', 'H2WP1', 'H1WP1', 'H1RF14', 'H2PF10'],3,65,2
24,0.6984597156398105,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'PA21', 'H2WP1', 'H1WP1', 'H1RF14', 'H2PF10'],3,65,2
25,0.6984597156398105,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'PA21', 'H2WP1', 'H1WP1', 'H1RF14', 'H2PF10'],3,65,2
26,0.6984597156398105,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'PA21', 'H2WP1', 'H1WP1', 'H1RF14', 'H2PF10'],3,65,2
27,0.6984597156398105,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'PA21', 'H2WP1', 'H1WP1', 'H1RF14', 'H2PF10'],3,65,2
28,0.6984597156398105,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'PA21', 'H2WP1', 'H1WP1', 'H1RF14', 'H2PF10'],3,65,2
29,0.6984597156398105,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'PA21', 'H2WP1', 'H1WP1', 'H1RF14', 'H2PF10'],3,65,2
30,0.6984597156398105,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'PA21', 'H2WP1', 'H1WP1', 'H1RF14', 'H2PF10'],3,65,2
31,0.6984597156398105,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'PA21', 'H2WP1', 'H1WP1', 'H1RF14', 'H2PF10'],3,65,2
32,0.6984597156398105,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'PA21', 'H2WP1', 'H1WP1', 'H1RF14', 'H2PF10'],3,65,2
33,0.6984597156398105,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'PA21', 'H2WP1', 'H1WP1', 'H1RF14', 'H2PF10'],3,65,2
34,0.6984597156398105,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'PA21', 'H2WP1', 'H1WP1', 'H1RF14', 'H2PF10'],3,65,2
35,0.6984597156398105,['H1TO9', 'H2PF25', 'H2DS10', 'H1FS7', 'H2TO1', 'PA21', 'H2WP1', 'H1WP1', 'H1RF14', 'H2PF10'],3,65,2
