curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
0,0.6901658767772512,['H2FV3', 'H2FS9', 'H2PF10', 'H2PF30', 'H2FS1', 'H2ED13', 'H1WP1', 'H2PF7', 'H1PF16', 'H2WP3', 'H2FS2', 'H2GH31', 'H1DS9', 'H1DS15', 'H2PF8'],45,49,6
1,0.6901658767772512,['H2FV3', 'H2FS9', 'H2PF10', 'H2PF30', 'H2FS1', 'H2ED13', 'H1WP1', 'H2PF7', 'H1PF16', 'H2WP3', 'H2FS2', 'H2GH31', 'H1DS9', 'H1DS15', 'H2PF8'],45,49,6
2,0.6943127962085308,['H1EE7', 'H2WP4', 'H1PF33', 'H1ED17', 'H1ED16', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'S60O', 'H2TO1', 'H2FS9', 'H2DS3'],67,12,2
3,0.6960900473933649,['H1EE7', 'S45A', 'H1PF33', 'H1ED17', 'H1ED16', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'S60O', 'H2TO1', 'H2FS9', 'H2DS3'],65,12,3
4,0.6960900473933649,['H1EE7', 'S45A', 'H1PF33', 'H1ED17', 'H1ED16', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'S60O', 'H2TO1', 'H2FS9', 'H2DS3'],65,12,3
5,0.6960900473933649,['H1EE7', 'S45A', 'H1PF33', 'H1ED17', 'H1ED16', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'S60O', 'H2TO1', 'H2FS9', 'H2DS3'],65,12,3
6,0.6960900473933649,['H1EE7', 'S45A', 'H1PF33', 'H1ED17', 'H1ED16', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'S60O', 'H2TO1', 'H2FS9', 'H2DS3'],65,12,3
7,0.6960900473933649,['H1EE7', 'S45A', 'H1PF33', 'H1ED17', 'H1ED16', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'S60O', 'H2TO1', 'H2FS9', 'H2DS3'],65,12,3
8,0.6960900473933649,['H1EE7', 'S45A', 'H1PF33', 'H1ED17', 'H1ED16', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'S60O', 'H2TO1', 'H2FS9', 'H2DS3'],65,12,3
9,0.6960900473933649,['H1EE7', 'S45A', 'H1PF33', 'H1ED17', 'H1ED16', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'S60O', 'H2TO1', 'H2FS9', 'H2DS3'],65,12,3
10,0.6960900473933649,['H1EE7', 'S45A', 'H1PF33', 'H1ED17', 'H1ED16', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'S60O', 'H2TO1', 'H2FS9', 'H2DS3'],65,12,3
11,0.6960900473933649,['H1EE7', 'S45A', 'H1PF33', 'H1ED17', 'H1ED16', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'S60O', 'H2TO1', 'H2FS9', 'H2DS3'],65,12,3
12,0.6960900473933649,['H1EE7', 'S45A', 'H1PF33', 'H1ED17', 'H1ED16', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'S60O', 'H2TO1', 'H2FS9', 'H2DS3'],65,12,3
13,0.6960900473933649,['H1EE7', 'S45A', 'H1PF33', 'H1ED17', 'H1ED16', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'S60O', 'H2TO1', 'H2FS9', 'H2DS3'],65,12,3
14,0.6960900473933649,['H1EE7', 'S45A', 'H1PF33', 'H1ED17', 'H1ED16', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'S60O', 'H2TO1', 'H2FS9', 'H2DS3'],65,12,3
15,0.6960900473933649,['H1EE7', 'S45A', 'H1PF33', 'H1ED17', 'H1ED16', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'S60O', 'H2TO1', 'H2FS9', 'H2DS3'],65,12,3
16,0.6960900473933649,['H1EE7', 'S45A', 'H1PF33', 'H1ED17', 'H1ED16', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'S60O', 'H2TO1', 'H2FS9', 'H2DS3'],65,12,3
17,0.6960900473933649,['H1EE7', 'S45A', 'H1PF33', 'H1ED17', 'H1ED16', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'S60O', 'H2TO1', 'H2FS9', 'H2DS3'],65,12,3
