curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
0,0.6972748815165877,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1RM14', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H1PF10', 'S62P', 'H2GH30', 'H1DS6', 'H1TO12', 'H1DS10', 'H1PF33', 'H2DS10', 'H2GH25'],7,99,5
1,0.6972748815165877,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1RM14', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H1PF10', 'S62P', 'H2GH30', 'H1DS6', 'H1TO12', 'H1DS10', 'H1PF33', 'H2DS10', 'H2GH25'],7,99,5
2,0.6984597156398105,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1RM14', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H1PF10', 'S62P', 'H2GH30', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],6,98,5
3,0.6984597156398105,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1RM14', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H1PF10', 'S62P', 'H2GH30', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],6,98,5
4,0.6984597156398105,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1RM14', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H1PF10', 'S62P', 'H2GH30', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],6,98,5
5,0.6984597156398105,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1RM14', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H1PF10', 'S62P', 'H2GH30', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],6,98,5
6,0.6990521327014217,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1RM14', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2GH30', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],6,98,5
7,0.6990521327014217,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1RM14', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2GH30', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],6,98,5
8,0.6990521327014217,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1RM14', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2GH30', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],6,98,5
9,0.6990521327014217,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1RM14', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2GH30', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],6,98,5
10,0.6990521327014217,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1RM14', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2GH30', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],6,98,5
11,0.6990521327014217,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1RM14', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2GH30', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],6,98,5
12,0.6990521327014217,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1RM14', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2GH30', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],6,98,5
13,0.6990521327014217,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1RM14', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2GH30', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],6,98,5
14,0.6990521327014217,['H2TO1', 'H1FS3', 'H1FS7', 'H2DS9', 'H2PF32', 'H1RM14', 'H1DS14', 'H1PF5', 'H1DS15', 'H1GH52', 'H2FV1', 'H2PF17', 'S62P', 'H2GH30', 'H1DS6', 'H1TO12', 'H1WP1', 'H1PF33', 'H2DS10', 'H2GH25'],6,98,5
