curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
0,0.6901658767772512,['H1EE7', 'H2WP4', 'H1PF33', 'H1ED17', 'H2GH27', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FV5', 'H1PF32', 'H2EE12', 'H1ED2', 'S60M', 'H2FS4', 'H2PF15', 'H1FS15', 'H1DS10', 'H2GH26'],68,11,5
1,0.6919431279620853,['H1EE7', 'S62R', 'S60K', 'H2PF14', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H1FS12', 'H1FS6', 'H2PF31', 'H2FV2', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],23,4,11
2,0.6919431279620853,['H1EE7', 'S62R', 'S60K', 'H2PF14', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H1FS12', 'H1FS6', 'H2PF31', 'H2FV2', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],23,4,11
3,0.6919431279620853,['H1EE7', 'S62R', 'S60K', 'H2PF14', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H1FS12', 'H1FS6', 'H2PF31', 'H2FV2', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],23,4,11
4,0.6919431279620853,['H1EE7', 'S62R', 'S60K', 'H2PF14', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H1FS12', 'H1FS6', 'H2PF31', 'H2FV2', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],23,4,11
5,0.6919431279620853,['H1EE7', 'S62R', 'S60K', 'H2PF14', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H1FS12', 'H1FS6', 'H2PF31', 'H2FV2', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],23,4,11
6,0.6919431279620853,['H1EE7', 'S62R', 'S60K', 'H2PF14', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H1FS12', 'H1FS6', 'H2PF31', 'H2FV2', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],23,4,11
7,0.6919431279620853,['H1EE7', 'S62R', 'S60K', 'H2PF14', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H1FS12', 'H1FS6', 'H2PF31', 'H2FV2', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11'],23,4,11
8,0.6972748815165877,['H1TO9', 'H2PF9', 'H2DS10', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2SE4', 'H1DS5', 'H1FS4', 'H2PF26', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H1PF15'],3,72,4
9,0.6972748815165877,['H1TO9', 'H2PF9', 'H2DS10', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2SE4', 'H1DS5', 'H1FS4', 'H2PF26', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H1PF15'],3,72,4
10,0.6990521327014217,['H1TO9', 'H2PF9', 'H2WP13', 'H1FS7', 'H2TO1', 'H2FV3', 'H1PF10', 'H2SE4', 'H1DS5', 'H1FS4', 'H2PF26', 'H2FS8', 'H1WP4', 'H1ED2', 'H1PF14', 'H2PF10', 'H1PF30', 'H1DA6', 'H2WP7', 'H1DS9', 'H2GH25', 'H2DS1', 'H1WP10', 'H1DS11', 'H1PF15'],2,73,4
