curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
0,0.6907582938388626,['H1EE7', 'S62R', 'S60K', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H1FS12', 'H1FS6', 'H2PF31', 'H2FV2', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11', 'H1FS2', 'H2WP4', 'H2FS14', 'H2DS8', 'H2ED5'],23,5,10
1,0.6919431279620853,['H1EE7', 'S62R', 'S60K', 'H2PF24', 'H2DS11', 'H1GH22', 'H2DS14', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'PA56', 'H1FS12', 'H1FS6', 'H2PF31', 'H2FV2', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11', 'H1FS2', 'H2WP4', 'H2FS14', 'H2DS8', 'H2ED5'],22,3,10
2,0.693127962085308,['H1GH20', 'H2WP5', 'H1DS9', 'H1PF16', 'H2ED5', 'H1PF16', 'S62R', 'H1PF2', 'H2PF5', 'H2DS1', 'H2ED17', 'H2PF10', 'H1WP10', 'S62E', 'H1PF34', 'H2FS15', 'H1PF26', 'H1FS16', 'H1SE4', 'H2PF9', 'H2PR3', 'H1DA2', 'H2DS13', 'H2GH23', 'H1FS3', 'H2WP6', 'H2PF27', 'H1FS4', 'H1GH18', 'H1DS6'],23,70,3
3,0.693127962085308,['H1GH20', 'H2WP5', 'H1DS9', 'H1PF16', 'H2ED5', 'H1PF16', 'S62R', 'H1PF2', 'H2PF5', 'H2DS1', 'H2ED17', 'H2PF10', 'H1WP10', 'S62E', 'H1PF34', 'H2FS15', 'H1PF26', 'H1FS16', 'H1SE4', 'H2PF9', 'H2PR3', 'H1DA2', 'H2DS13', 'H2GH23', 'H1FS3', 'H2WP6', 'H2PF27', 'H1FS4', 'H1GH18', 'H1DS6'],23,70,3
4,0.6954976303317536,['H1EE7', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FV5', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'H1ED16', 'H2PF15', 'H1FS15', 'H1DS10', 'H2GH26', 'H1FS10', 'H1PF26', 'H1FS5', 'H2TO27', 'H1PF23'],68,14,2
5,0.6984597156398105,['H1EE7', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FV5', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'H1ED16', 'H2PF15', 'H1FS15', 'H1DS10', 'H2GH26', 'H1FS10', 'H1PF26', 'H1FS5', 'H1EE5', 'H1PF23'],69,15,2
6,0.6984597156398105,['H1EE7', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FV5', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'H1ED16', 'H2PF15', 'H1FS15', 'H1DS10', 'H2GH26', 'H1FS10', 'H1PF26', 'H1FS5', 'H1EE5', 'H1PF23'],69,15,2
7,0.6984597156398105,['H1EE7', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FV5', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'H1ED16', 'H2PF15', 'H1FS15', 'H1DS10', 'H2GH26', 'H1FS10', 'H1PF26', 'H1FS5', 'H1EE5', 'H1PF23'],69,15,2
8,0.6984597156398105,['H1EE7', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FV5', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'H1ED16', 'H2PF15', 'H1FS15', 'H1DS10', 'H2GH26', 'H1FS10', 'H1PF26', 'H1FS5', 'H1EE5', 'H1PF23'],69,15,2
9,0.6984597156398105,['H1EE7', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FV5', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'H1ED16', 'H2PF15', 'H1FS15', 'H1DS10', 'H2GH26', 'H1FS10', 'H1PF26', 'H1FS5', 'H1EE5', 'H1PF23'],69,15,2
10,0.6984597156398105,['H1EE7', 'H1DS10', 'H1PF33', 'H1ED17', 'H2PR4', 'H2ED14', 'H2WP3', 'S62E', 'H1RM14', 'H2DS9', 'H2PF21', 'H1DA6', 'H2TO1', 'H2FS9', 'H2DS3', 'H2FV5', 'H1DS6', 'H2EE12', 'H1ED2', 'S60M', 'H1ED16', 'H2PF15', 'H1FS15', 'H1DS10', 'H2GH26', 'H1FS10', 'H1PF26', 'H1FS5', 'H1EE5', 'H1PF23'],69,15,2
