curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
0,0.6966824644549763,['H2WP13', 'H2FS2', 'H1WP6', 'H2FV5', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1DS12', 'H1TO1', 'H1FS10', 'H2DS11', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H2PF35', 'S45A', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H2WP1', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],31,68,11
1,0.6966824644549763,['H2WP13', 'H2FS2', 'H1WP6', 'H2FV5', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1DS12', 'H1TO1', 'H1FS10', 'H2DS11', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H2PF35', 'S45A', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H2WP1', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],31,68,11
2,0.7008293838862559,['H2WP13', 'H2FS2', 'H2GH25', 'H2FV5', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1DS12', 'H1TO1', 'H1FS10', 'H2DS11', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H2PF35', 'S45A', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H2WP1', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],31,68,11
3,0.7008293838862559,['H2WP13', 'H2FS2', 'H2GH25', 'H2FV5', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1DS12', 'H1TO1', 'H1FS10', 'H2DS11', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H2PF35', 'S45A', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H2WP1', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],31,68,11
4,0.7008293838862559,['H2WP13', 'H2FS2', 'H2GH25', 'H2FV5', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1DS12', 'H1TO1', 'H1FS10', 'H2DS11', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H2PF35', 'S45A', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H2WP1', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],31,68,11
5,0.7008293838862559,['H2WP13', 'H2FS2', 'H2GH25', 'H2FV5', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1DS12', 'H1TO1', 'H1FS10', 'H2DS11', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H2PF35', 'S45A', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H2WP1', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],31,68,11
6,0.7008293838862559,['H2WP13', 'H2FS2', 'H2GH25', 'H2FV5', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1DS12', 'H1TO1', 'H1FS10', 'H2DS11', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H2PF35', 'S45A', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H2WP1', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],31,68,11
7,0.7008293838862559,['H2WP13', 'H2FS2', 'H2GH25', 'H2FV5', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1DS12', 'H1TO1', 'H1FS10', 'H2DS11', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H2PF35', 'S45A', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H2WP1', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],31,68,11
8,0.7008293838862559,['H2WP13', 'H2FS2', 'H2GH25', 'H2FV5', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1DS12', 'H1TO1', 'H1FS10', 'H2DS11', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H2PF35', 'S45A', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H2WP1', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],31,68,11
9,0.7008293838862559,['H2WP13', 'H2FS2', 'H2GH25', 'H2FV5', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1DS12', 'H1TO1', 'H1FS10', 'H2DS11', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H2PF35', 'S45A', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H2WP1', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],31,68,11
10,0.7008293838862559,['H2WP13', 'H2FS2', 'H2GH25', 'H2FV5', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1DS12', 'H1TO1', 'H1FS10', 'H2DS11', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H2PF35', 'S45A', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H2WP1', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],31,68,11
11,0.7008293838862559,['H2WP13', 'H2FS2', 'H2GH25', 'H2FV5', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1DS12', 'H1TO1', 'H1FS10', 'H2DS11', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H2PF35', 'S45A', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H2WP1', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],31,68,11
12,0.7008293838862559,['H2WP13', 'H2FS2', 'H2GH25', 'H2FV5', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1DS12', 'H1TO1', 'H1FS10', 'H2DS11', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H2PF35', 'S45A', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H2WP1', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],31,68,11
13,0.7008293838862559,['H2WP13', 'H2FS2', 'H2GH25', 'H2FV5', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1DS12', 'H1TO1', 'H1FS10', 'H2DS11', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H2PF35', 'S45A', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H2WP1', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],31,68,11
14,0.7008293838862559,['H2WP13', 'H2FS2', 'H2GH25', 'H2FV5', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1DS12', 'H1TO1', 'H1FS10', 'H2DS11', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H2PF35', 'S45A', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H2WP1', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],31,68,11
15,0.7008293838862559,['H2WP13', 'H2FS2', 'H2GH25', 'H2FV5', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1DS12', 'H1TO1', 'H1FS10', 'H2DS11', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H2PF35', 'S45A', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H2WP1', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],31,68,11
16,0.7008293838862559,['H2WP13', 'H2FS2', 'H2GH25', 'H2FV5', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1DS12', 'H1TO1', 'H1FS10', 'H2DS11', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H2PF35', 'S45A', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H2WP1', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],31,68,11
17,0.7014218009478673,['H2WP13', 'H2FS2', 'H2GH25', 'H2FV5', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1DS12', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H2PF35', 'S45A', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H2WP1', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],29,69,10
18,0.7037914691943128,['H2WP13', 'H2FS2', 'H2GH25', 'H2FV5', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H2PF35', 'S45A', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H2WP1', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],27,70,9
19,0.7043838862559242,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H2PF35', 'S45A', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H2WP1', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],27,70,8
20,0.7043838862559242,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H2PF35', 'S45A', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H2WP1', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],27,70,8
21,0.7043838862559242,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H2PF35', 'S45A', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H2WP1', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],27,70,8
22,0.7043838862559242,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H2PF35', 'S45A', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H2WP1', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],27,70,8
23,0.7043838862559242,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H2PF35', 'S45A', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H2WP1', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],27,70,8
24,0.7043838862559242,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H2PF35', 'S45A', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H2WP1', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],27,70,8
25,0.7043838862559242,['H2WP13', 'H2FS2', 'H2GH25', 'H1SE4', 'H2GH27', 'H1TO9', 'H2GH26', 'PC40', 'H2FV3', 'H1PF31', 'H1PF15', 'H1TO1', 'H1FS10', 'H2EE12', 'H2GH24', 'H1FS12', 'H2ED14', 'H2PF10', 'H2PR3', 'H2PF35', 'S45A', 'H1IR3', 'H2FV4', 'H1PF30', 'S60M', 'H2WP1', 'H1FS7', 'H1ED18', 'H1WP7', 'S60K', 'H1DS6', 'H1PF16', 'H2FV7', 'H2FS12', 'H2FS13'],27,70,8
