curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
0,0.6949052132701422,['H2PF7', 'H1FS10', 'H2PF13', 'H2FS12', 'H1DS12', 'H1ED24', 'PC40', 'H2WP13', 'H2DS13', 'H2FV4', 'H2GH31', 'H1FS7', 'H2PF33', 'H2GH23', 'H1WP7', 'H2ED5', 'H2ED14', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'S60K', 'H1TO9', 'H2DS2', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14'],31,68,37
1,0.6978672985781991,['H1ED18', 'H1FS10', 'H2PF13', 'H2FS12', 'H1DS12', 'H1ED24', 'PC40', 'H2WP13', 'H2DS13', 'H2FV4', 'H2GH31', 'H1FS7', 'H2PF33', 'H2GH23', 'H1WP7', 'H2ED5', 'H2ED14', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'S60K', 'H1TO9', 'H2DS2', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14'],29,68,35
2,0.6978672985781991,['H1ED18', 'H1FS10', 'H2PF13', 'H2FS12', 'H1DS12', 'H1ED24', 'PC40', 'H2WP13', 'H2DS13', 'H2FV4', 'H2GH31', 'H1FS7', 'H2PF33', 'H2GH23', 'H1WP7', 'H2ED5', 'H2ED14', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'S60K', 'H1TO9', 'H2DS2', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14'],29,68,35
3,0.6978672985781991,['H1ED18', 'H1FS10', 'H2PF13', 'H2FS12', 'H1DS12', 'H1ED24', 'PC40', 'H2WP13', 'H2DS13', 'H2FV4', 'H2GH31', 'H1FS7', 'H2PF33', 'H2GH23', 'H1WP7', 'H2ED5', 'H2ED14', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'S60K', 'H1TO9', 'H2DS2', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14'],29,68,35
4,0.6978672985781991,['H1ED18', 'H1FS10', 'H2PF13', 'H2FS12', 'H1DS12', 'H1ED24', 'PC40', 'H2WP13', 'H2DS13', 'H2FV4', 'H2GH31', 'H1FS7', 'H2PF33', 'H2GH23', 'H1WP7', 'H2ED5', 'H2ED14', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'S60K', 'H1TO9', 'H2DS2', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14'],29,68,35
5,0.6978672985781991,['H1ED18', 'H1FS10', 'H2PF13', 'H2FS12', 'H1DS12', 'H1ED24', 'PC40', 'H2WP13', 'H2DS13', 'H2FV4', 'H2GH31', 'H1FS7', 'H2PF33', 'H2GH23', 'H1WP7', 'H2ED5', 'H2ED14', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'S60K', 'H1TO9', 'H2DS2', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14'],29,68,35
6,0.6978672985781991,['H1ED18', 'H1FS10', 'H2PF13', 'H2FS12', 'H1DS12', 'H1ED24', 'PC40', 'H2WP13', 'H2DS13', 'H2FV4', 'H2GH31', 'H1FS7', 'H2PF33', 'H2GH23', 'H1WP7', 'H2ED5', 'H2ED14', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'S60K', 'H1TO9', 'H2DS2', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14'],29,68,35
7,0.6978672985781991,['H1ED18', 'H1FS10', 'H2PF13', 'H2FS12', 'H1DS12', 'H1ED24', 'PC40', 'H2WP13', 'H2DS13', 'H2FV4', 'H2GH31', 'H1FS7', 'H2PF33', 'H2GH23', 'H1WP7', 'H2ED5', 'H2ED14', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'S60K', 'H1TO9', 'H2DS2', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14'],29,68,35
8,0.6978672985781991,['H1ED18', 'H1FS10', 'H2PF13', 'H2FS12', 'H1DS12', 'H1ED24', 'PC40', 'H2WP13', 'H2DS13', 'H2FV4', 'H2GH31', 'H1FS7', 'H2PF33', 'H2GH23', 'H1WP7', 'H2ED5', 'H2ED14', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'S60K', 'H1TO9', 'H2DS2', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14'],29,68,35
9,0.6978672985781991,['H1ED18', 'H1FS10', 'H2PF13', 'H2FS12', 'H1DS12', 'H1ED24', 'PC40', 'H2WP13', 'H2DS13', 'H2FV4', 'H2GH31', 'H1FS7', 'H2PF33', 'H2GH23', 'H1WP7', 'H2ED5', 'H2ED14', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'S60K', 'H1TO9', 'H2DS2', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14'],29,68,35
10,0.6978672985781991,['H1ED18', 'H1FS10', 'H2PF13', 'H2FS12', 'H1DS12', 'H1ED24', 'PC40', 'H2WP13', 'H2DS13', 'H2FV4', 'H2GH31', 'H1FS7', 'H2PF33', 'H2GH23', 'H1WP7', 'H2ED5', 'H2ED14', 'S45A', 'H1IR3', 'H2FV5', 'H1RF14', 'S60M', 'H1GH52', 'H2GH24', 'H1WP5', 'H2FV6', 'S60K', 'H1TO9', 'H2DS2', 'H2FV1', 'H1FS4', 'H2DS14', 'H1WP6', 'H1DS6', 'H2TO15', 'H2PF25', 'H2DS12', 'H1DS9', 'H1GH22', 'H2PF14'],29,68,35
