curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
0,0.6954976303317536,['H1GH52', 'H2ED11', 'H2DS6', 'H1PF25', 'H2DS14', 'H1PF35', 'H2FS3', 'H2ED16', 'H1DS9', 'H2FS14', 'H1FS6', 'S60K', 'H2WP1', 'H2PF34', 'H2WP9', 'H2WP4', 'H1TO9', 'H1FS16', 'H2PF27', 'H2PF25', 'H1ED19', 'H2ED12', 'H2DS12', 'H1WP5', 'H1WP10', 'H2PF23', 'H2ED13', 'H2PF26', 'H1TO50', 'H2TO26', 'PC40', 'H2FS12', 'H1PF36', 'H1PF16', 'H2GH25', 'H2DS2', 'H1FS11', 'H1DA2', 'H1TO12', 'H2PF22', 'H1EE5', 'H2FS17', 'H1ED20', 'H2FS10', 'H2PF21', 'H2PF16', 'S45A', 'PA21', 'H1GH28', 'H1PF16', 'H2PR5', 'H2WP5', 'H2WP10', 'H2PF14', 'H2PF35', 'H2FV2', 'H2TO11', 'H2FS19', 'H1PF24', 'H1FS19', 'H2PF28', 'H1FS1', 'H1FS13', 'H1WP7', 'H1ED15', 'H2PF10', 'H1WP6', 'S62R', 'H1RM14', 'H2FS4'],30,67,15
1,0.6954976303317536,['H1GH52', 'H2ED11', 'H2DS6', 'H1PF25', 'H2DS14', 'H1PF35', 'H2FS3', 'H2ED16', 'H1DS9', 'H2FS14', 'H1FS6', 'S60K', 'H2WP1', 'H2PF34', 'H2WP9', 'H2WP4', 'H1TO9', 'H1FS16', 'H2PF27', 'H2PF25', 'H1ED19', 'H2ED12', 'H2DS12', 'H1WP5', 'H1WP10', 'H2PF23', 'H2ED13', 'H2PF26', 'H1TO50', 'H2TO26', 'PC40', 'H2FS12', 'H1PF36', 'H1PF16', 'H2GH25', 'H2DS2', 'H1FS11', 'H1DA2', 'H1TO12', 'H2PF22', 'H1EE5', 'H2FS17', 'H1ED20', 'H2FS10', 'H2PF21', 'H2PF16', 'S45A', 'PA21', 'H1GH28', 'H1PF16', 'H2PR5', 'H2WP5', 'H2WP10', 'H2PF14', 'H2PF35', 'H2FV2', 'H2TO11', 'H2FS19', 'H1PF24', 'H1FS19', 'H2PF28', 'H1FS1', 'H1FS13', 'H1WP7', 'H1ED15', 'H2PF10', 'H1WP6', 'S62R', 'H1RM14', 'H2FS4'],30,67,15
2,0.6954976303317536,['H1GH52', 'H2ED11', 'H2DS6', 'H1PF25', 'H2DS14', 'H1PF35', 'H2FS3', 'H2ED16', 'H1DS9', 'H2FS14', 'H1FS6', 'S60K', 'H2WP1', 'H2PF34', 'H2WP9', 'H2WP4', 'H1TO9', 'H1FS16', 'H2PF27', 'H2PF25', 'H1ED19', 'H2ED12', 'H2DS12', 'H1WP5', 'H1WP10', 'H2PF23', 'H2ED13', 'H2PF26', 'H1TO50', 'H2TO26', 'PC40', 'H2FS12', 'H1PF36', 'H1PF16', 'H2GH25', 'H2DS2', 'H1FS11', 'H1DA2', 'H1TO12', 'H2PF22', 'H1EE5', 'H2FS17', 'H1ED20', 'H2FS10', 'H2PF21', 'H2PF16', 'S45A', 'PA21', 'H1GH28', 'H1PF16', 'H2PR5', 'H2WP5', 'H2WP10', 'H2PF14', 'H2PF35', 'H2FV2', 'H2TO11', 'H2FS19', 'H1PF24', 'H1FS19', 'H2PF28', 'H1FS1', 'H1FS13', 'H1WP7', 'H1ED15', 'H2PF10', 'H1WP6', 'S62R', 'H1RM14', 'H2FS4'],30,67,15
3,0.6954976303317536,['H1GH52', 'H2ED11', 'H2DS6', 'H1PF25', 'H2DS14', 'H1PF35', 'H2FS3', 'H2ED16', 'H1DS9', 'H2FS14', 'H1FS6', 'S60K', 'H2WP1', 'H2PF34', 'H2WP9', 'H2WP4', 'H1TO9', 'H1FS16', 'H2PF27', 'H2PF25', 'H1ED19', 'H2ED12', 'H2DS12', 'H1WP5', 'H1WP10', 'H2PF23', 'H2ED13', 'H2PF26', 'H1TO50', 'H2TO26', 'PC40', 'H2FS12', 'H1PF36', 'H1PF16', 'H2GH25', 'H2DS2', 'H1FS11', 'H1DA2', 'H1TO12', 'H2PF22', 'H1EE5', 'H2FS17', 'H1ED20', 'H2FS10', 'H2PF21', 'H2PF16', 'S45A', 'PA21', 'H1GH28', 'H1PF16', 'H2PR5', 'H2WP5', 'H2WP10', 'H2PF14', 'H2PF35', 'H2FV2', 'H2TO11', 'H2FS19', 'H1PF24', 'H1FS19', 'H2PF28', 'H1FS1', 'H1FS13', 'H1WP7', 'H1ED15', 'H2PF10', 'H1WP6', 'S62R', 'H1RM14', 'H2FS4'],30,67,15
4,0.6954976303317536,['H1GH52', 'H2ED11', 'H2DS6', 'H1PF25', 'H2DS14', 'H1PF35', 'H2FS3', 'H2ED16', 'H1DS9', 'H2FS14', 'H1FS6', 'S60K', 'H2WP1', 'H2PF34', 'H2WP9', 'H2WP4', 'H1TO9', 'H1FS16', 'H2PF27', 'H2PF25', 'H1ED19', 'H2ED12', 'H2DS12', 'H1WP5', 'H1WP10', 'H2PF23', 'H2ED13', 'H2PF26', 'H1TO50', 'H2TO26', 'PC40', 'H2FS12', 'H1PF36', 'H1PF16', 'H2GH25', 'H2DS2', 'H1FS11', 'H1DA2', 'H1TO12', 'H2PF22', 'H1EE5', 'H2FS17', 'H1ED20', 'H2FS10', 'H2PF21', 'H2PF16', 'S45A', 'PA21', 'H1GH28', 'H1PF16', 'H2PR5', 'H2WP5', 'H2WP10', 'H2PF14', 'H2PF35', 'H2FV2', 'H2TO11', 'H2FS19', 'H1PF24', 'H1FS19', 'H2PF28', 'H1FS1', 'H1FS13', 'H1WP7', 'H1ED15', 'H2PF10', 'H1WP6', 'S62R', 'H1RM14', 'H2FS4'],30,67,15
5,0.6954976303317536,['H1GH52', 'H2ED11', 'H2DS6', 'H1PF25', 'H2DS14', 'H1PF35', 'H2FS3', 'H2ED16', 'H1DS9', 'H2FS14', 'H1FS6', 'S60K', 'H2WP1', 'H2PF34', 'H2WP9', 'H2WP4', 'H1TO9', 'H1FS16', 'H2PF27', 'H2PF25', 'H1ED19', 'H2ED12', 'H2DS12', 'H1WP5', 'H1WP10', 'H2PF23', 'H2ED13', 'H2PF26', 'H1TO50', 'H2TO26', 'PC40', 'H2FS12', 'H1PF36', 'H1PF16', 'H2GH25', 'H2DS2', 'H1FS11', 'H1DA2', 'H1TO12', 'H2PF22', 'H1EE5', 'H2FS17', 'H1ED20', 'H2FS10', 'H2PF21', 'H2PF16', 'S45A', 'PA21', 'H1GH28', 'H1PF16', 'H2PR5', 'H2WP5', 'H2WP10', 'H2PF14', 'H2PF35', 'H2FV2', 'H2TO11', 'H2FS19', 'H1PF24', 'H1FS19', 'H2PF28', 'H1FS1', 'H1FS13', 'H1WP7', 'H1ED15', 'H2PF10', 'H1WP6', 'S62R', 'H1RM14', 'H2FS4'],30,67,15
6,0.6954976303317536,['H1GH52', 'H2ED11', 'H2DS6', 'H1PF25', 'H2DS14', 'H1PF35', 'H2FS3', 'H2ED16', 'H1DS9', 'H2FS14', 'H1FS6', 'S60K', 'H2WP1', 'H2PF34', 'H2WP9', 'H2WP4', 'H1TO9', 'H1FS16', 'H2PF27', 'H2PF25', 'H1ED19', 'H2ED12', 'H2DS12', 'H1WP5', 'H1WP10', 'H2PF23', 'H2ED13', 'H2PF26', 'H1TO50', 'H2TO26', 'PC40', 'H2FS12', 'H1PF36', 'H1PF16', 'H2GH25', 'H2DS2', 'H1FS11', 'H1DA2', 'H1TO12', 'H2PF22', 'H1EE5', 'H2FS17', 'H1ED20', 'H2FS10', 'H2PF21', 'H2PF16', 'S45A', 'PA21', 'H1GH28', 'H1PF16', 'H2PR5', 'H2WP5', 'H2WP10', 'H2PF14', 'H2PF35', 'H2FV2', 'H2TO11', 'H2FS19', 'H1PF24', 'H1FS19', 'H2PF28', 'H1FS1', 'H1FS13', 'H1WP7', 'H1ED15', 'H2PF10', 'H1WP6', 'S62R', 'H1RM14', 'H2FS4'],30,67,15
7,0.6978672985781991,['H2FV4', 'H2FS10', 'H2PF12', 'H2PF31', 'H2FS1', 'H2ED13', 'H2DS2', 'H2PF8', 'H1PF16', 'H1TO9', 'H1RM14', 'H2GH31', 'H1DS9', 'H1DS15', 'H2PF9', 'H1PF16', 'H1RF14', 'H2DS11', 'H1DS10', 'H1TS3', 'H2PF23', 'H1ED15', 'H2PF10', 'H1PF31', 'H2WP9', 'H2DS1', 'H1GH22', 'H1WP5', 'H2PF22', 'H2DS12', 'PC40', 'H2GH45', 'H1PF4', 'H2PF1', 'H2PR3', 'H1DS5', 'H2SE4', 'H1TO50', 'PA21', 'H1FS5', 'H1PF14', 'H2FS15', 'H2PF5', 'H2FS19', 'H2FS14', 'H1PF32', 'H1PF15', 'H1WP3', 'H1GH18', 'H2GH27', 'H1FS13', 'H2DS6', 'H2PF26', 'H1TO3', 'H2EE12', 'H2FS9', 'PA56', 'H1DS7', 'H1FS14', 'H1ED16', 'H2TO15', 'H1WP4', 'S60N', 'H1TO9', 'H2ED12', 'H1FS11', 'H1PF36', 'H1FS11', 'H1DS8', 'H1FS2'],41,48,64
8,0.6984597156398105,['H2FV4', 'H2FS10', 'H2PF12', 'H2PF31', 'H2FS1', 'H2ED13', 'H2DS2', 'H2PF8', 'H1PF16', 'H1TO9', 'H1RM14', 'H2GH31', 'H1DS9', 'H1DS15', 'H2PF9', 'H1PF16', 'H1RF14', 'H2DS11', 'H1DS10', 'H1TS3', 'H2PF23', 'H1ED15', 'H2PF10', 'H1PF31', 'H2WP9', 'H2DS1', 'H1GH22', 'H1WP5', 'H2PF22', 'H2DS12', 'PC40', 'H2GH45', 'H1PF4', 'H2PF1', 'H2PR3', 'H1DS5', 'H2SE4', 'H1TO50', 'PA21', 'H1FS5', 'H1PF14', 'H2FS15', 'H2PF5', 'H2FS19', 'H2FS14', 'H1PF32', 'H1PF15', 'H1WP3', 'H1GH18', 'H2GH27', 'H1FS13', 'H2DS6', 'H2PF26', 'H1TO3', 'H2EE12', 'H2FS9', 'PA56', 'H1DS7', 'H1FS14', 'H1ED16', 'H2TO15', 'H1WP4', 'S60N', 'H1TO9', 'H2ED12', 'H1FS11', 'H1PF36', 'H1FS11', 'H1PF4', 'H1FS2'],40,49,63
9,0.6984597156398105,['H2FV4', 'H2FS10', 'H2PF12', 'H2PF31', 'H2FS1', 'H2ED13', 'H2DS2', 'H2PF8', 'H1PF16', 'H1TO9', 'H1RM14', 'H2GH31', 'H1DS9', 'H1DS15', 'H2PF9', 'H1PF16', 'H1RF14', 'H2DS11', 'H1DS10', 'H1TS3', 'H2PF23', 'H1ED15', 'H2PF10', 'H1PF31', 'H2WP9', 'H2DS1', 'H1GH22', 'H1WP5', 'H2PF22', 'H2DS12', 'PC40', 'H2GH45', 'H1PF4', 'H2PF1', 'H2PR3', 'H1DS5', 'H2SE4', 'H1TO50', 'PA21', 'H1FS5', 'H1PF14', 'H2FS15', 'H2PF5', 'H2FS19', 'H2FS14', 'H1PF32', 'H1PF15', 'H1WP3', 'H1GH18', 'H2GH27', 'H1FS13', 'H2DS6', 'H2PF26', 'H1TO3', 'H2EE12', 'H2FS9', 'PA56', 'H1DS7', 'H1FS14', 'H1ED16', 'H2TO15', 'H1WP4', 'S60N', 'H1TO9', 'H2ED12', 'H1FS11', 'H1PF36', 'H1FS11', 'H1PF4', 'H1FS2'],40,49,63
10,0.6984597156398105,['H2FV4', 'H2FS10', 'H2PF12', 'H2PF31', 'H2FS1', 'H2ED13', 'H2DS2', 'H2PF8', 'H1PF16', 'H1TO9', 'H1RM14', 'H2GH31', 'H1DS9', 'H1DS15', 'H2PF9', 'H1PF16', 'H1RF14', 'H2DS11', 'H1DS10', 'H1TS3', 'H2PF23', 'H1ED15', 'H2PF10', 'H1PF31', 'H2WP9', 'H2DS1', 'H1GH22', 'H1WP5', 'H2PF22', 'H2DS12', 'PC40', 'H2GH45', 'H1PF4', 'H2PF1', 'H2PR3', 'H1DS5', 'H2SE4', 'H1TO50', 'PA21', 'H1FS5', 'H1PF14', 'H2FS15', 'H2PF5', 'H2FS19', 'H2FS14', 'H1PF32', 'H1PF15', 'H1WP3', 'H1GH18', 'H2GH27', 'H1FS13', 'H2DS6', 'H2PF26', 'H1TO3', 'H2EE12', 'H2FS9', 'PA56', 'H1DS7', 'H1FS14', 'H1ED16', 'H2TO15', 'H1WP4', 'S60N', 'H1TO9', 'H2ED12', 'H1FS11', 'H1PF36', 'H1FS11', 'H1PF4', 'H1FS2'],40,49,63
