curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
0,0.691350710900474,['H1EE7', 'S62R', 'S60K', 'H2PF24', 'H2DS11', 'H1GH22', 'H2TO26', 'H1GH21', 'H1PF16', 'H1ED19', 'H1PF10', 'H1GH29', 'H2FS2', 'H1ED20', 'H1ED18', 'H1TO9', 'H2FV5', 'H1FS12', 'H1FS6', 'H2PF31', 'H2FV2', 'H1FS4', 'H1ED9', 'H1PF34', 'H1FS11', 'H1FS2', 'H2WP4', 'H2FS14', 'H2DS8', 'H2ED5', 'H1PF8', 'H1GH20', 'H2PF21', 'H2ED17', 'H1DS9', 'H2DS10', 'H2PF17', 'H1WP4', 'H2PF15', 'S59E', 'H2PF12', 'H2WP5', 'H1IR12', 'H2WP14', 'S62O', 'H1ED2', 'H2ED3', 'H1FS19', 'H2GH25', 'H2PF29', 'H1FS11', 'H1FS16', 'H1ED17', 'H1PF23', 'H2FS7', 'H2TO25', 'H2WP2', 'H1PF31', 'H2DS1', 'H1FS13', 'H2PF32', 'H1FS3', 'H1ED7', 'H2DS9', 'H2FS18', 'S60L', 'H1TO50', 'H1EE5', 'H2TO26', 'H2DS3', 'S62P', 'H1RF14', 'H2FS1', 'H1WP3', 'H2GH45', 'H2TO1', 'H1FS7', 'H1ED24', 'H1DS6', 'H1PF24', 'H1FS17', 'H2TO11', 'H1RM14', 'H1WP14', 'H2EE14', 'H2DS6', 'PC40', 'H2PF10', 'H2ED11', 'H2TO15', 'H1WP10', 'H2DS4', 'H1FS14', 'S60N', 'H1DA6'],24,6,10
1,0.6925355450236966,['H2WP6', 'H1ED20', 'H2PF4', 'H2WP2', 'H2FS12', 'H2PF17', 'H2PF32', 'H1WP5', 'H2PF25', 'H1DS11', 'H2PF34', 'H2FS18', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF14', 'H2FS10', 'H2FS14', 'S60K', 'H2DS6', 'H2PF23', 'H1TO50', 'H1FS16', 'H1FS19', 'H2GH25', 'H1WP6', 'H1PF16', 'PC40', 'H1PF35', 'H2FS17', 'H1ED19', 'H2PF26', 'H2ED15', 'H1FS11', 'H1DA2', 'H2EE14', 'H1RM14', 'H1EE5', 'H1GH52', 'S60K', 'H2PF13', 'H2PF16', 'H2DS1', 'S45A', 'PA21', 'H1GH28', 'H1FS6', 'H1PF30', 'H2TO15', 'H1WP10', 'H2PF12', 'H2ED11', 'H2DS14', 'H2FS11', 'H1WP7', 'H2ED14', 'H2WP3', 'H1FS13', 'H1FS1', 'H1PF16', 'H2PF27', 'H1ED15', 'H2WP5', 'H2PF8', 'H2DS3', 'S62R', 'H1PF25', 'H2TO26', 'H2SE4', 'H2GH26', 'H2PR5', 'H2WP9', 'H1DS15', 'H1TO9', 'H2DS9', 'H2ED16', 'H1FS14', 'H2WP13', 'S62P', 'H2WP7', 'H2PF33', 'H2FS7', 'H2PF28', 'H1PF24', 'H2DS2', 'H2ED13', 'H2PR3', 'H1FS9', 'H2PF30', 'H1PF14', 'H1TO12', 'H2WP10', 'H2FS4', 'H2EE12', 'H2FV7'],31,68,76
2,0.6925355450236966,['H2WP6', 'H1ED20', 'H2PF4', 'H2WP2', 'H2FS12', 'H2PF17', 'H2PF32', 'H1WP5', 'H2PF25', 'H1DS11', 'H2PF34', 'H2FS18', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF14', 'H2FS10', 'H2FS14', 'S60K', 'H2DS6', 'H2PF23', 'H1TO50', 'H1FS16', 'H1FS19', 'H2GH25', 'H1WP6', 'H1PF16', 'PC40', 'H1PF35', 'H2FS17', 'H1ED19', 'H2PF26', 'H2ED15', 'H1FS11', 'H1DA2', 'H2EE14', 'H1RM14', 'H1EE5', 'H1GH52', 'S60K', 'H2PF13', 'H2PF16', 'H2DS1', 'S45A', 'PA21', 'H1GH28', 'H1FS6', 'H1PF30', 'H2TO15', 'H1WP10', 'H2PF12', 'H2ED11', 'H2DS14', 'H2FS11', 'H1WP7', 'H2ED14', 'H2WP3', 'H1FS13', 'H1FS1', 'H1PF16', 'H2PF27', 'H1ED15', 'H2WP5', 'H2PF8', 'H2DS3', 'S62R', 'H1PF25', 'H2TO26', 'H2SE4', 'H2GH26', 'H2PR5', 'H2WP9', 'H1DS15', 'H1TO9', 'H2DS9', 'H2ED16', 'H1FS14', 'H2WP13', 'S62P', 'H2WP7', 'H2PF33', 'H2FS7', 'H2PF28', 'H1PF24', 'H2DS2', 'H2ED13', 'H2PR3', 'H1FS9', 'H2PF30', 'H1PF14', 'H1TO12', 'H2WP10', 'H2FS4', 'H2EE12', 'H2FV7'],31,68,76
3,0.6925355450236966,['H2WP6', 'H1ED20', 'H2PF4', 'H2WP2', 'H2FS12', 'H2PF17', 'H2PF32', 'H1WP5', 'H2PF25', 'H1DS11', 'H2PF34', 'H2FS18', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF14', 'H2FS10', 'H2FS14', 'S60K', 'H2DS6', 'H2PF23', 'H1TO50', 'H1FS16', 'H1FS19', 'H2GH25', 'H1WP6', 'H1PF16', 'PC40', 'H1PF35', 'H2FS17', 'H1ED19', 'H2PF26', 'H2ED15', 'H1FS11', 'H1DA2', 'H2EE14', 'H1RM14', 'H1EE5', 'H1GH52', 'S60K', 'H2PF13', 'H2PF16', 'H2DS1', 'S45A', 'PA21', 'H1GH28', 'H1FS6', 'H1PF30', 'H2TO15', 'H1WP10', 'H2PF12', 'H2ED11', 'H2DS14', 'H2FS11', 'H1WP7', 'H2ED14', 'H2WP3', 'H1FS13', 'H1FS1', 'H1PF16', 'H2PF27', 'H1ED15', 'H2WP5', 'H2PF8', 'H2DS3', 'S62R', 'H1PF25', 'H2TO26', 'H2SE4', 'H2GH26', 'H2PR5', 'H2WP9', 'H1DS15', 'H1TO9', 'H2DS9', 'H2ED16', 'H1FS14', 'H2WP13', 'S62P', 'H2WP7', 'H2PF33', 'H2FS7', 'H2PF28', 'H1PF24', 'H2DS2', 'H2ED13', 'H2PR3', 'H1FS9', 'H2PF30', 'H1PF14', 'H1TO12', 'H2WP10', 'H2FS4', 'H2EE12', 'H2FV7'],31,68,76
4,0.6925355450236966,['H2WP6', 'H1ED20', 'H2PF4', 'H2WP2', 'H2FS12', 'H2PF17', 'H2PF32', 'H1WP5', 'H2PF25', 'H1DS11', 'H2PF34', 'H2FS18', 'H1PF36', 'H2PF35', 'H2DS10', 'H2PF14', 'H2FS10', 'H2FS14', 'S60K', 'H2DS6', 'H2PF23', 'H1TO50', 'H1FS16', 'H1FS19', 'H2GH25', 'H1WP6', 'H1PF16', 'PC40', 'H1PF35', 'H2FS17', 'H1ED19', 'H2PF26', 'H2ED15', 'H1FS11', 'H1DA2', 'H2EE14', 'H1RM14', 'H1EE5', 'H1GH52', 'S60K', 'H2PF13', 'H2PF16', 'H2DS1', 'S45A', 'PA21', 'H1GH28', 'H1FS6', 'H1PF30', 'H2TO15', 'H1WP10', 'H2PF12', 'H2ED11', 'H2DS14', 'H2FS11', 'H1WP7', 'H2ED14', 'H2WP3', 'H1FS13', 'H1FS1', 'H1PF16', 'H2PF27', 'H1ED15', 'H2WP5', 'H2PF8', 'H2DS3', 'S62R', 'H1PF25', 'H2TO26', 'H2SE4', 'H2GH26', 'H2PR5', 'H2WP9', 'H1DS15', 'H1TO9', 'H2DS9', 'H2ED16', 'H1FS14', 'H2WP13', 'S62P', 'H2WP7', 'H2PF33', 'H2FS7', 'H2PF28', 'H1PF24', 'H2DS2', 'H2ED13', 'H2PR3', 'H1FS9', 'H2PF30', 'H1PF14', 'H1TO12', 'H2WP10', 'H2FS4', 'H2EE12', 'H2FV7'],31,68,76
5,0.6943127962085308,['H1WP6', 'H1FS3', 'H2PF8', 'H1FS18', 'H1FS7', 'H1DS12', 'H1PF35', 'H2DS9', 'H1RM14', 'H1GH52', 'H2EE14', 'H1PF10', 'S62P', 'H2PF8', 'H1ED18', 'H2PF35', 'H2GH31', 'H1PF31', 'H1PF10', 'H1FS19', 'H2ED3', 'S60L', 'H2ED16', 'S62H', 'H2FS19', 'H2ED13', 'H1IR12', 'S59E', 'H2DS3', 'H2PF31', 'H1GH18', 'H1PF32', 'H2TO28', 'H2EE12', 'H2WP3', 'H2DS2', 'H2GH25', 'S45A', 'H2DS8', 'H2PF17', 'H2SE4', 'S62R', 'H2PF32', 'H2PF25', 'H1ED15', 'H1DS10', 'H2FS2', 'H1TO12', 'H2PR3', 'H2FS13', 'H2GH23', 'S60O', 'PC40', 'H1DS14', 'H1FS17', 'H2PF29', 'H1FS4', 'H1PF4', 'H2DS11', 'H2DS6', 'H2TO29', 'H2FS18', 'H2WP10', 'H2DS5', 'H1DA6', 'H1WP14', 'H1PF4', 'H1PF5', 'H1FS2', 'H2PF5', 'H1PF16', 'H2DS14', 'H1FS10', 'S60N', 'H1PF33', 'H2PF16', 'H2TO27', 'H1PF7', 'H2PF27', 'H1PF8', 'H2DS1', 'H1GH28', 'H1EE5', 'H1FS14', 'H2WP2', 'PA56', 'S62M', 'H2PF34', 'H1FS1', 'H2ED17', 'H2FV1', 'S45C', 'H2PF14', 'H2ED5', 'H1DS6'],7,95,24
6,0.6949052132701422,['H1WP6', 'H1FS3', 'H2PF8', 'H1FS18', 'H1FS7', 'H1DS12', 'H1PF35', 'H2DS9', 'H1RM14', 'H1GH52', 'H2EE14', 'H1PF10', 'S62P', 'H2PF8', 'H1ED18', 'H2PF35', 'H2GH31', 'H1PF31', 'H1PF10', 'H1FS19', 'H2ED3', 'S60L', 'H2ED16', 'S62H', 'H2FS19', 'H2ED13', 'H1IR12', 'S59E', 'H2DS3', 'H2PF31', 'H1GH18', 'H1PF32', 'H2TO28', 'H2EE12', 'H2WP3', 'H2DS2', 'H2GH25', 'S45A', 'H2DS8', 'H2PF17', 'H2SE4', 'S62R', 'H2PF32', 'H2PF25', 'H1ED15', 'H1DS10', 'H2FS2', 'H1TO12', 'H2PR3', 'H2FS13', 'H2GH23', 'S60O', 'PC40', 'H1DS14', 'H1FS17', 'H2PF29', 'H1FS4', 'H1PF4', 'H1PF2', 'H2DS6', 'H2TO29', 'H2FS18', 'H2WP10', 'H2DS5', 'H1DA6', 'H1WP14', 'H1PF4', 'H1PF5', 'H1FS2', 'H2PF5', 'H1PF16', 'H2DS14', 'H1FS10', 'S60N', 'H1PF33', 'H2PF16', 'H2TO27', 'H1PF7', 'H2PF27', 'H1PF8', 'H2DS1', 'H1GH28', 'H1EE5', 'H1FS14', 'H2WP2', 'PA56', 'S62M', 'H2PF34', 'H1FS1', 'H2ED17', 'H2FV1', 'S45C', 'H2PF14', 'H2ED5', 'H1DS6'],7,96,24
7,0.6949052132701422,['H1WP6', 'H1FS3', 'H2PF8', 'H1FS18', 'H1FS7', 'H1DS12', 'H1PF35', 'H2DS9', 'H1RM14', 'H1GH52', 'H2EE14', 'H1PF10', 'S62P', 'H2PF8', 'H1ED18', 'H2PF35', 'H2GH31', 'H1PF31', 'H1PF10', 'H1FS19', 'H2ED3', 'S60L', 'H2ED16', 'S62H', 'H2FS19', 'H2ED13', 'H1IR12', 'S59E', 'H2DS3', 'H2PF31', 'H1GH18', 'H1PF32', 'H2TO28', 'H2EE12', 'H2WP3', 'H2DS2', 'H2GH25', 'S45A', 'H2DS8', 'H2PF17', 'H2SE4', 'S62R', 'H2PF32', 'H2PF25', 'H1ED15', 'H1DS10', 'H2FS2', 'H1TO12', 'H2PR3', 'H2FS13', 'H2GH23', 'S60O', 'PC40', 'H1DS14', 'H1FS17', 'H2PF29', 'H1FS4', 'H1PF4', 'H1PF2', 'H2DS6', 'H2TO29', 'H2FS18', 'H2WP10', 'H2DS5', 'H1DA6', 'H1WP14', 'H1PF4', 'H1PF5', 'H1FS2', 'H2PF5', 'H1PF16', 'H2DS14', 'H1FS10', 'S60N', 'H1PF33', 'H2PF16', 'H2TO27', 'H1PF7', 'H2PF27', 'H1PF8', 'H2DS1', 'H1GH28', 'H1EE5', 'H1FS14', 'H2WP2', 'PA56', 'S62M', 'H2PF34', 'H1FS1', 'H2ED17', 'H2FV1', 'S45C', 'H2PF14', 'H2ED5', 'H1DS6'],7,96,24
8,0.6960900473933649,['H1WP6', 'H1FS3', 'H2PF8', 'H1FS18', 'H1FS7', 'H1DS12', 'H1PF35', 'H2DS9', 'H1RM14', 'H1GH52', 'H2EE14', 'H1PF10', 'S62P', 'H2PF8', 'H1ED18', 'H2PF35', 'H2GH31', 'H1PF31', 'H1PF10', 'H1FS19', 'H2ED3', 'S60L', 'H2ED16', 'S62H', 'H2FS19', 'H2ED13', 'H1IR12', 'S59E', 'H2DS3', 'H2PF31', 'H1GH18', 'H1PF32', 'H2TO28', 'H2EE12', 'H2WP3', 'H2DS2', 'H2GH25', 'S45A', 'H2DS8', 'H2PF17', 'H2FS10', 'S62R', 'H2PF32', 'H2PF25', 'H1ED15', 'H1DS10', 'H2FS2', 'H1TO12', 'H2PR3', 'H2FS13', 'H2GH23', 'S60O', 'PC40', 'H1DS14', 'H1FS17', 'H2PF29', 'H1FS4', 'H1PF4', 'H1PF2', 'H2DS6', 'H2TO29', 'H2FS18', 'H2WP10', 'H2DS5', 'H1DA6', 'H1WP14', 'H1PF4', 'H1PF5', 'H1FS2', 'H2PF5', 'H1PF16', 'H2DS14', 'H1FS10', 'S60N', 'H1PF33', 'H2PF16', 'H2TO27', 'H1PF7', 'H2PF27', 'H1PF8', 'H2DS1', 'H1GH28', 'H1EE5', 'H1FS14', 'H2WP2', 'PA56', 'S62M', 'H2PF34', 'H1FS1', 'H2ED17', 'H2FV1', 'S45C', 'H2PF14', 'H2ED5', 'H1DS6'],6,97,23
9,0.6960900473933649,['H1WP6', 'H1FS3', 'H2PF8', 'H1FS18', 'H1FS7', 'H1DS12', 'H1PF35', 'H2DS9', 'H1RM14', 'H1GH52', 'H2EE14', 'H1PF10', 'S62P', 'H2PF8', 'H1ED18', 'H2PF35', 'H2GH31', 'H1PF31', 'H1PF10', 'H1FS19', 'H2ED3', 'S60L', 'H2ED16', 'S62H', 'H2FS19', 'H2ED13', 'H1IR12', 'S59E', 'H2DS3', 'H2PF31', 'H1GH18', 'H1PF32', 'H2TO28', 'H2EE12', 'H2WP3', 'H2DS2', 'H2GH25', 'S45A', 'H2DS8', 'H2PF17', 'H2FS10', 'S62R', 'H2PF32', 'H2PF25', 'H1ED15', 'H1DS10', 'H2FS2', 'H1TO12', 'H2PR3', 'H2FS13', 'H2GH23', 'S60O', 'PC40', 'H1DS14', 'H1FS17', 'H2PF29', 'H1FS4', 'H1PF4', 'H1PF2', 'H2DS6', 'H2TO29', 'H2FS18', 'H2WP10', 'H2DS5', 'H1DA6', 'H1WP14', 'H1PF4', 'H1PF5', 'H1FS2', 'H2PF5', 'H1PF16', 'H2DS14', 'H1FS10', 'S60N', 'H1PF33', 'H2PF16', 'H2TO27', 'H1PF7', 'H2PF27', 'H1PF8', 'H2DS1', 'H1GH28', 'H1EE5', 'H1FS14', 'H2WP2', 'PA56', 'S62M', 'H2PF34', 'H1FS1', 'H2ED17', 'H2FV1', 'S45C', 'H2PF14', 'H2ED5', 'H1DS6'],6,97,23
10,0.6960900473933649,['H1WP6', 'H1FS3', 'H2PF8', 'H1FS18', 'H1FS7', 'H1DS12', 'H1PF35', 'H2DS9', 'H1RM14', 'H1GH52', 'H2EE14', 'H1PF10', 'S62P', 'H2PF8', 'H1ED18', 'H2PF35', 'H2GH31', 'H1PF31', 'H1PF10', 'H1FS19', 'H2ED3', 'S60L', 'H2ED16', 'S62H', 'H2FS19', 'H2ED13', 'H1IR12', 'S59E', 'H2DS3', 'H2PF31', 'H1GH18', 'H1PF32', 'H2TO28', 'H2EE12', 'H2WP3', 'H2DS2', 'H2GH25', 'S45A', 'H2DS8', 'H2PF17', 'H2FS10', 'S62R', 'H2PF32', 'H2PF25', 'H1ED15', 'H1DS10', 'H2FS2', 'H1TO12', 'H2PR3', 'H2FS13', 'H2GH23', 'S60O', 'PC40', 'H1DS14', 'H1FS17', 'H2PF29', 'H1FS4', 'H1PF4', 'H1PF2', 'H2DS6', 'H2TO29', 'H2FS18', 'H2WP10', 'H2DS5', 'H1DA6', 'H1WP14', 'H1PF4', 'H1PF5', 'H1FS2', 'H2PF5', 'H1PF16', 'H2DS14', 'H1FS10', 'S60N', 'H1PF33', 'H2PF16', 'H2TO27', 'H1PF7', 'H2PF27', 'H1PF8', 'H2DS1', 'H1GH28', 'H1EE5', 'H1FS14', 'H2WP2', 'PA56', 'S62M', 'H2PF34', 'H1FS1', 'H2ED17', 'H2FV1', 'S45C', 'H2PF14', 'H2ED5', 'H1DS6'],6,97,23
