curr_gen,fitness,genome,min_samples_leaf,min_samples_split,max_features
0,0.7209715639810427,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31'],86,39,7
1,0.7209715639810427,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31'],86,39,7
2,0.7209715639810427,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31'],86,39,7
3,0.7209715639810427,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31'],86,39,7
4,0.7209715639810427,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31'],86,39,7
5,0.7209715639810427,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H1FS16', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31'],86,39,7
6,0.7215639810426541,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H1TO9', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31'],85,38,5
7,0.7215639810426541,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H1TO9', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31'],85,38,5
8,0.7215639810426541,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H1TO9', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31'],85,38,5
9,0.7215639810426541,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H1TO9', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31'],85,38,5
10,0.7215639810426541,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H1TO9', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31'],85,38,5
11,0.7215639810426541,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H1TO9', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31'],85,38,5
12,0.7215639810426541,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H1TO9', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31'],85,38,5
13,0.7215639810426541,['S60L', 'H2FV3', 'H1IR12', 'H2DS5', 'H2DS3', 'H1FS15', 'H2FS8', 'H1TO9', 'H1FS4', 'H1PF34', 'S62M', 'H1DS15', 'H1TO3', 'H1TO9', 'H1PF31'],85,38,5
14,0.7227488151658767,['H1GH29', 'H2PF10', 'H1FS3', 'H2DS14', 'H2FS18', 'H1GH17', 'H2GH24', 'H1TO1', 'H1FS16', 'H2DS3', 'H1GH22', 'H1TO3', 'H2EE14', 'H2PF24', 'H1EE5'],51,40,5
15,0.7227488151658767,['H1GH29', 'H2PF10', 'H1FS3', 'H2DS14', 'H2FS18', 'H1GH17', 'H2GH24', 'H1TO1', 'H1FS16', 'H2DS3', 'H1GH22', 'H1TO3', 'H2EE14', 'H2PF24', 'H1EE5'],51,40,5
16,0.7227488151658767,['H1GH29', 'H2PF10', 'H1FS3', 'H2DS14', 'H2FS18', 'H1GH17', 'H2GH24', 'H1TO1', 'H1FS16', 'H2DS3', 'H1GH22', 'H1TO3', 'H2EE14', 'H2PF24', 'H1EE5'],51,40,5
17,0.7227488151658767,['H1GH29', 'H2PF10', 'H1FS3', 'H2DS14', 'H2FS18', 'H1GH17', 'H2GH24', 'H1TO1', 'H1FS16', 'H2DS3', 'H1GH22', 'H1TO3', 'H2EE14', 'H2PF24', 'H1EE5'],51,40,5
18,0.7227488151658767,['H1GH29', 'H2PF10', 'H1FS3', 'H2DS14', 'H2FS18', 'H1GH17', 'H2GH24', 'H1TO1', 'H1FS16', 'H2DS3', 'H1GH22', 'H1TO3', 'H2EE14', 'H2PF24', 'H1EE5'],51,40,5
19,0.7227488151658767,['H1GH29', 'H2PF10', 'H1FS3', 'H2DS14', 'H2FS18', 'H1GH17', 'H2GH24', 'H1TO1', 'H1FS16', 'H2DS3', 'H1GH22', 'H1TO3', 'H2EE14', 'H2PF24', 'H1EE5'],51,40,5
20,0.7227488151658767,['H1GH29', 'H2PF10', 'H1FS3', 'H2DS14', 'H2FS18', 'H1GH17', 'H2GH24', 'H1TO1', 'H1FS16', 'H2DS3', 'H1GH22', 'H1TO3', 'H2EE14', 'H2PF24', 'H1EE5'],51,40,5
21,0.7227488151658767,['H1GH29', 'H2PF10', 'H1FS3', 'H2DS14', 'H2FS18', 'H1GH17', 'H2GH24', 'H1TO1', 'H1FS16', 'H2DS3', 'H1GH22', 'H1TO3', 'H2EE14', 'H2PF24', 'H1EE5'],51,40,5
22,0.7227488151658767,['H1GH29', 'H2PF10', 'H1FS3', 'H2DS14', 'H2FS18', 'H1GH17', 'H2GH24', 'H1TO1', 'H1FS16', 'H2DS3', 'H1GH22', 'H1TO3', 'H2EE14', 'H2PF24', 'H1EE5'],51,40,5
23,0.7227488151658767,['H1GH29', 'H2PF10', 'H1FS3', 'H2DS14', 'H2FS18', 'H1GH17', 'H2GH24', 'H1TO1', 'H1FS16', 'H2DS3', 'H1GH22', 'H1TO3', 'H2EE14', 'H2PF24', 'H1EE5'],51,40,5
24,0.7227488151658767,['H1GH29', 'H2PF10', 'H1FS3', 'H2DS14', 'H2FS18', 'H1GH17', 'H2GH24', 'H1TO1', 'H1FS16', 'H2DS3', 'H1GH22', 'H1TO3', 'H2EE14', 'H2PF24', 'H1EE5'],51,40,5
25,0.7227488151658767,['H1FS10', 'H2ED14', 'H2GH45', 'H1WP2', 'PA21', 'H2DS5', 'H2FS16', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],16,23,11
26,0.7227488151658767,['H1FS10', 'H2ED14', 'H2GH45', 'H1WP2', 'PA21', 'H2DS5', 'H2FS16', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],16,23,11
27,0.7227488151658767,['H1FS10', 'H2ED14', 'H2GH45', 'H1WP2', 'PA21', 'H2DS5', 'H2FS16', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],16,23,11
28,0.7227488151658767,['H1FS10', 'H2ED14', 'H2GH45', 'H1WP2', 'PA21', 'H2DS5', 'H2FS16', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],16,23,11
29,0.7227488151658767,['H1FS10', 'H2ED14', 'H2GH45', 'H1WP2', 'PA21', 'H2DS5', 'H2FS16', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],16,23,11
30,0.7227488151658767,['H1FS10', 'H2ED14', 'H2GH45', 'H1WP2', 'PA21', 'H2DS5', 'H2FS16', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],16,23,11
31,0.7233412322274881,['H1FS10', 'H2ED14', 'H2GH45', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],14,24,12
32,0.7233412322274881,['H1FS10', 'H2ED14', 'H2GH45', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],14,24,12
33,0.7233412322274881,['H1FS10', 'H2ED14', 'H2GH45', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],14,24,12
34,0.7233412322274881,['H1FS10', 'H2ED14', 'H2GH45', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],14,24,12
35,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
36,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
37,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
38,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
39,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
40,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
41,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
42,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
43,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
44,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
45,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
46,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
47,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
48,0.7292654028436019,['H1FS10', 'H2ED14', 'H2ED3', 'H1WP2', 'PA21', 'H2DS5', 'H2PF17', 'H1TO12', 'H2PF29', 'H2FV1', 'H2ED13', 'H2TO27', 'H1TO3', 'H2FV2', 'H2FS1'],12,24,12
